name,B,category,seq,account_name,amount,type,level,Ledger_Account_Number,element_name,English_Label
　　　　　　Right to use water facilities,0.0,Intangible assets,,Right to use water facilities,,1,6,10A220240,RightOfUsingWaterFacilities,Right to use water facilities
　　　　　　Right to use other facilities,0.0,Intangible assets,,Right to use other facilities,,1,6,10A220250,RightOfUsingOtherFacilities,Right to use other facilities
　　　　　　Industrial property,0.0,Intangible assets,,Industrial property,,1,6,10A220260,IndustrialProperty,Industrial property
　　　　　　Leasehold interests in buildings,0.0,Intangible assets,,Leasehold interests in buildings,,1,6,10A220270,OtherIA,Leasehold interests in buildings
　　　　　　Right to use patent,0.0,Intangible assets,,Right to use patent,,1,6,10A220280,RightOfUsingPatent,Right to use patent
　　　　　　Water right,0.0,Intangible assets,,Water right,,1,6,10A220290,WaterRight,Water right
　　　　　　Copyright,0.0,Intangible assets,,Copyright,,1,6,10A220300,CopyrightPublishing,Copyright
　　　　　　Copyright,0.0,Intangible assets,,Copyright,,1,6,10A220310,Copyright,Copyright
　　　　　　Other,0.0,Intangible assets,,Other,,1,6,10A220320,OtherIA,Other
　　　　　Intangible assets,0.0,Intangible assets,,Intangible assets,,1,5,10A220330,IntangibleAssets,Intangible assets
　　　　Investments and other assets,,Investments and other assets,,Investments and other assets,,T,4,10A230010,InvestmentsAndOtherAssetsAbstract,Investments and other assets
　　　　　Shares of subsidiaries and associates and other non-current securities,,Investments and other assets,,Shares of subsidiaries and associates and other non-current securities,,T,5,10A230020,StocksOfSubsidiariesAndAffiliatesAndOtherNoncurrentSecuritiesIOAAbstract,Shares of subsidiaries and associates and other non-current securities
　　　　　　Investment securities,0.0,Investments and other assets,,Investment securities,,1,6,10A230030,InvestmentSecurities,Investment securities
　　　　　　Shares of subsidiaries and associates,0.0,Investments and other assets,,Shares of subsidiaries and associates,,1,6,10A230040,StocksOfSubsidiariesAndAffiliates,Shares of subsidiaries and associates
　　　　　　Bonds of subsidiaries and associates,0.0,Investments and other assets,,Bonds of subsidiaries and associates,,1,6,10A230050,BondsOfSubsidiariesAndAffiliates,Bonds of subsidiaries and associates
　　　　　　Investments in other securities of subsidiaries and associates,0.0,Investments and other assets,,Investments in other securities of subsidiaries and associates,,1,6,10A230060,InvestmentsInOtherSecuritiesOfSubsidiariesAndAffiliates,Investments in other securities of subsidiaries and associates
　　　　　　Operational investment securities,0.0,Investments and other assets,,Operational investment securities,,1,6,10A230070,OperationalInvestmentSecuritiesIOA,Operational investment securities
　　　　　Investments in capital,,Investments and other assets,,Investments in capital,,T,5,10A230080,abstract,Investments in capital
　　　　　　Investments in capital,0.0,Investments and other assets,,Investments in capital,,1,6,10A230090,InvestmentsInCapital,Investments in capital
　　　　　　Investments in capital of subsidiaries and associates,0.0,Investments and other assets,,Investments in capital of subsidiaries and associates,,1,6,10A230100,InvestmentsInCapitalOfSubsidiariesAndAffiliates,Investments in capital of subsidiaries and associates
　　　　　　Operating investments in capital,0.0,Investments and other assets,,Operating investments in capital,,1,6,10A230110,OperatingInvestmentsInCapital,Operating investments in capital
　　　　　　Investments in silent partnerships,0.0,Investments and other assets,,Investments in silent partnerships,,1,6,10A230120,InvestmentsInSilentPartnership,Investments in silent partnerships
　　　　　Long-term loans receivable,,Investments and other assets,,Long-term loans receivable,,T,5,10A230130,LongTermLoansReceivableAbstract,Long-term loans receivable
　　　　　　Long-term loans receivable,0.0,Investments and other assets,,Long-term loans receivable,,1,6,10A230140,LongTermLoansReceivable,Long-term loans receivable
　　　　　　　Allowance for doubtful accounts,0.0,Investments and other assets,,Allowance for doubtful accounts,,1,7,10A230150,AllowanceForDoubtfulAccountsLongTermLoansReceivable,Allowance for doubtful accounts
"　　　　　　　Long-term loans receivable, net",0.0,Investments and other assets,,"Long-term loans receivable, net",,1,7,10A230160,LongTermLoansReceivableNet,"Long-term loans receivable, net"
　　　　　　Long-term loans receivable from subsidiaries and associates,0.0,Investments and other assets,,Long-term loans receivable from subsidiaries and associates,,1,6,10A230170,LongTermLoansReceivableFromSubsidiariesAndAffiliates,Long-term loans receivable from subsidiaries and associates
　　　　　　　Allowance for doubtful accounts,0.0,Investments and other assets,,Allowance for doubtful accounts,,1,7,10A230180,AllowanceForDoubtfulAccountsLongTermLoansReceivableFromSubsidiariesAndAffiliates,Allowance for doubtful accounts
"　　　　　　　Long-term loans receivable from subsidiaries and associates, net",0.0,Investments and other assets,,"Long-term loans receivable from subsidiaries and associates, net",,1,7,10A230190,LongTermLoansReceivableFromSubsidiariesAndAffiliatesNet,"Long-term loans receivable from subsidiaries and associates, net"
"　　　　　　Long-term loans receivable from shareholders, directors (and other officers) or employees",0.0,Investments and other assets,,"Long-term loans receivable from shareholders, directors (and other officers) or employees",,1,6,10A230200,LongTermLoansReceivableFromShareholdersDirectorsOrEmployees,"Long-term loans receivable from shareholders, directors (and other officers) or employees"
　　　　　　　Allowance for doubtful accounts,0.0,Investments and other assets,,Allowance for doubtful accounts,,1,7,10A230210,AllowanceForDoubtfulAccountsLongTermLoansReceivableFromShareholdersDirectorsOrEmployees,Allowance for doubtful accounts
"　　　　　　　Long-term loans receivable from shareholders, directors (and other officers) or employees, net",0.0,Investments and other assets,,"Long-term loans receivable from shareholders, directors (and other officers) or employees, net",,1,7,10A230220,LongTermLoansReceivableFromShareholdersDirectorsOrEmployeesNet,"Long-term loans receivable from shareholders, directors (and other officers) or employees, net"
　　　　　　Long-term loans receivable from employees,0.0,Investments and other assets,,Long-term loans receivable from employees,,1,6,10A230230,LongTermLoansReceivableFromEmployees,Long-term loans receivable from employees
　　　　　　　Allowance for doubtful accounts,0.0,Investments and other assets,,Allowance for doubtful accounts,,1,7,10A230240,AllowanceForDoubtfulAccountsLongTermLoansReceivableFromEmployees,Allowance for doubtful accounts
"　　　　　　　Long-term loans receivable from employees, net",0.0,Investments and other assets,,"Long-term loans receivable from employees, net",,1,7,10A230250,LongTermLoansReceivableFromEmployeesNet,"Long-term loans receivable from employees, net"
　　　　　　Long-term loans receivable from directors (and other officers) and employees,0.0,Investments and other assets,,Long-term loans receivable from directors (and other officers) and employees,,1,6,10A230260,LongTermLoansReceivableFromDirectorsAndEmployees,Long-term loans receivable from directors (and other officers) and employees
　　　　　　Long-term loans receivable from directors (and other officers),0.0,Investments and other assets,,Long-term loans receivable from directors (and other officers),,1,6,10A230270,LongTermLoansReceivableFromDirectors,Long-term loans receivable from directors (and other officers)
　　　　　Other long-term assets,,Investments and other assets,,Other long-term assets,,T,5,10A230280,OtherLongTermAssetsIOAAbstract,Other long-term assets
　　　　　　Shares of parent,0.0,Investments and other assets,,Shares of parent,,1,6,10A230290,StocksOfParentCompanyIOA,Shares of parent
"　　　　　　Claims provable in bankruptcy, claims provable in rehabilitation and other",0.0,Investments and other assets,,"Claims provable in bankruptcy, claims provable in rehabilitation and other",,1,6,10A230300,ClaimsProvableInBankruptcyClaimsProvableInRehabilitationAndOther,"Claims provable in bankruptcy, claims provable in rehabilitation and other"
　　　　　　　Allowance for doubtful accounts,0.0,Investments and other assets,,Allowance for doubtful accounts,,1,7,10A230310,AllowanceForDoubtfulAccountsClaimsInBankruptcyReorganizationClaimsAndOther,Allowance for doubtful accounts
"　　　　　　　Claims provable in bankruptcy, claims provable in rehabilitation and other, net",0.0,Investments and other assets,,"Claims provable in bankruptcy, claims provable in rehabilitation and other, net",,1,7,10A230320,ClaimsProvableInBankruptcyClaimsProvableInRehabilitationAndOtherNet,"Claims provable in bankruptcy, claims provable in rehabilitation and other, net"
　　　　　　Long-term prepaid expenses,0.0,Investments and other assets,,Long-term prepaid expenses,,1,6,10A230330,LongTermPrepaidExpenses,Long-term prepaid expenses
　　　　　　Long-term prepaid consumption taxes,0.0,Investments and other assets,,Long-term prepaid consumption taxes,,1,6,10A230340,LongTermPrepaidConsumptionTaxes,Long-term prepaid consumption taxes
　　　　　　Prepaid pension cost,0.0,Investments and other assets,,Prepaid pension cost,,1,6,10A230350,PrepaidPensionCostIOA,Prepaid pension cost
　　　　　　Retirement benefit asset,0.0,Investments and other assets,,Retirement benefit asset,,1,6,10A230360,OtherIOA,Retirement benefit asset
　　　　　　Deferred tax assets,0.0,Investments and other assets,,Deferred tax assets,,1,6,10A230370,DeferredTaxAssetsIOA,Deferred tax assets
　　　　　　Deferred tax assets for land revaluation,0.0,Investments and other assets,,Deferred tax assets for land revaluation,,1,6,10A230380,DeferredTaxAssetsForLandRevaluation,Deferred tax assets for land revaluation
　　　　　　Investment property,0.0,Investments and other assets,,Investment property,,1,6,10A230390,RealEstateForInvestment,Investment property
　　　　　　　Accumulated depreciation,0.0,Investments and other assets,,Accumulated depreciation,,1,7,10A230400,AccumulatedDepreciationRealEstateForInvestment,Accumulated depreciation
　　　　　　　Accumulated impairment loss,0.0,Investments and other assets,,Accumulated impairment loss,,1,7,10A230410,AccumulatedImpairmentLossRealEstateForInvestment,Accumulated impairment loss
　　　　　　　Accumulated depreciation and impairment loss,0.0,Investments and other assets,,Accumulated depreciation and impairment loss,,1,7,10A230420,AccumulatedDepreciationAndImpairmentLossRealEstateForInvestment,Accumulated depreciation and impairment loss
"　　　　　　　Investment property, net",0.0,Investments and other assets,,"Investment property, net",,1,7,10A230430,RealEstateForInvestmentNet,"Investment property, net"
　　　　　　Beneficial interests in real estate trust,0.0,Investments and other assets,,Beneficial interests in real estate trust,,1,6,10A230440,BeneficiaryRightOfRealEstateInTrust,Beneficial interests in real estate trust
　　　　　　Land in trust,0.0,Investments and other assets,,Land in trust,,1,6,10A230450,LandInTrust,Land in trust
　　　　　　Buildings in trust,0.0,Investments and other assets,,Buildings in trust,,1,6,10A230460,BuildingsInTrust,Buildings in trust
　　　　　　Investments in leases,0.0,Investments and other assets,,Investments in leases,,1,6,10A230470,LeaseInvestmentAssetsIOA,Investments in leases
　　　　　　Derivatives,0.0,Investments and other assets,,Derivatives,,1,6,10A230480,DerivativesIOA,Derivatives
　　　　　　　Forward exchange contracts,0.0,Investments and other assets,,Forward exchange contracts,,1,7,10A230490,ForwardExchangeContractsIOA,Forward exchange contracts
　　　　　　　Interest rate swap assets,0.0,Investments and other assets,,Interest rate swap assets,,1,7,10A230500,InterestRateSwapAssetsIOA,Interest rate swap assets
　　　　　　　Interest rate swaps,0.0,Investments and other assets,,Interest rate swaps,,1,7,10A230510,InterestRateSwapIOA,Interest rate swaps
　　　　　　　Purchased currency options,0.0,Investments and other assets,,Purchased currency options,,1,7,10A230520,PurchasedCurrencyOptionIOA,Purchased currency options
　　　　　　　Currency options,0.0,Investments and other assets,,Currency options,,1,7,10A230530,CurrencyOptionIOA,Currency options
　　　　　　　Options,0.0,Investments and other assets,,Options,,1,7,10A230540,OptionIOA,Options
　　　　　　Long-term deposits,0.0,Investments and other assets,,Long-term deposits,,1,6,10A230550,LongTermDeposits,Long-term deposits
　　　　　　Long-term time deposits,0.0,Investments and other assets,,Long-term time deposits,,1,6,10A230560,LongTermTimeDeposits,Long-term time deposits
　　　　　　Insurance funds,0.0,Investments and other assets,,Insurance funds,,1,6,10A230570,InsuranceFunds,Insurance funds
　　　　　　Life insurance funds,0.0,Investments and other assets,,Life insurance funds,,1,6,10A230580,LifeInsuranceFunds,Life insurance funds
　　　　　　Group life insurance,0.0,Investments and other assets,,Group life insurance,,1,6,10A230590,GroupLifeInsurance,Group life insurance
　　　　　　Membership,0.0,Investments and other assets,,Membership,,1,6,10A230600,Membership,Membership
　　　　　　　Golf club membership,0.0,Investments and other assets,,Golf club membership,,1,7,10A230610,GolfClubMembership,Golf club membership
　　　　　　　Facility membership,0.0,Investments and other assets,,Facility membership,,1,7,10A230620,FacilityMembership,Facility membership
　　　　　　Guarantee deposits,0.0,Investments and other assets,,Guarantee deposits,,1,6,10A230630,GuaranteeDepositsIOA,Guarantee deposits
　　　　　　Long-term accounts receivable from subsidiaries and associates - other,0.0,Investments and other assets,,Long-term accounts receivable from subsidiaries and associates - other,,1,6,10A230640,LongTermAccountsReceivableFromSubsidiariesAndAffiliates,Long-term accounts receivable from subsidiaries and associates - other
　　　　　　Leasehold deposits,0.0,Investments and other assets,,Leasehold deposits,,1,6,10A230650,LeaseDepositsIOA,Leasehold deposits
　　　　　　Leasehold and guarantee deposits,0.0,Investments and other assets,,Leasehold and guarantee deposits,,1,6,10A230660,LeaseAndGuaranteeDeposits,Leasehold and guarantee deposits
　　　　　　Bad debts,0.0,Investments and other assets,,Bad debts,,1,6,10A230670,BadDebts,Bad debts
　　　　　　Business insurance funds,0.0,Investments and other assets,,Business insurance funds,,1,6,10A230680,BusinessInsuranceFunds,Business insurance funds
　　　　　　Business insurance,0.0,Investments and other assets,,Business insurance,,1,6,10A230690,BusinessInsurance,Business insurance
　　　　　　Admission fee,0.0,Investments and other assets,,Admission fee,,1,6,10A230700,AdmissionFeeIOA,Admission fee
　　　　　　Deposits on admission,0.0,Investments and other assets,,Deposits on admission,,1,6,10A230710,DepositsOnAdmission,Deposits on admission
　　　　　　Beneficial interests in trust,0.0,Investments and other assets,,Beneficial interests in trust,,1,6,10A230720,TrustBeneficiaryRightIOA,Beneficial interests in trust
　　　　　　Long-term non-operating accounts receivable,0.0,Investments and other assets,,Long-term non-operating accounts receivable,,1,6,10A230730,LongTermNonOperatingAccountsReceivable,Long-term non-operating accounts receivable
　　　　　　Long-term accounts receivable - other,0.0,Investments and other assets,,Long-term accounts receivable - other,,1,6,10A230740,LongTermAccountsReceivableOther,Long-term accounts receivable - other
　　　　　　Construction assistance fund receivables,0.0,Investments and other assets,,Construction assistance fund receivables,,1,6,10A230750,ConstructionAssistanceFundReceivables,Construction assistance fund receivables
　　　　　　Deposits for stores in preparation,0.0,Investments and other assets,,Deposits for stores in preparation,,1,6,10A230760,DepositsForStoresInPreparation,Deposits for stores in preparation
　　　　　　Fund for retirement benefits for directors (and other officers),0.0,Investments and other assets,,Fund for retirement benefits for directors (and other officers),,1,6,10A230770,FundForRetirementBenefitsForDirectorsIOA,Fund for retirement benefits for directors (and other officers)
　　　　　　Insurance funds for directors (and other officers),0.0,Investments and other assets,,Insurance funds for directors (and other officers),,1,6,10A230780,InsuranceFundsForDirectors,Insurance funds for directors (and other officers)
　　　　　　Long-term investments,0.0,Investments and other assets,,Long-term investments,,1,6,10A230790,LongTermInvestments,Long-term investments
　　　　　　Other,0.0,Investments and other assets,,Other,,1,6,10A230800,OtherIOA,Other
　　　　　　Allowance - investment and other assets,,Investments and other assets,,Allowance - investment and other assets,,T,6,10A230810,AllowanceInvestmentAndOtherAssetsAbstract,Allowance - investment and other assets
　　　　　　　Allowance for doubtful accounts,0.0,Investments and other assets,,Allowance for doubtful accounts,,1,7,10A230820,AllowanceForDoubtfulAccountsIOAByGroup,Allowance for doubtful accounts
　　　　　　　Allowance for investment loss,0.0,Investments and other assets,,Allowance for investment loss,,1,7,10A230830,AllowanceForInvestmentLoss,Allowance for investment loss
"　　　　　Investments and other assets, gross",0.0,Investments and other assets,,"Investments and other assets, gross",,1,5,10A230840,InvestmentsAndOtherAssetsGross,"Investments and other assets, gross"
　　　　　Accumulated depreciation,0.0,Investments and other assets,,Accumulated depreciation,,1,5,10A230850,AccumulatedDepreciationIOAByGroup,Accumulated depreciation
　　　　　Accumulated impairment loss,0.0,Investments and other assets,,Accumulated impairment loss,,1,5,10A230860,AccumulatedImpairmentLossIOAByGroup,Accumulated impairment loss
　　　　　Accumulated depreciation and impairment loss,0.0,Investments and other assets,,Accumulated depreciation and impairment loss,,1,5,10A230870,AccumulatedDepreciationAndImpairmentLossIOAByGroup,Accumulated depreciation and impairment loss
　　　　　Investments and other assets,0.0,Investments and other assets,,Investments and other assets,,1,5,10A230880,InvestmentsAndOtherAssets,Investments and other assets
　　　　Non-current assets,0.0,Non-current assets,,Non-current assets,,1,4,10A200020,NoncurrentAssets,Non-current assets
　　　Deferred assets,,Deferred assets,,Deferred assets,,T,3,10A300010,DeferredAssetsAbstract,Deferred assets
　　　　Organization expenses,0.0,Deferred assets,,Organization expenses,,1,4,10A300020,DeferredOrganizationExpensesDA,Organization expenses
　　　　Business commencement expenses,0.0,Deferred assets,,Business commencement expenses,,1,4,10A300030,BusinessCommencementExpensesDA,Business commencement expenses
　　　　Share issuance cost,0.0,Deferred assets,,Share issuance cost,,1,4,10A300040,StockIssuanceCostDA,Share issuance cost
　　　　Bond issuance cost,0.0,Deferred assets,,Bond issuance cost,,1,4,10A300050,BondIssuanceCostDA,Bond issuance cost
　　　　Development expenses,0.0,Deferred assets,,Development expenses,,1,4,10A300060,DevelopmentExpensesDA,Development expenses
　　　　Other,0.0,Deferred assets,,Other,,1,4,10A300070,OtherDA,Other
　　　　Deferred assets,0.0,Deferred assets,,Deferred assets,,1,4,10A300080,DeferredAssets,Deferred assets
　　　Assets,0.0,Assets,,Assets,,1,3,10A000020,Assets,Assets
　　Liabilities,,Liabilities,,Liabilities,,T,2,10B000010,LiabilitiesAbstract,Liabilities
　　　Current liabilities,,Current liabilities,,Current liabilities,,T,3,10B100010,CurrentLiabilitiesAbstract,Current liabilities
　　　　Notes and accounts payable - trade,0.0,Current liabilities,,Notes and accounts payable - trade,,1,4,10B100020,NotesAndAccountsPayableTrade,Notes and accounts payable - trade
　　　　Notes payable - trade,0.0,Current liabilities,,Notes payable - trade,,1,4,10B100030,NotesPayableTrade,Notes payable - trade
　　　　Accounts payable - trade,0.0,Current liabilities,,Accounts payable - trade,,1,4,10B100040,AccountsPayableTrade,Accounts payable - trade
　　　　Trade accounts payable,0.0,Current liabilities,,Trade accounts payable,,1,4,10B100050,OperatingAccountsPayable,Trade accounts payable
　　　　Trade notes and accounts payable,0.0,Current liabilities,,Trade notes and accounts payable,,1,4,10B100060,NotesAndOperatingAccountsPayableTrade,Trade notes and accounts payable
　　　　Electronically recorded obligations - operating,0.0,Current liabilities,,Electronically recorded obligations - operating,,1,4,10B100070,ElectronicallyRecordedObligationsOperatingCL,Electronically recorded obligations - operating
　　　　Accounts payable - operating,0.0,Current liabilities,,Accounts payable - operating,,1,4,10B100080,AccountsPayableOperatingSpecific,Accounts payable - operating
　　　　Accounts payable - consignment,0.0,Current liabilities,,Accounts payable - consignment,,1,4,10B100090,AccountsPayableConsignment,Accounts payable - consignment
　　　　Accounts payable - real estate business,0.0,Current liabilities,,Accounts payable - real estate business,,1,4,10B100100,AccountsPayableRealEstate,Accounts payable - real estate business
　　　　Accounts payable - due to franchised stores,0.0,Current liabilities,,Accounts payable - due to franchised stores,,1,4,10B100110,DueToFranchisedStores,Accounts payable - due to franchised stores
　　　　Gift certificates,0.0,Current liabilities,,Gift certificates,,1,4,10B100120,GiftCertificates,Gift certificates
　　　　Advances received on service contracts in progress,0.0,Current liabilities,,Advances received on service contracts in progress,,1,4,10B100130,AdvancesReceivedOnUncompletedContracts,Advances received on service contracts in progress
　　　　Deposits received - real estate business,0.0,Current liabilities,,Deposits received - real estate business,,1,4,10B100140,DepositReceivedRealEstate,Deposits received - real estate business
"　　　　Accounts payable - other, and accrued expenses",0.0,Current liabilities,,"Accounts payable - other, and accrued expenses",,1,4,10B100150,AccountsPayableOtherAndAccruedExpenses,"Accounts payable - other, and accrued expenses"
　　　　Accrued expenses,0.0,Current liabilities,,Accrued expenses,,1,4,10B100160,AccruedExpenses,Accrued expenses
　　　　Advances received,0.0,Current liabilities,,Advances received,,1,4,10B100170,AdvancesReceived,Advances received
　　　　Deferred contribution for construction,0.0,Current liabilities,,Deferred contribution for construction,,1,4,10B100180,AdvancesReceived,Deferred contribution for construction
　　　　Unearned revenue,0.0,Current liabilities,,Unearned revenue,,1,4,10B100190,UnearnedRevenue,Unearned revenue
　　　　Lease obligations,0.0,Current liabilities,,Lease obligations,,1,4,10B100200,LeaseObligationsCL,Lease obligations
　　　　Asset retirement obligations,0.0,Current liabilities,,Asset retirement obligations,,1,4,10B100210,AssetRetirementObligationsCL,Asset retirement obligations
　　　　Liabilities related to right to operate public facilities,0.0,Current liabilities,,Liabilities related to right to operate public facilities,,1,4,10B100220,OtherCL,Liabilities related to right to operate public facilities
　　　　Derivatives liabilities,0.0,Current liabilities,,Derivatives liabilities,,1,4,10B100230,DerivativesLiabilitiesCL,Derivatives liabilities
　　　　　Forward exchange contracts,0.0,Current liabilities,,Forward exchange contracts,,1,5,10B100240,ForwardExchangeContractsCL,Forward exchange contracts
　　　　　Interest rate swap liabilities,0.0,Current liabilities,,Interest rate swap liabilities,,1,5,10B100250,InterestRateSwapLiabilitiesCL,Interest rate swap liabilities
　　　　　Interest rate swaps,0.0,Current liabilities,,Interest rate swaps,,1,5,10B100260,InterestRateSwapCL,Interest rate swaps
　　　　　Sold currency options,0.0,Current liabilities,,Sold currency options,,1,5,10B100270,SoldCurrencyOptionCL,Sold currency options
　　　　　Currency options,0.0,Current liabilities,,Currency options,,1,5,10B100280,CurrencyOptionCL,Currency options
　　　　　Options,0.0,Current liabilities,,Options,,1,5,10B100290,OptionCL,Options
　　　　Provisions,,Current liabilities,,Provisions,,T,4,10B100300,ProvisionCLAbstract,Provisions
　　　　　Provision for product warranties,0.0,Current liabilities,,Provision for product warranties,,1,5,10B100310,ProvisionForProductWarranties,Provision for product warranties
　　　　　Provision for bonuses,0.0,Current liabilities,,Provision for bonuses,,1,5,10B100320,ProvisionForBonuses,Provision for bonuses
　　　　　Provision for repairs,0.0,Current liabilities,,Provision for repairs,,1,5,10B100330,ProvisionForRepairs,Provision for repairs
　　　　　Provision for bonuses for directors (and other officers),0.0,Current liabilities,,Provision for bonuses for directors (and other officers),,1,5,10B100340,ProvisionForDirectorsBonuses,Provision for bonuses for directors (and other officers)
　　　　　Provision for loss on guarantees,0.0,Current liabilities,,Provision for loss on guarantees,,1,5,10B100350,ProvisionForLossOnGuaranteesCL,Provision for loss on guarantees
　　　　　Provision for point card certificates,0.0,Current liabilities,,Provision for point card certificates,,1,5,10B100360,ProvisionForPointCardCertificatesCL,Provision for point card certificates
　　　　　Provision for shareholder benefit program,0.0,Current liabilities,,Provision for shareholder benefit program,,1,5,10B100370,OtherProvisionCL,Provision for shareholder benefit program
　　　　　Provision for sales rebates,0.0,Current liabilities,,Provision for sales rebates,,1,5,10B100380,ProvisionForSalesRebates,Provision for sales rebates
　　　　　Provision for loss on construction contracts,0.0,Current liabilities,,Provision for loss on construction contracts,,1,5,10B100390,ProvisionForLossOnConstructionContracts,Provision for loss on construction contracts
　　　　　Provision for warranties for completed construction,0.0,Current liabilities,,Provision for warranties for completed construction,,1,5,10B100400,ProvisionForWarrantiesForCompletedConstruction,Provision for warranties for completed construction
　　　　　Provision for loss on store closings,0.0,Current liabilities,,Provision for loss on store closings,,1,5,10B100410,ProvisionForLossOnStoreClosing,Provision for loss on store closings
　　　　　Provision for sales promotion expenses,0.0,Current liabilities,,Provision for sales promotion expenses,,1,5,10B100420,ProvisionForSalesPromotionExpenses,Provision for sales promotion expenses
　　　　　Provision for sales returns,0.0,Current liabilities,,Provision for sales returns,,1,5,10B100430,ProvisionForSalesReturns,Provision for sales returns
　　　　　Provision for loss on order received,0.0,Current liabilities,,Provision for loss on order received,,1,5,10B100440,ProvisionForLossOnOrderReceivedCL,Provision for loss on order received
　　　　　Provision for loss on liquidation of subsidiaries and associates,0.0,Current liabilities,,Provision for loss on liquidation of subsidiaries and associates,,1,5,10B100450,ProvisionForLossOnLiquidationOfSubsidiariesAndAffiliatesCL,Provision for loss on liquidation of subsidiaries and associates
　　　　　Provision for loss on business liquidation,0.0,Current liabilities,,Provision for loss on business liquidation,,1,5,10B100460,ProvisionForLossOnBusinessLiquidationCL,Provision for loss on business liquidation
　　　　　Provision for loss on business of subsidiaries and associates,0.0,Current liabilities,,Provision for loss on business of subsidiaries and associates,,1,5,10B100470,ProvisionForLossOnBusinessOfSubsidiariesAndAffiliatesCL,Provision for loss on business of subsidiaries and associates
　　　　　Provision for business restructuring,0.0,Current liabilities,,Provision for business restructuring,,1,5,10B100480,ProvisionForBusinessStructureImprovementCL,Provision for business restructuring
　　　　　Provision for environmental measures,0.0,Current liabilities,,Provision for environmental measures,,1,5,10B100490,ProvisionForEnvironmentalMeasuresCL,Provision for environmental measures
　　　　　Provision for loss on litigation,0.0,Current liabilities,,Provision for loss on litigation,,1,5,10B100500,ProvisionForLossOnLitigationCL,Provision for loss on litigation
　　　　　Provision for loss on interest repayment,0.0,Current liabilities,,Provision for loss on interest repayment,,1,5,10B100510,ProvisionForLossOnInterestRepaymentCL,Provision for loss on interest repayment
　　　　　Provision for contingent loss,0.0,Current liabilities,,Provision for contingent loss,,1,5,10B100520,ProvisionForContingentLossCL,Provision for contingent loss
　　　　　Provision for guarantee for loans,0.0,Current liabilities,,Provision for guarantee for loans,,1,5,10B100530,ProvisionForGuaranteeForLoansCL,Provision for guarantee for loans
　　　　　Provision for loss on disaster,0.0,Current liabilities,,Provision for loss on disaster,,1,5,10B100540,ProvisionForLossOnDisasterCL,Provision for loss on disaster
　　　　　Provision for loss on construction contracts,0.0,Current liabilities,,Provision for loss on construction contracts,,1,5,10B100550,OtherProvisionCL,Provision for loss on construction contracts
　　　　　Provision for construction warranties for vessel,0.0,Current liabilities,,Provision for construction warranties for vessel,,1,5,10B100560,OtherProvisionCL,Provision for construction warranties for vessel
　　　　　Provision for construction warranties,0.0,Current liabilities,,Provision for construction warranties,,1,5,10B100570,OtherProvisionCL,Provision for construction warranties
　　　　　Provision for share-based remuneration,0.0,Current liabilities,,Provision for share-based remuneration,,1,5,10B100580,OtherProvisionCL,Provision for share-based remuneration
　　　　　Provision for share-based remuneration for directors (and other officers),0.0,Current liabilities,,Provision for share-based remuneration for directors (and other officers),,1,5,10B100590,OtherProvisionCL,Provision for share-based remuneration for directors (and other officers)
　　　　　Other provisions,0.0,Current liabilities,,Other provisions,,1,5,10B100600,OtherProvisionCL,Other provisions
　　　　　Provisions,0.0,Current liabilities,,Provisions,,1,5,10B100610,ProvisionCL,Provisions
"　　　　Accounts payable - ordinary transactions, paid in short term",,Current liabilities,,"Accounts payable - ordinary transactions, paid in short term",,T,4,10B100620,AccountsPayableOrdinaryTransactionsPaidInShortTermCLAbstract,"Accounts payable - ordinary transactions, paid in short term"
　　　　　Accounts payable - other,0.0,Current liabilities,,Accounts payable - other,,1,5,10B100630,AccountsPayableOther,Accounts payable - other
　　　　　Income taxes payable,0.0,Current liabilities,,Income taxes payable,,1,5,10B100640,IncomeTaxesPayable,Income taxes payable
　　　　　Accrued business office tax,0.0,Current liabilities,,Accrued business office tax,,1,5,10B100650,AccruedBusinessOfficeTaxes,Accrued business office tax
　　　　　Accrued consumption taxes,0.0,Current liabilities,,Accrued consumption taxes,,1,5,10B100660,AccruedConsumptionTaxes,Accrued consumption taxes
　　　　　Accrued taxes,0.0,Current liabilities,,Accrued taxes,,1,5,10B100670,AccruedTaxes,Accrued taxes
　　　　　Accrued alcohol tax,0.0,Current liabilities,,Accrued alcohol tax,,1,5,10B100680,AccruedAlcoholTax,Accrued alcohol tax
　　　　　Deposits received,0.0,Current liabilities,,Deposits received,,1,5,10B100690,DepositsReceived,Deposits received
　　　　　Deposits received from subsidiaries and associates,0.0,Current liabilities,,Deposits received from subsidiaries and associates,,1,5,10B100700,DepositsReceivedFromSubsidiariesAndAffiliates,Deposits received from subsidiaries and associates
　　　　　Accrued agency commission,0.0,Current liabilities,,Accrued agency commission,,1,5,10B100710,AccruedAgencyCommission,Accrued agency commission
　　　　　Current portion of guarantee deposits received,0.0,Current liabilities,,Current portion of guarantee deposits received,,1,5,10B100720,CurrentPortionOfGuaranteeDepositsReceived,Current portion of guarantee deposits received
　　　　Other liabilities - payable within one year,,Current liabilities,,Other liabilities - payable within one year,,T,4,10B100730,OtherLiabilitiesPayableWithinOneYearAbstract,Other liabilities - payable within one year
　　　　　Notes payable - facilities,0.0,Current liabilities,,Notes payable - facilities,,1,5,10B100740,NotesPayableFacilities,Notes payable - facilities
