classification,uadc_account_code,uadc_account_name,ledgerexplorer_account_code,ledgerexplorer_account_name,statement,normal_balance,candidate_supported
UADC_ONLY,1000,Demo Cash,,,BS,D,YES
UADC_ONLY,1010,Demo Petty Cash,,,BS,D,YES
UADC_ONLY,1100,Demo Central Ordinary Deposit,,,BS,D,YES
UADC_ONLY,1110,Demo North Current Deposit,,,BS,D,YES
UADC_ONLY,1120,Demo Harbor Ordinary Deposit,,,BS,D,YES
UADC_ONLY,1200,Demo Accounts Receivable,,,BS,D,YES
UADC_ONLY,1210,Demo Notes Receivable,,,BS,D,YES
UADC_ONLY,1300,Demo Inventory,,,BS,D,YES
UADC_ONLY,1400,Demo Prepaid Expenses,,,BS,D,YES
UADC_ONLY,1410,Demo Advances Paid,,,BS,D,YES
UADC_ONLY,1420,Demo Temporary Payments,,,BS,D,YES
UADC_ONLY,1430,Demo Input Tax Receivable,,,BS,D,YES
UADC_ONLY,1500,Demo Equipment,,,BS,D,YES
UADC_ONLY,1510,Demo Vehicles,,,BS,D,YES
UADC_ONLY,1520,Demo Software,,,BS,D,YES
UADC_ONLY,1590,Demo Accumulated Depreciation,,,BS,C,YES
UADC_ONLY,2000,Demo Accounts Payable,,,BS,C,YES
UADC_ONLY,2010,Demo Notes Payable,,,BS,C,YES
UADC_ONLY,2100,Demo Accrued Payables,,,BS,C,YES
UADC_ONLY,2110,Demo Payroll Withholding,,,BS,C,YES
UADC_ONLY,2120,Demo Output Tax Payable,,,BS,C,YES
UADC_ONLY,2130,Demo Temporary Receipts,,,BS,C,YES
UADC_ONLY,2200,Demo Short-term Loans,,,BS,C,YES
UADC_ONLY,2300,Demo Long-term Loans,,,BS,C,YES
UADC_ONLY,2400,Demo Unearned Revenue,,,BS,C,YES
UADC_ONLY,3000,Demo Capital,,,BS,C,YES
UADC_ONLY,3100,Demo Retained Earnings,,,BS,C,YES
UADC_ONLY,4000,Demo Product Sales,,,PL,C,YES
UADC_ONLY,4010,Demo Service Revenue,,,PL,C,YES
UADC_ONLY,4020,Demo Other Operating Revenue,,,PL,C,YES
UADC_ONLY,4030,Demo Interest Income,,,PL,C,YES
UADC_ONLY,4040,Demo Miscellaneous Income,,,PL,C,YES
UADC_ONLY,5000,Demo Purchases,,,PL,D,YES
UADC_ONLY,5010,Demo Freight-in,,,PL,D,YES
UADC_ONLY,5020,Demo Inventory Adjustment,,,PL,D,YES
UADC_ONLY,6000,Demo Salaries,,,PL,D,YES
UADC_ONLY,6010,Demo Statutory Welfare,,,PL,D,YES
UADC_ONLY,6020,Demo Office Rent,,,PL,D,YES
UADC_ONLY,6030,Demo Utilities,,,PL,D,YES
UADC_ONLY,6040,Demo Communication,,,PL,D,YES
UADC_ONLY,6050,Demo Business Travel,,,PL,D,YES
UADC_ONLY,6060,Demo Office Supplies,,,PL,D,YES
UADC_ONLY,6070,Demo Bank Fees,,,PL,D,YES
UADC_ONLY,6080,Demo Advertising,,,PL,D,YES
UADC_ONLY,6090,Demo Insurance,,,PL,D,YES
UADC_ONLY,6100,Demo Repairs,,,PL,D,YES
UADC_ONLY,6110,Demo Depreciation Expense,,,PL,D,YES
