C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45
1,,,,,,,AccountingEntries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,EntryHeader,2021-04-02,standard,J-001,商品売上（現金）,100000,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,EntryDetail,,,,,,,1,現金売上,100000,JPY,D,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,,,,DetailAccountIdentifier,,,,,,,,,,,,10A100020,現金,asset,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,,,Subaccount,,,,,,,,,,,,,,,1,現金,account-subaccount,,,,,,,,,,,,,,,,,,,,
1,1,2,,,,,EntryDetail,,,,,,,2,商品売上,100000,JPY,C,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,1,,,,DetailAccountIdentifier,,,,,,,,,,,,10D100100,商品売上高,income,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,EntryHeader,2021-04-05,standard,J-002,事務用品購入（現金・掛） 請求書 BILL-202104-002,150000,150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,1,,,,,EntryDetail,,,,,,,1,事務用品購入,150000,JPY,D,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,1,1,,,,DetailAccountIdentifier,,,,,,,,,,,,10E200200,消耗品費,expense,,,,,,,,,,,,,,,,,,,,,,,
1,2,1,,,,,DetailIdentifierReference,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,D01,department,企画部,O,,,,,
1,2,2,,,,,EntryDetail,,,,,,,2,現金支払,100000,JPY,C,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,1,,,,DetailAccountIdentifier,,,,,,,,,,,,10A100020,現金,asset,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,1,1,,,Subaccount,,,,,,,,,,,,,,,1,現金,account-subaccount,,,,,,,,,,,,,,,,,,,,
