JP07a,JP08a,Month,JP07a_GL03_03,JP07a_GL03_01,JP08a_GL04_03,JP06e_GE24_01,JP06e_GE24_02,Debit_Amount,JP02j_BS09_01,JP02j_BS09_02,GE05kw_01,JP05a_01,JP05a_02,BS04fb_01,BS04fb_02,JP06f_GE24_01,JP06f_GE24_02,Credit_Amount,JP02k_BS09_01,JP02k_BS09_02,GE05kB_01,JP05b_01,JP05b_02,BS04fc_01,BS04fc_02
1880,1,2021-12,2021-12-01,10,Car wash,10E201120,Vehicle expenses,3000,Q5,Standard 10%,272,,,,,10A100020,Cash and deposits,3000,00,Exempt,0,,,,
1881,1,2021-12,2021-12-01,18,Travel Expenses,10E201230,Travel and transportation expenses,29500,Q5,Standard 10%,2681,,,,,10A100020,Cash and deposits,29500,00,Exempt,0,,,,
1882,1,2021-12,2021-12-01,56,Travel Expenses,10E201230,Travel and transportation expenses,653500,Q5,Standard 10%,59409,,,,,10A100020,Cash and deposits,686175,00,Exempt,0,,,,
1882,2,2021-12,2021-12-01,56,JR,10E201230,Travel and transportation expenses,32675,Q5,Standard 10%,2970,,,,,,,0,,,0,,,,
1883,1,2021-12,2021-12-01,85,Travel Expenses,10E201230,Travel and transportation expenses,19800,Q5,Standard 10%,1800,,,,,10A100020,Cash and deposits,19800,00,Exempt,0,,,,
1884,1,2021-12,2021-12-01,143,Inspection Fee,10E201120,Vehicle expenses,29400,Q5,Standard 10%,2672,,,,,10A100020,Cash and deposits,29400,00,Exempt,0,,,,
1885,1,2021-12,2021-12-02,19,Travel Expenses,10E201230,Travel and transportation expenses,22000,Q5,Standard 10%,2000,,,,,10A100020,Cash and deposits,22000,00,Exempt,0,,,,
1886,1,2021-12,2021-12-03,134,Paper,10E201110,Office supplies expenses,14600,Q5,Standard 10%,1327,,,,,10A100020,Cash and deposits,14600,00,Exempt,0,,,,
1887,1,2021-12,2021-12-03,147,Gasoline Cost,10E201120,Vehicle expenses,6240,Q5,Standard 10%,567,,,,,10B100630,Accounts payable - other,6240,00,Exempt,0,,,,
1888,1,2021-12,2021-12-04,41,Year -year -old Gomei Department Store,10E200150,Entertainment expenses,69191,Q5,Standard 10%,6290,,,,,10A100020,Cash and deposits,125773,00,Exempt,0,,,,
1888,2,2021-12,2021-12-04,41,Year -end gift Imai Department Store,10E200150,Entertainment expenses,40629,Q5,Standard 10%,3693,,,,,,,0,,,0,,,,
1888,3,2021-12,2021-12-04,41,Year -end Geno -Toyooka Shoten,10E200150,Entertainment expenses,15953,Q5,Standard 10%,1450,,,,,,,0,,,0,,,,
1889,1,2021-12,2021-12-05,50,Highway Toll,10E201120,Vehicle expenses,3500,Q5,Standard 10%,318,,,,,10A100020,Cash and deposits,3500,00,Exempt,0,,,,
1890,1,2021-12,2021-12-05,86,JR,10E201230,Travel and transportation expenses,12000,Q5,Standard 10%,1090,,,,,10A100020,Cash and deposits,12000,00,Exempt,0,,,,
1891,1,2021-12,2021-12-05,95,"December 5th Slip No. 380 Watanabe Industries Co., Ltd.",10A100020,Cash and deposits,923680,00,Exempt,0,50,Fukuoka Kitakyushu,,,10A100090,Accounts receivable - trade,923680,00,Exempt,0,22,"Watanabe Industries Co., Ltd.",,
1891,2,2021-12,2021-12-05,95,"December 5th Slip No. 380 Watanabe Industries Co., Ltd.",10E200690,Commission expenses,0,Q5,Standard 10%,42,,,,,10A100090,Accounts receivable - trade,0,00,Exempt,0,22,"Watanabe Industries Co., Ltd.",,
1892,1,2021-12,2021-12-05,96,"December 5th Slip No. 381 Sasaki Sales Co., Ltd.",10A100020,Cash and deposits,1018824,00,Exempt,0,20,Mizuho Main Branch,,,10A100090,Accounts receivable - trade,1018824,00,Exempt,0,26,"Sasaki Sales Co., Ltd.",,
1892,2,2021-12,2021-12-05,96,"December 5th Slip No. 381 Sasaki Sales Co., Ltd.",10E200690,Commission expenses,0,Q5,Standard 10%,42,,,,,10A100090,Accounts receivable - trade,0,00,Exempt,0,26,"Sasaki Sales Co., Ltd.",,
1893,1,2021-12,2021-12-05,97,"December 5th Slip No. 382 Iwashita Trading Co., Ltd.",10A100020,Cash and deposits,814613,00,Exempt,0,30,Mitsui Nagoya,,,10A100090,Accounts receivable - trade,814613,00,Exempt,0,27,"Iwashita Trading Co., Ltd.",,
1894,1,2021-12,2021-12-05,133,Tax Accountant Fee,10E200600,Fee expenses,139710,Q5,Standard 10%,12700,,,,,10A100020,Cash and deposits,139710,00,Exempt,0,20,Mizuho Main Branch,,
