JP07a,JP08a,Month,JP07a_GL03_03,JP07a_GL03_01,JP08a_GL04_03,JP06e_GE24_01,JP06e_GE24_02,Debit_Amount,JP02j_BS09_01,JP02j_BS09_02,GE05kw_01,JP05a_01,JP05a_02,BS04fb_01,BS04fb_02,JP06f_GE24_01,JP06f_GE24_02,Credit_Amount,JP02k_BS09_01,JP02k_BS09_02,GE05kB_01,JP05b_01,JP05b_02,BS04fc_01,BS04fc_02
2360,1,2022-02,2022-02-01,67,Tissue and other,10E201270,Miscellaneous expenses,1029,Q5,Standard 10%,93,,,,,10A100020,Cash and deposits,1029,00,Exempt,0,,,,
2361,1,2022-02,2022-02-02,18,Travel Expenses,10E201230,Travel and transportation expenses,14500,Q5,Standard 10%,1318,,,,,10A100020,Cash and deposits,14500,00,Exempt,0,,,,
2362,1,2022-02,2022-02-02,94,"Kitchen supplies, etc.",10E201270,Miscellaneous expenses,1012,Q5,Standard 10%,92,,,,,10A100020,Cash and deposits,1012,00,Exempt,0,,,,
2363,1,2022-02,2022-02-02,102,Golf prize Dai Abe Shoten,10E200150,Entertainment expenses,5250,Q5,Standard 10%,477,,,,,10A100020,Cash and deposits,5250,00,Exempt,0,,,,
2364,1,2022-02,2022-02-02,150,Food and Beverage Cost Izakaya Kayu 4 People,10E200150,Entertainment expenses,14172,Q5,Standard 10%,1288,,,,,10A100020,Cash and deposits,29639,00,Exempt,0,,,,
2364,2,2022-02,2022-02-02,150,Food and Beverage Cost Bar Satsuma 4 People,10E200150,Entertainment expenses,15467,Q5,Standard 10%,1406,,,,,,,0,,,0,,,,
2365,1,2022-02,2022-02-03,41,Condolence Money,10E200150,Entertainment expenses,10000,Q5,Standard 10%,909,,,,,10A100020,Cash and deposits,10000,00,Exempt,0,,,,
2366,1,2022-02,2022-02-03,134,Paper,10E201110,Office supplies expenses,10500,Q5,Standard 10%,954,,,,,10B100630,Accounts payable - other,10500,00,Exempt,0,,,,
2367,1,2022-02,2022-02-04,19,Travel Expenses,10E201230,Travel and transportation expenses,8500,Q5,Standard 10%,772,,,,,10A100020,Cash and deposits,8500,00,Exempt,0,,,,
2368,1,2022-02,2022-02-04,147,Gasoline Cost,10E201120,Vehicle expenses,6693,Q5,Standard 10%,608,,,,,10B100630,Accounts payable - other,6693,00,Exempt,0,,,,
2369,1,2022-02,2022-02-05,20,Travel Expenses,10E201230,Travel and transportation expenses,42000,Q5,Standard 10%,3818,,,,,10A100020,Cash and deposits,42000,00,Exempt,0,,,,
2370,1,2022-02,2022-02-05,76,Employee meals,10E200140,Welfare expenses,15608,Q5,Standard 10%,1418,,,,,10B100630,Accounts payable - other,15608,00,Exempt,0,,,,
2371,1,2022-02,2022-02-05,85,"February 5th Slip No. 432 Watanabe Industries Co., Ltd.",10A100020,Cash and deposits,2036596,00,Exempt,0,50,Fukuoka Kitakyushu,,,10A100090,Accounts receivable - trade,2036596,00,Exempt,0,22,"Watanabe Industries Co., Ltd.",,
2371,2,2022-02,2022-02-05,85,"February 5th Slip No. 432 Watanabe Industries Co., Ltd.",10E200690,Commission expenses,0,Q5,Standard 10%,42,,,,,10A100090,Accounts receivable - trade,0,00,Exempt,0,22,"Watanabe Industries Co., Ltd.",,
2372,1,2022-02,2022-02-05,86,"February 5th Slip No. 433 Sasaki Sales Co., Ltd.",10A100020,Cash and deposits,2366012,00,Exempt,0,20,Mizuho Main Branch,,,10A100090,Accounts receivable - trade,2366012,00,Exempt,0,26,"Sasaki Sales Co., Ltd.",,
2372,2,2022-02,2022-02-05,86,"February 5th Slip No. 433 Sasaki Sales Co., Ltd.",10E200690,Commission expenses,0,Q5,Standard 10%,42,,,,,10A100090,Accounts receivable - trade,0,00,Exempt,0,26,"Sasaki Sales Co., Ltd.",,
2373,1,2022-02,2022-02-05,87,"February 5th Slip No. 434 Iwashita Trading Co., Ltd.",10A100020,Cash and deposits,1655306,00,Exempt,0,30,Mitsui Nagoya,,,10A100090,Accounts receivable - trade,1655306,00,Exempt,0,27,"Iwashita Trading Co., Ltd.",,
2374,1,2022-02,2022-02-05,133,Tax Accountant Fee,10E200600,Fee expenses,139710,Q5,Standard 10%,12700,,,,,10A100020,Cash and deposits,139710,00,Exempt,0,20,Mizuho Main Branch,,
2375,1,2022-02,2022-02-05,142,Highway Toll,10E201120,Vehicle expenses,4991,Q5,Standard 10%,453,,,,,10A100020,Cash and deposits,12556,00,Exempt,0,,,,
2375,2,2022-02,2022-02-05,142,Highway Toll,10E201120,Vehicle expenses,3004,Q5,Standard 10%,273,,,,,,,0,,,0,,,,
2375,3,2022-02,2022-02-05,142,Highway Toll,10E201120,Vehicle expenses,4561,Q5,Standard 10%,414,,,,,,,0,,,0,,,,
2376,1,2022-02,2022-02-05,161,Travel Expenses,10E201230,Travel and transportation expenses,6980,Q5,Standard 10%,634,,,,,10A100020,Cash and deposits,6980,00,Exempt,0,,,,
