Month,Ledger_Account_Number,Debit_Amount,Credit_Amount,Ledger_Account_Name,Beginning_Balance,Ending_Balance,eTax_Category
2021-09,10A100020,80361521,88781819,普通預金,81593951,73173653,流動資産
2021-09,10A100040,0,0,貸倒引当金,1758018,1758018,流動資産
2021-09,10A100060,30943498,15749339,受取手形,61972614,77166773,流動資産
2021-09,10A100090,59925783,67626279,売掛金,67626279,59925783,流動資産
2021-09,10A100200,40000,0,電子記録債権,0,40000,流動資産
2021-09,10A100230,0,0,有価証券,1271350,1271350,流動資産
2021-09,10A100280,0,0,商品,63013226,63013226,流動資産
2021-09,10A100610,0,40000,短期貸付金,280000,240000,流動資産
2021-09,10A100800,0,0,差入保証金,1200000,1200000,流動資産
2021-09,10A100850,0,0,仮払消費税等,2762581,2762581,流動資産
2021-09,10A210130,0,0,構築物,3280000,3280000,有形固定資産
2021-09,10A210410,0,0,工具、器具及び備品,4779810,4779810,有形固定資産
2021-09,10A220190,0,0,電話加入権,512000,512000,無形固定資産
2021-09,10A230570,125000,0,保険積立金,2153000,2278000,投資その他の資産
2021-09,10A230650,0,0,敷金,3140000,3140000,投資その他の資産
2021-09,10B100030,11291881,11501739,支払手形,34056381,34266239,流動負債
2021-09,10B100040,38263801,37187421,買掛金,49711718,48635338,流動負債
2021-09,10B100320,0,1173334,賞与引当金,2346666,3520000,流動負債
2021-09,10B100630,7181008,6788142,未払金,7181008,6788142,流動負債
2021-09,10B100640,0,0,未払法人税等,0,0,流動負債
2021-09,10B100660,0,0,未払消費税等,0,0,流動負債
2021-09,10B100670,0,0,未払事業税等,0,0,流動負債
2021-09,10B100690,1416832,1863616,預り金,4864281,5311065,流動負債
2021-09,10B100790,653500,0,短期借入金,4574500,3921000,流動負債
2021-09,10B100890,0,0,仮受消費税等,6540636,6540636,流動負債
2021-09,10B200080,0,0,長期借入金,37343150,37343150,固定負債
2021-09,10B200120,0,0,退職給付引当金,18560000,18560000,固定負債
2021-09,10B200130,0,0,役員退職慰労引当金,22000000,22000000,固定負債
2021-09,10C110010,0,0,資本金,10000000,10000000,資本金
2021-09,10C120020,0,0,資本準備金,0,0,資本剰余金
2021-09,10C130020,0,0,利益準備金,7200000,7200000,利益剰余金
2021-09,10C130360,0,0,別途積立金,4830000,4830000,利益剰余金
2021-09,10C130370,0,0,繰越利益剰余金,82709171,82709171,利益剰余金
2021-09,10D100100,0,59925783,総売上高,310492012,370417795,売上高
2021-09,10D100110,0,0,売上値引及び戻り高,1267444,1267444,売上高
2021-09,10E100100,0,0,商品期首たな卸高,0,0,売上原価
2021-09,10E100120,0,0,仕入値引及び戻し高,733583,733583,売上原価
2021-09,10E100130,37187421,0,当期商品仕入高,186087499,223274920,売上原価
2021-09,10E100140,0,0,商品期末たな卸高,0,0,売上原価
2021-09,10E200020,1917359,0,販売手数料,10858708,12776067,販売費及び一般管理費
2021-09,10E200050,191500,0,広告宣伝費,838200,1029700,販売費及び一般管理費
2021-09,10E200090,1720000,0,役員報酬,8600000,10320000,販売費及び一般管理費
2021-09,10E200130,1173334,0,賞与,4367666,5541000,販売費及び一般管理費
2021-09,10E200140,248789,0,福利厚生費,2272082,2520871,販売費及び一般管理費
2021-09,10E200150,235789,0,交際費,1712244,1948033,販売費及び一般管理費
2021-09,10E200180,1015535,0,通信費,5774811,6790346,販売費及び一般管理費
2021-09,10E200200,601956,300978,消耗品費,1430452,1731430,販売費及び一般管理費
2021-09,10E200210,2000,0,租税公課,175000,177000,販売費及び一般管理費
2021-09,10E200220,0,0,減価償却費,0,0,販売費及び一般管理費
2021-09,10E200240,318820,0,保険料,1594100,1912920,販売費及び一般管理費
2021-09,10E200370,4815545,0,給料及び手当,27007986,31823531,販売費及び一般管理費
2021-09,10E200520,356030,0,雑給,1801897,2157927,販売費及び一般管理費
2021-09,10E200540,716516,0,法定福利費,4153198,4869714,販売費及び一般管理費
2021-09,10E200600,139710,0,支払報酬,698550,838260,販売費及び一般管理費
2021-09,10E200690,12284,0,支払手数料,59478,71762,販売費及び一般管理費
2021-09,10E200720,3449000,0,地代家賃,17215000,20664000,販売費及び一般管理費
2021-09,10E200730,0,0,借地借家料,1469250,1469250,販売費及び一般管理費
2021-09,10E200870,3528951,0,運賃,18145617,21674568,販売費及び一般管理費
2021-09,10E201000,17850,0,修繕維持費,230100,247950,販売費及び一般管理費
2021-09,10E201040,573535,0,水道光熱費,2921631,3495166,販売費及び一般管理費
2021-09,10E201110,115601,0,事務用消耗品費,676203,791804,販売費及び一般管理費
2021-09,10E201120,720273,0,車両費,2903817,3624090,販売費及び一般管理費
2021-09,10E201130,24995,0,会議費,155454,180449,販売費及び一般管理費
2021-09,10E201140,116000,0,諸会費,580000,696000,販売費及び一般管理費
2021-09,10E201160,24982,0,図書費,124910,149892,販売費及び一般管理費
2021-09,10E201230,1001776,0,旅費及び交通費,5101351,6103127,販売費及び一般管理費
2021-09,10E201270,477400,0,雑費,2403231,2880631,販売費及び一般管理費
2021-09,10E300020,32675,0,支払利息,690434,723109,営業外費用
2021-09,10F100070,0,0,法人税、住民税及び事業税,0,0,その他
