Month,Ledger_Account_Number,Debit_Amount,Credit_Amount,Ledger_Account_Name,Beginning_Balance,Ending_Balance,eTax_Category
2021-07,10A100020,96722666,110462050,普通預金,93383927,79644543,流動資産
2021-07,10A100040,0,0,貸倒引当金,1758018,1758018,流動資産
2021-07,10A100060,29775949,35100226,受取手形,63439984,58115707,流動資産
2021-07,10A100090,63234494,58144651,売掛金,57831691,62921534,流動資産
2021-07,10A100200,0,0,電子記録債権,0,0,流動資産
2021-07,10A100230,0,0,有価証券,1271350,1271350,流動資産
2021-07,10A100280,0,0,商品,63013226,63013226,流動資産
2021-07,10A100610,0,40000,短期貸付金,360000,320000,流動資産
2021-07,10A100800,0,0,差入保証金,1200000,1200000,流動資産
2021-07,10A100850,0,0,仮払消費税等,2762581,2762581,流動資産
2021-07,10A210130,0,0,構築物,3280000,3280000,有形固定資産
2021-07,10A210410,0,0,工具、器具及び備品,4779810,4779810,有形固定資産
2021-07,10A220190,0,0,電話加入権,512000,512000,無形固定資産
2021-07,10A230570,125000,0,保険積立金,1903000,2028000,投資その他の資産
2021-07,10A230650,0,0,敷金,3140000,3140000,投資その他の資産
2021-07,10B100030,26027566,11194013,支払手形,44079502,29245949,流動負債
2021-07,10B100040,37027844,38214965,買掛金,47813769,49000890,流動負債
2021-07,10B100320,0,1173334,賞与引当金,0,1173334,流動負債
2021-07,10B100630,7249493,7691085,未払金,7249493,7691085,流動負債
2021-07,10B100640,0,0,未払法人税等,0,0,流動負債
2021-07,10B100660,0,0,未払消費税等,0,0,流動負債
2021-07,10B100670,0,0,未払事業税等,0,0,流動負債
2021-07,10B100690,2061939,1901556,預り金,4517862,4357479,流動負債
2021-07,10B100790,653500,0,短期借入金,5881500,5228000,流動負債
2021-07,10B100890,0,0,仮受消費税等,6540636,6540636,流動負債
2021-07,10B200080,0,0,長期借入金,37343150,37343150,固定負債
2021-07,10B200120,0,0,退職給付引当金,18560000,18560000,固定負債
2021-07,10B200130,0,0,役員退職慰労引当金,22000000,22000000,固定負債
2021-07,10C110010,0,0,資本金,10000000,10000000,資本金
2021-07,10C120020,0,0,資本準備金,0,0,資本剰余金
2021-07,10C130020,0,0,利益準備金,7200000,7200000,利益剰余金
2021-07,10C130360,0,0,別途積立金,4830000,4830000,利益剰余金
2021-07,10C130370,0,0,繰越利益剰余金,82709171,82709171,利益剰余金
2021-07,10D100100,0,63234494,総売上高,179631239,242865733,売上高
2021-07,10D100110,322960,0,売上値引及び戻り高,944484,1267444,売上高
2021-07,10E100100,0,0,商品期首たな卸高,0,0,売上原価
2021-07,10E100120,0,87340,仕入値引及び戻し高,646243,733583,売上原価
2021-07,10E100130,38214965,0,当期商品仕入高,109594945,147809910,売上原価
2021-07,10E100140,0,0,商品期末たな卸高,0,0,売上原価
2021-07,10E200020,2363708,0,販売手数料,6582000,8945708,販売費及び一般管理費
2021-07,10E200050,139000,0,広告宣伝費,507700,646700,販売費及び一般管理費
2021-07,10E200090,1720000,0,役員報酬,5160000,6880000,販売費及び一般管理費
2021-07,10E200130,1173334,0,賞与,2021000,3194334,販売費及び一般管理費
2021-07,10E200140,288673,0,福利厚生費,1302265,1590938,販売費及び一般管理費
2021-07,10E200150,239624,0,交際費,1076222,1315846,販売費及び一般管理費
2021-07,10E200180,1172659,0,通信費,3554991,4727650,販売費及び一般管理費
2021-07,10E200200,537004,268502,消耗品費,880841,1149343,販売費及び一般管理費
2021-07,10E200210,0,0,租税公課,135000,135000,販売費及び一般管理費
2021-07,10E200220,0,0,減価償却費,0,0,販売費及び一般管理費
2021-07,10E200240,318820,0,保険料,956460,1275280,販売費及び一般管理費
2021-07,10E200370,5229240,0,給料及び手当,16508367,21737607,販売費及び一般管理費
2021-07,10E200520,364425,0,雑給,908002,1272427,販売費及び一般管理費
2021-07,10E200540,1190201,0,法定福利費,2252338,3442539,販売費及び一般管理費
2021-07,10E200600,139710,0,支払報酬,419130,558840,販売費及び一般管理費
2021-07,10E200690,12126,0,支払手数料,34963,47089,販売費及び一般管理費
2021-07,10E200720,3419000,0,地代家賃,10347000,13766000,販売費及び一般管理費
2021-07,10E200730,587700,0,借地借家料,587700,1175400,販売費及び一般管理費
2021-07,10E200870,4007828,0,運賃,10558539,14566367,販売費及び一般管理費
2021-07,10E201000,35850,0,修繕維持費,176400,212250,販売費及び一般管理費
2021-07,10E201040,577420,0,水道光熱費,1807719,2385139,販売費及び一般管理費
2021-07,10E201110,124268,0,事務用消耗品費,414942,539210,販売費及び一般管理費
2021-07,10E201120,618735,0,車両費,1654729,2273464,販売費及び一般管理費
2021-07,10E201130,24995,0,会議費,105464,130459,販売費及び一般管理費
2021-07,10E201140,116000,0,諸会費,348000,464000,販売費及び一般管理費
2021-07,10E201160,24982,0,図書費,74946,99928,販売費及び一般管理費
2021-07,10E201230,1040507,0,旅費及び交通費,3136340,4176847,販売費及び一般管理費
2021-07,10E201270,481232,0,雑費,1442151,1923383,販売費及び一般管理費
2021-07,10E300020,148799,0,支払利息,390376,539175,営業外費用
2021-07,10F100070,0,0,法人税、住民税及び事業税,0,0,その他
