Month,Ledger_Account_Number,Debit_Amount,Credit_Amount,Ledger_Account_Name,Beginning_Balance,Ending_Balance,eTax_Category
2021-04,10A100020,122180406,113761011,普通預金,97003047,105422442,流動資産
2021-04,10A100040,0,0,貸倒引当金,1758018,1758018,流動資産
2021-04,10A100060,39689677,24690618,受取手形,59534189,74533248,流動資産
2021-04,10A100090,60337616,98338289,売掛金,98170353,60169680,流動資産
2021-04,10A100200,0,0,電子記録債権,0,0,流動資産
2021-04,10A100230,0,0,有価証券,1271350,1271350,流動資産
2021-04,10A100280,0,0,商品,63013226,63013226,流動資産
2021-04,10A100610,0,40000,短期貸付金,480000,440000,流動資産
2021-04,10A100800,0,0,差入保証金,1200000,1200000,流動資産
2021-04,10A100850,0,0,仮払消費税等,2762581,2762581,流動資産
2021-04,10A210130,0,0,構築物,3280000,3280000,有形固定資産
2021-04,10A210410,0,0,工具、器具及び備品,4779810,4779810,有形固定資産
2021-04,10A220190,0,0,電話加入権,512000,512000,無形固定資産
2021-04,10A230570,125000,0,保険積立金,1528000,1653000,投資その他の資産
2021-04,10A230650,0,0,敷金,3140000,3140000,投資その他の資産
2021-04,10B100030,24104558,26027566,支払手形,52251735,54174743,流動負債
2021-04,10B100040,52131298,35491682,買掛金,64051101,47411485,流動負債
2021-04,10B100320,0,673667,賞与引当金,2021000,2694667,流動負債
2021-04,10B100630,7584692,7369946,未払金,7584692,7369946,流動負債
2021-04,10B100640,0,0,未払法人税等,2864378,2864378,流動負債
2021-04,10B100660,0,0,未払消費税等,4947100,4947100,流動負債
2021-04,10B100670,0,0,未払事業税等,1862000,1862000,流動負債
2021-04,10B100690,1426819,2013716,預り金,2309575,2896472,流動負債
2021-04,10B100790,653500,0,短期借入金,7842000,7188500,流動負債
2021-04,10B100890,0,0,仮受消費税等,6540636,6540636,流動負債
2021-04,10B200080,0,0,長期借入金,37343150,37343150,固定負債
2021-04,10B200120,0,0,退職給付引当金,18560000,18560000,固定負債
2021-04,10B200130,0,0,役員退職慰労引当金,22000000,22000000,固定負債
2021-04,10C110010,0,0,資本金,10000000,10000000,資本金
2021-04,10C120020,0,0,資本準備金,0,0,資本剰余金
2021-04,10C130020,0,0,利益準備金,7200000,7200000,利益剰余金
2021-04,10C130360,0,0,別途積立金,4830000,4830000,利益剰余金
2021-04,10C130370,0,0,繰越利益剰余金,82709171,82709171,利益剰余金
2021-04,10D100100,0,60337616,総売上高,0,60337616,売上高
2021-04,10D100110,167936,0,売上値引及び戻り高,0,167936,売上高
2021-04,10E100100,0,0,商品期首たな卸高,0,0,売上原価
2021-04,10E100120,0,202379,仕入値引及び戻し高,0,202379,売上原価
2021-04,10E100130,35491682,0,当期商品仕入高,0,35491682,売上原価
2021-04,10E100140,0,0,商品期末たな卸高,0,0,売上原価
2021-04,10E200020,2266000,0,販売手数料,0,2266000,販売費及び一般管理費
2021-04,10E200050,191500,0,広告宣伝費,0,191500,販売費及び一般管理費
2021-04,10E200090,1720000,0,役員報酬,0,1720000,販売費及び一般管理費
2021-04,10E200130,673667,0,賞与,0,673667,販売費及び一般管理費
2021-04,10E200140,302784,0,福利厚生費,0,302784,販売費及び一般管理費
2021-04,10E200150,387529,0,交際費,0,387529,販売費及び一般管理費
2021-04,10E200180,1314451,0,通信費,0,1314451,販売費及び一般管理費
2021-04,10E200200,704154,352077,消耗品費,0,352077,販売費及び一般管理費
2021-04,10E200210,56000,0,租税公課,0,56000,販売費及び一般管理費
2021-04,10E200220,0,0,減価償却費,0,0,販売費及び一般管理費
2021-04,10E200240,318820,0,保険料,0,318820,販売費及び一般管理費
2021-04,10E200370,5702352,0,給料及び手当,0,5702352,販売費及び一般管理費
2021-04,10E200520,396465,0,雑給,0,396465,販売費及び一般管理費
2021-04,10E200540,743926,0,法定福利費,0,743926,販売費及び一般管理費
2021-04,10E200600,139710,0,支払報酬,0,139710,販売費及び一般管理費
2021-04,10E200690,10552,0,支払手数料,0,10552,販売費及び一般管理費
2021-04,10E200720,3449000,0,地代家賃,0,3449000,販売費及び一般管理費
2021-04,10E200730,293850,0,借地借家料,0,293850,販売費及び一般管理費
2021-04,10E200870,3580147,0,運賃,0,3580147,販売費及び一般管理費
2021-04,10E201000,35850,0,修繕維持費,0,35850,販売費及び一般管理費
2021-04,10E201040,615042,0,水道光熱費,0,615042,販売費及び一般管理費
2021-04,10E201110,142108,0,事務用消耗品費,0,142108,販売費及び一般管理費
2021-04,10E201120,614477,0,車両費,0,614477,販売費及び一般管理費
2021-04,10E201130,24995,0,会議費,0,24995,販売費及び一般管理費
2021-04,10E201140,116000,0,諸会費,0,116000,販売費及び一般管理費
2021-04,10E201160,24982,0,図書費,0,24982,販売費及び一般管理費
2021-04,10E201230,1012406,0,旅費及び交通費,0,1012406,販売費及び一般管理費
2021-04,10E201270,477559,0,雑費,0,477559,販売費及び一般管理費
2021-04,10E300020,91057,0,支払利息,0,91057,営業外費用
2021-04,10F100070,0,0,法人税、住民税及び事業税,0,0,その他
