Month,Ledger_Account_Number,Debit_Amount,Credit_Amount,Ledger_Account_Name,Beginning_Balance,Ending_Balance,eTax_Category
2021-10,10A100020,107853373,93098970,普通預金,73173653,87928056,流動資産
2021-10,10A100040,0,0,貸倒引当金,1758018,1758018,流動資産
2021-10,10A100060,31600586,46905207,受取手形,77166773,61862152,流動資産
2021-10,10A100090,61564282,59925783,売掛金,59925783,61564282,流動資産
2021-10,10A100200,0,0,電子記録債権,40000,40000,流動資産
2021-10,10A100230,0,0,有価証券,1271350,1271350,流動資産
2021-10,10A100280,0,0,商品,63013226,63013226,流動資産
2021-10,10A100610,0,40000,短期貸付金,240000,200000,流動資産
2021-10,10A100800,0,0,差入保証金,1200000,1200000,流動資産
2021-10,10A100850,0,0,仮払消費税等,2762581,2762581,流動資産
2021-10,10A210130,0,0,構築物,3280000,3280000,有形固定資産
2021-10,10A210410,0,0,工具、器具及び備品,4779810,4779810,有形固定資産
2021-10,10A220190,0,0,電話加入権,512000,512000,無形固定資産
2021-10,10A230570,125000,0,保険積立金,2278000,2403000,投資その他の資産
2021-10,10A230650,0,0,敷金,3140000,3140000,投資その他の資産
2021-10,10B100030,10880762,11472073,支払手形,34266239,34857550,流動負債
2021-10,10B100040,37483187,38995768,買掛金,48635338,50147919,流動負債
2021-10,10B100320,0,1173334,賞与引当金,3520000,4693334,流動負債
2021-10,10B100630,6788142,7681594,未払金,6788142,7681594,流動負債
2021-10,10B100640,0,0,未払法人税等,0,0,流動負債
2021-10,10B100660,0,0,未払消費税等,0,0,流動負債
2021-10,10B100670,0,0,未払事業税等,0,0,流動負債
2021-10,10B100690,1395878,1945054,預り金,5311065,5860241,流動負債
2021-10,10B100790,653500,0,短期借入金,3921000,3267500,流動負債
2021-10,10B100890,0,0,仮受消費税等,6540636,6540636,流動負債
2021-10,10B200080,0,0,長期借入金,37343150,37343150,固定負債
2021-10,10B200120,0,0,退職給付引当金,18560000,18560000,固定負債
2021-10,10B200130,0,0,役員退職慰労引当金,22000000,22000000,固定負債
2021-10,10C110010,0,0,資本金,10000000,10000000,資本金
2021-10,10C120020,0,0,資本準備金,0,0,資本剰余金
2021-10,10C130020,0,0,利益準備金,7200000,7200000,利益剰余金
2021-10,10C130360,0,0,別途積立金,4830000,4830000,利益剰余金
2021-10,10C130370,0,0,繰越利益剰余金,82709171,82709171,利益剰余金
2021-10,10D100100,0,61564282,総売上高,370417795,431982077,売上高
2021-10,10D100110,0,0,売上値引及び戻り高,1267444,1267444,売上高
2021-10,10E100100,0,0,商品期首たな卸高,0,0,売上原価
2021-10,10E100120,0,0,仕入値引及び戻し高,733583,733583,売上原価
2021-10,10E100130,38995768,0,当期商品仕入高,223274920,262270688,売上原価
2021-10,10E100140,0,0,商品期末たな卸高,0,0,売上原価
2021-10,10E200020,2227000,0,販売手数料,12776067,15003067,販売費及び一般管理費
2021-10,10E200050,191500,0,広告宣伝費,1029700,1221200,販売費及び一般管理費
2021-10,10E200090,1720000,0,役員報酬,10320000,12040000,販売費及び一般管理費
2021-10,10E200130,1173334,0,賞与,5541000,6714334,販売費及び一般管理費
2021-10,10E200140,680660,0,福利厚生費,2520871,3201531,販売費及び一般管理費
2021-10,10E200150,227874,0,交際費,1948033,2175907,販売費及び一般管理費
2021-10,10E200180,994350,0,通信費,6790346,7784696,販売費及び一般管理費
2021-10,10E200200,490924,245462,消耗品費,1731430,1976892,販売費及び一般管理費
2021-10,10E200210,10000,0,租税公課,177000,187000,販売費及び一般管理費
2021-10,10E200220,0,0,減価償却費,0,0,販売費及び一般管理費
2021-10,10E200240,318820,0,保険料,1912920,2231740,販売費及び一般管理費
2021-10,10E200370,5230473,0,給料及び手当,31823531,37054004,販売費及び一般管理費
2021-10,10E200520,511380,0,雑給,2157927,2669307,販売費及び一般管理費
2021-10,10E200540,721981,0,法定福利費,4869714,5591695,販売費及び一般管理費
2021-10,10E200600,139710,0,支払報酬,838260,977970,販売費及び一般管理費
2021-10,10E200690,12021,0,支払手数料,71762,83783,販売費及び一般管理費
2021-10,10E200720,3449000,0,地代家賃,20664000,24113000,販売費及び一般管理費
2021-10,10E200730,587700,0,借地借家料,1469250,2056950,販売費及び一般管理費
2021-10,10E200870,3809965,0,運賃,21674568,25484533,販売費及び一般管理費
2021-10,10E201000,35850,0,修繕維持費,247950,283800,販売費及び一般管理費
2021-10,10E201040,570843,0,水道光熱費,3495166,4066009,販売費及び一般管理費
2021-10,10E201110,107382,0,事務用消耗品費,791804,899186,販売費及び一般管理費
2021-10,10E201120,641028,0,車両費,3624090,4265118,販売費及び一般管理費
2021-10,10E201130,24995,0,会議費,180449,205444,販売費及び一般管理費
2021-10,10E201140,116000,0,諸会費,696000,812000,販売費及び一般管理費
2021-10,10E201160,24982,0,図書費,149892,174874,販売費及び一般管理費
2021-10,10E201230,1059415,0,旅費及び交通費,6103127,7162542,販売費及び一般管理費
2021-10,10E201270,474957,0,雑費,2880631,3355588,販売費及び一般管理費
2021-10,10E300020,154905,0,支払利息,723109,878014,営業外費用
2021-10,10F100070,0,0,法人税、住民税及び事業税,0,0,その他
