standard_account_key,standard_account_number,account_subaccount_id,account_subaccount_type,display_account_name,account_classification,normal_balance,report_statement,report_section,local_account_code,local_account_name,pca_account_code,pca_account_name,mapping_status,internal_mapping_authority_path,internal_mapping_authority_sha256,official_reference_path,official_reference_sha256,official_reference_locator
10A100020-1,10A100020,1,account-subaccount,現金,asset,D,BS,流動資産,1000,現金,111,現金,REVIEWED_EXACT,C:\Users\nobuy\GitHub\WORK\UADC_PoC\bindings\flat-csv\PCA_Accounting_81col\PCA_Accounting_81col_ACCOUNT_MAPPING.csv,F5E28D8EEB56C1927ADD51F28597F4C6865876988F9ABF256B581B278F09049A,C:\Users\nobuy\GitHub\WORK\LedgerExplorer\data\ja\e-tax\HOT010_3.0_BS_10.csv,B165AFE0858E5F97AAEF82574B95168FE63434511FB1D55450CE48FED910EBC0,10A100020:line 5
10A100020-3,10A100020,3,account-subaccount,普通預金,asset,D,BS,流動資産,1100,普通預金,131,普通預金,REVIEWED_EXACT,C:\Users\nobuy\GitHub\WORK\UADC_PoC\bindings\flat-csv\PCA_Accounting_81col\PCA_Accounting_81col_ACCOUNT_MAPPING.csv,F5E28D8EEB56C1927ADD51F28597F4C6865876988F9ABF256B581B278F09049A,C:\Users\nobuy\GitHub\WORK\LedgerExplorer\data\ja\e-tax\HOT010_3.0_BS_10.csv,B165AFE0858E5F97AAEF82574B95168FE63434511FB1D55450CE48FED910EBC0,10A100020:line 5
10A100090,10A100090,,,売掛金,asset,D,BS,流動資産,1200,売掛金,152,売掛金,REVIEWED_EXACT,C:\Users\nobuy\GitHub\WORK\UADC_PoC\bindings\flat-csv\PCA_Accounting_81col\PCA_Accounting_81col_ACCOUNT_MAPPING.csv,F5E28D8EEB56C1927ADD51F28597F4C6865876988F9ABF256B581B278F09049A,C:\Users\nobuy\GitHub\WORK\LedgerExplorer\data\ja\e-tax\HOT010_3.0_BS_10.csv,B165AFE0858E5F97AAEF82574B95168FE63434511FB1D55450CE48FED910EBC0,10A100090:line 12
10B100040,10B100040,,,買掛金,liability,C,BS,流動負債,2000,買掛金,312,買掛金,REVIEWED_EXACT,C:\Users\nobuy\GitHub\WORK\UADC_PoC\bindings\flat-csv\PCA_Accounting_81col\PCA_Accounting_81col_ACCOUNT_MAPPING.csv,F5E28D8EEB56C1927ADD51F28597F4C6865876988F9ABF256B581B278F09049A,C:\Users\nobuy\GitHub\WORK\LedgerExplorer\data\ja\e-tax\HOT010_3.0_BS_10.csv,B165AFE0858E5F97AAEF82574B95168FE63434511FB1D55450CE48FED910EBC0,10B100040:line 351
10C110010,10C110010,,,資本金,equity,C,BS,純資産,3000,資本金,411,資本金,REVIEWED_LEDGER_AND_ETAX,C:\Users\nobuy\GitHub\WORK\LedgerExplorer\data\sample\ja\source\account_list.csv,4FC1870D9F2F3E342484A8A4B34FC4F50B118FD5BFF0B27C3C807A019BE25CD2,C:\Users\nobuy\GitHub\WORK\LedgerExplorer\data\ja\e-tax\HOT010_3.0_BS_10.csv,B165AFE0858E5F97AAEF82574B95168FE63434511FB1D55450CE48FED910EBC0,10C110010:line 529; account_list row 82
10D100100,10D100100,,,商品売上高,income,C,PL,売上高,4000,商品売上高,511,売上高,REVIEWED_NAME_NORMALIZATION,C:\Users\nobuy\GitHub\WORK\UADC_PoC\bindings\flat-csv\PCA_Accounting_81col\PCA_Accounting_81col_ACCOUNT_MAPPING.csv,F5E28D8EEB56C1927ADD51F28597F4C6865876988F9ABF256B581B278F09049A,C:\Users\nobuy\GitHub\WORK\LedgerExplorer\data\ja\e-tax\HOT010_3.0_PL_10.csv,B7AA957B133D204D4D873B9BA84C57B1F95D133A1276A00E9EDF95E7B2C53499,10D100100:line 12
10E100130,10E100130,,,仕入高,expense,D,PL,売上原価,5000,仕入高,541,商品仕入高,REVIEWED_NAME_NORMALIZATION,C:\Users\nobuy\GitHub\WORK\UADC_PoC\bindings\flat-csv\PCA_Accounting_81col\PCA_Accounting_81col_ACCOUNT_MAPPING.csv,F5E28D8EEB56C1927ADD51F28597F4C6865876988F9ABF256B581B278F09049A,C:\Users\nobuy\GitHub\WORK\LedgerExplorer\data\ja\e-tax\HOT010_3.0_PL_10.csv,B7AA957B133D204D4D873B9BA84C57B1F95D133A1276A00E9EDF95E7B2C53499,10E100130:line 122
10E200870,10E200870,,,荷造運賃,expense,D,PL,販売費及び一般管理費,5100,荷造運賃,731,運賃,REVIEWED_NAME_NORMALIZATION,C:\Users\nobuy\GitHub\WORK\UADC_PoC\bindings\flat-csv\PCA_Accounting_81col\PCA_Accounting_81col_ACCOUNT_MAPPING.csv,F5E28D8EEB56C1927ADD51F28597F4C6865876988F9ABF256B581B278F09049A,C:\Users\nobuy\GitHub\WORK\LedgerExplorer\data\ja\e-tax\HOT010_3.0_PL_10.csv,B7AA957B133D204D4D873B9BA84C57B1F95D133A1276A00E9EDF95E7B2C53499,10E200870:line 421
10E200200,10E200200,,,消耗品費,expense,D,PL,販売費及び一般管理費,5200,消耗品費,737,消耗品費,REVIEWED_EXACT,C:\Users\nobuy\GitHub\WORK\UADC_PoC\bindings\flat-csv\PCA_Accounting_81col\PCA_Accounting_81col_ACCOUNT_MAPPING.csv,F5E28D8EEB56C1927ADD51F28597F4C6865876988F9ABF256B581B278F09049A,C:\Users\nobuy\GitHub\WORK\LedgerExplorer\data\ja\e-tax\HOT010_3.0_PL_10.csv,B7AA957B133D204D4D873B9BA84C57B1F95D133A1276A00E9EDF95E7B2C53499,10E200200:line 354
10E200370,10E200370,,,給料手当,expense,D,PL,販売費及び一般管理費,6000,給料手当,712,給与手当,REVIEWED_NAME_NORMALIZATION,C:\Users\nobuy\GitHub\WORK\UADC_PoC\bindings\flat-csv\PCA_Accounting_81col\PCA_Accounting_81col_ACCOUNT_MAPPING.csv,F5E28D8EEB56C1927ADD51F28597F4C6865876988F9ABF256B581B278F09049A,C:\Users\nobuy\GitHub\WORK\LedgerExplorer\data\ja\e-tax\HOT010_3.0_PL_10.csv,B7AA957B133D204D4D873B9BA84C57B1F95D133A1276A00E9EDF95E7B2C53499,10E200370:line 371
