JP07a,JP08a,Month,JP07a_GL03_03,JP07a_GL03_01,JP08a_GL04_03,JP06e_GE24_01,JP06e_GE24_02,Debit_Amount,JP02j_BS09_01,JP02j_BS09_02,GE05kw_01,JP05a_01,JP05a_02,BS04fb_01,BS04fb_02,JP06f_GE24_01,JP06f_GE24_02,Credit_Amount,JP02k_BS09_01,JP02k_BS09_02,GE05kB_01,JP05b_01,JP05b_02,BS04fc_01,BS04fc_02
1,1,2021-04,2021-04-01,18,旅費,10E201230,旅費及び交通費,19500,S,S,1772,,,010,札幌営業所,10A100020,現金,19500,O,O,0,,,000,共通部門
2,1,2021-04,2021-04-01,246,旅費,10E201230,旅費及び交通費,10000,S,S,909,,,030,名古屋支店,10A100020,現金,10000,O,O,0,,,000,共通部門
5,1,2021-04,2021-04-02,122,証明書発行手数料,10E200180,通信費,1050,S,S,95,,,040,大阪支店,10A100020,現金,1050,O,O,0,,,000,共通部門
6,1,2021-04,2021-04-02,142,高速代,10E201120,車両費,2458,S,S,223,,,040,大阪支店,10A100020,現金,2458,O,O,0,,,000,共通部門
6,2,2021-04,2021-04-02,142,駐車代,10E201120,車両費,591,S,S,53,,,040,大阪支店,10A100020,現金,591,O,O,0,,,000,共通部門
6,3,2021-04,2021-04-02,142,ガソリン代,10E201120,車両費,4620,S,S,420,,,040,大阪支店,10A100020,現金,4620,O,O,0,,,000,共通部門
6,4,2021-04,2021-04-02,142,洗車券代,10E201120,車両費,5715,S,S,519,,,040,大阪支店,10A100020,現金,5715,O,O,0,,,000,共通部門
3,1,2021-04,2021-04-02,19,旅費,10E201230,旅費及び交通費,11000,S,S,1000,,,010,札幌営業所,10A100020,現金,11000,O,O,0,,,000,共通部門
4,1,2021-04,2021-04-02,68,トイレットペーパー他,10E201270,雑費,2970,S,S,270,,,010,札幌営業所,10A100020,現金,2970,O,O,0,,,000,共通部門
8,1,2021-04,2021-04-03,134,用紙,10E201110,事務用消耗品費,15600,S,S,1418,,,010,札幌営業所,10A100020,現金,15600,O,O,0,,,000,共通部門
7,1,2021-04,2021-04-03,41,結婚式会費,10E200150,交際費,12000,S,S,1090,,,020,東京支店,10A100020,現金,12000,O,O,0,,,000,共通部門
9,1,2021-04,2021-04-04,310,ガソリン代,10E201120,車両費,6486,S,S,589,,,050,九州営業所,10A100020,現金,6486,O,O,0,,,000,共通部門
9,2,2021-04,2021-04-04,310,高速代,10E201120,車両費,9715,S,S,883,,,050,九州営業所,10A100020,現金,9715,O,O,0,,,000,共通部門
9,3,2021-04,2021-04-04,310,駐車代,10E201120,車両費,1200,S,S,109,,,050,九州営業所,10A100020,現金,1200,O,O,0,,,000,共通部門
11,1,2021-04,2021-04-05,133,税理士報酬,10E200600,支払報酬,139710,S,S,12700,,,020,東京支店,10A100020,普通預金,139710,O,O,0,20,ABC銀行 本店,000,共通部門
12,1,2021-04,2021-04-05,139,制服代,10E200140,福利厚生費,55630,S,S,5057,,,040,大阪支店,10B100630,未払金,55630,O,O,0,,,000,共通部門
13,1,2021-04,2021-04-05,254,4月5日伝票No190株式会社豊原産業,10A100020,普通預金,2959035,O,O,0,50,MNO銀行 北九州,000,共通部門,10A100090,売掛金,2959035,O,O,0,22,株式会社豊原産業,000,共通部門
13,2,2021-04,2021-04-05,254,4月5日伝票No190株式会社豊原産業,10E200690,支払手数料,630,S,S,57,,,050,九州営業所,10A100090,売掛金,630,O,O,0,22,株式会社豊原産業,000,共通部門
14,1,2021-04,2021-04-05,255,4月5日伝票No191若松販売株式会社,10A100020,普通預金,1508295,O,O,0,20,ABC銀行 本店,000,共通部門,10A100090,売掛金,1508295,O,O,0,26,若松販売株式会社,000,共通部門
14,2,2021-04,2021-04-05,255,4月5日伝票No191若松販売株式会社,10E200690,支払手数料,472,S,S,42,,,020,東京支店,10A100090,売掛金,472,O,O,0,26,若松販売株式会社,000,共通部門
15,1,2021-04,2021-04-05,256,4月5日伝票No192晴海物産株式会社,10A100020,普通預金,2171384,O,O,0,30,GHI銀行 名古屋,000,共通部門,10A100090,売掛金,2171384,O,O,0,27,晴海物産株式会社,000,共通部門
15,2,2021-04,2021-04-05,256,4月5日伝票No192晴海物産株式会社,10E200690,支払手数料,735,S,S,66,,,030,名古屋支店,10A100090,売掛金,735,O,O,0,27,晴海物産株式会社,000,共通部門
10,1,2021-04,2021-04-05,76,制服代,10E200140,福利厚生費,56000,S,S,5090,,,020,東京支店,10B100630,未払金,56000,O,O,0,,,000,共通部門
16,1,2021-04,2021-04-06,10,ガソリン代,10E201120,車両費,4224,S,S,384,,,010,札幌営業所,10A100020,現金,4224,O,O,0,,,000,共通部門
19,1,2021-04,2021-04-06,106,食事代 架空店舗045 2名,10E200150,交際費,5372,S,S,488,,,040,大阪支店,10A100020,現金,5372,O,O,0,,,000,共通部門
19,2,2021-04,2021-04-06,106,飲食代 架空店舗022,10E200150,交際費,30648,S,S,2786,,,040,大阪支店,10A100020,現金,30648,O,O,0,,,000,共通部門
20,1,2021-04,2021-04-06,110,タクシー代,10E201230,旅費及び交通費,2290,S,S,208,,,040,大阪支店,10A100020,現金,2290,O,O,0,,,000,共通部門
21,1,2021-04,2021-04-06,123,切手代,10E200180,通信費,40000,S,S,3636,,,040,大阪支店,10A100020,現金,40000,O,O,0,,,000,共通部門
22,1,2021-04,2021-04-06,124,収入印紙,10E200210,租税公課,6000,O,O,0,,,040,大阪支店,10A100020,現金,6000,O,O,0,,,000,共通部門
23,1,2021-04,2021-04-06,147,ガソリン代,10E201120,車両費,5126,S,S,466,,,050,九州営業所,10B100630,未払金,5126,O,O,0,,,000,共通部門
24,1,2021-04,2021-04-06,156,出張旅費,10E201230,旅費及び交通費,7500,S,S,681,,,050,九州営業所,10A100020,現金,7500,O,O,0,,,000,共通部門
25,1,2021-04,2021-04-06,236,ゴルフプレー代2名,10E200150,交際費,26500,S,S,2409,,,020,東京支店,10A100020,現金,26500,O,O,0,,,000,共通部門
26,1,2021-04,2021-04-06,305,資金移動,10A100020,普通預金,1000000,O,O,0,40,JKL銀行 梅田,000,共通部門,10A100020,普通預金,1000000,O,O,0,20,ABC銀行 本店,000,共通部門
17,1,2021-04,2021-04-06,42,昼食代 架空店舗036,10E200150,交際費,4650,S,S,422,,,020,東京支店,10A100020,現金,4650,O,O,0,,,000,共通部門
18,1,2021-04,2021-04-06,84,切手代,10E200180,通信費,70000,S,S,6363,,,030,名古屋支店,10A100020,現金,70000,O,O,0,,,000,共通部門
35,1,2021-04,2021-04-07,102,手土産代 架空店舗089,10E200150,交際費,1050,S,S,95,,,040,大阪支店,10A100020,現金,1050,O,O,0,,,000,共通部門
