JP07a,JP08a,BS04fb,JP05a,BS04fc,JP05b,JP07a_GL03_01,JP07a_GL03_03,GL05c_01,GE23c_01,GE09eR_01,JP08a_GL04_03,JP06e_GE24_01,JP06e_GE24_02,JP05a_01,JP05a_02,JP05a_03,GE05ku_01,GE05kw_01,JP02j_BS09_01,JP02j_BS09_02,JP06f_GE24_01,JP06f_GE24_02,JP05b_01,JP05b_02,JP05b_03,GE05kz_01,GE05kB_01,JP02k_BS09_01,JP02k_BS09_02,BS04fb_01,BS04fb_02,BS04fb_03,BS04fc_01,BS04fc_02,BS04fc_03,Data_Scope,Document_ID,Document_Type,Document_Number,Related_Document_ID,Related_Document_Type,Related_Document_Number,Settlement_Scheduled_Month
2369,,,,,,67,2022-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2369,4276,1,,1,1,,,,,,tissues and others,10E201270,Miscellaneous Expenses,,,,1029,93,S,S,10A100020,Cash,1,Cash,Subaccount,1029,0,O,O,040,Osaka Branch,Department,000,Common Department,Department,,,,,,,,
2370,,,,,,18,2022-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2370,4277,1,,1,1,,,,,,Travel expense,10E201230,Travel and Transportation Expenses,,,,14500,1318,S,S,10A100020,Cash,1,Cash,Subaccount,14500,0,O,O,010,Sapporo Sales Office,Department,000,Common Department,Department,,,,,,,,
2371,,,,,,94,2022-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2371,4278,1,,1,1,,,,,,Kitchen supplies and others,10E201270,Miscellaneous Expenses,,,,1012,92,S,S,10A100020,Cash,1,Cash,Subaccount,1012,0,O,O,030,Nagoya Branch,Department,000,Common Department,Department,,,,,,,,
2372,,,,,,102,2022-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2372,4279,1,,1,1,,,,,,golf prize expense Anonymized Store 089,10E200150,Entertainment Expenses,,,,5250,477,S,S,10A100020,Cash,1,Cash,Subaccount,5250,0,O,O,040,Osaka Branch,Department,000,Common Department,Department,,,,,,,,
2373,,,,,,150,2022-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2373,4280,1,,1,1,,,,,,Meal expense Anonymized Store 084 4 people,10E200150,Entertainment Expenses,,,,14172,1288,S,S,10A100020,Cash,1,Cash,Subaccount,29639,0,O,O,050,Kyushu Sales Office,Department,000,Common Department,Department,,,,,,,,
2373,4281,1,,,,,,,,,Meal expense Anonymized Store 034 4 people,10E200150,Entertainment Expenses,,,,15467,1406,S,S,,,,,,,,,,050,Kyushu Sales Office,Department,,,,,,,,,,,
2374,,,,,,41,2022-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374,4282,1,,1,1,,,,,,Condolence gift,10E200150,Entertainment Expenses,,,,10000,909,S,S,10A100020,Cash,1,Cash,Subaccount,10000,0,O,O,020,Tokyo Branch,Department,000,Common Department,Department,,,,,,,,
2375,,,,,,134,2022-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2375,4283,1,,1,,,,,,,Paper,10E201110,Office Supplies Expenses,,,,10500,954,S,S,10B100630,Accounts Payable Other,,,,10500,0,O,O,050,Kyushu Sales Office,Department,000,Common Department,Department,,,,,,,,
2376,,,,,,19,2022-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2376,4284,1,,1,1,,,,,,Travel expense,10E201230,Travel and Transportation Expenses,,,,8500,772,S,S,10A100020,Cash,1,Cash,Subaccount,8500,0,O,O,010,Sapporo Sales Office,Department,000,Common Department,Department,,,,,,,,
2377,,,,,,147,2022-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2377,4285,1,,1,,,,,,,Gasoline,10E201120,Vehicle Expenses,,,,6693,608,S,S,10B100630,Accounts Payable Other,,,,6693,0,O,O,050,Kyushu Sales Office,Department,000,Common Department,Department,,,,,,,,
2378,,,,,,20,2022-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378,4286,1,,1,1,,,,,,Travel expense,10E201230,Travel and Transportation Expenses,,,,42000,3818,S,S,10A100020,Cash,1,Cash,Subaccount,42000,0,O,O,010,Sapporo Sales Office,Department,000,Common Department,Department,,,,,,,,
2379,,,,,,76,2022-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2379,4287,1,,1,,,,,,,Employee meal,10E200140,Employee Welfare Expenses,,,,15608,1418,S,S,10B100630,Accounts Payable Other,,,,15608,0,O,O,020,Tokyo Branch,Department,000,Common Department,Department,,,,,,,,
2380,,,,,,85,2022-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2380,4288,1,1,1,1,,,,,,Voucher No. 432 dated 2/5 Anonymized Partner 070,10A100020,Ordinary Deposits,50,MNO Bank Kitakyushu Branch,Subaccount,1508272,0,O,O,10A100090,Accounts Receivable,22,Anonymized Partner 070,Subaccount,1508272,0,O,O,000,Common Department,Department,000,Common Department,Department,,,,,,,,
2380,4289,1,,1,1,,,,,,Voucher No. 432 dated 2/5 Anonymized Partner 070,10E200690,Service Fees,,,,472,42,S,S,10A100090,Accounts Receivable,22,Anonymized Partner 070,Subaccount,472,0,O,O,050,Kyushu Sales Office,Department,000,Common Department,Department,,,,,,,,
2381,,,,,,86,2022-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2381,4290,1,1,1,1,,,,,,Voucher No. 433 dated 2/5 Anonymized Partner 082,10A100020,Ordinary Deposits,20,ABC Bank Head Office,Subaccount,1442003,0,O,O,10A100090,Accounts Receivable,26,Anonymized Partner 082,Subaccount,1442003,0,O,O,000,Common Department,Department,000,Common Department,Department,,,,,,,,
2381,4291,1,,1,1,,,,,,Voucher No. 433 dated 2/5 Anonymized Partner 082,10E200690,Service Fees,,,,472,42,S,S,10A100090,Accounts Receivable,26,Anonymized Partner 082,Subaccount,472,0,O,O,020,Tokyo Branch,Department,000,Common Department,Department,,,,,,,,
2382,,,,,,87,2022-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2382,4292,1,1,1,1,,,,,,Voucher No. 434 dated 2/5 Anonymized Partner 025,10A100020,Ordinary Deposits,30,GHI Bank Nagoya Branch,Subaccount,1918584,0,O,O,10A100090,Accounts Receivable,27,Anonymized Partner 025,Subaccount,1918584,0,O,O,000,Common Department,Department,000,Common Department,Department,,,,,,,,
2383,,,,,,133,2022-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2383,4293,1,,1,1,,,,,,Tax accountant fee,10E200600,Professional Fees,,,,139710,12700,S,S,10A100020,Ordinary Deposits,20,ABC Bank Head Office,Subaccount,139710,0,O,O,020,Tokyo Branch,Department,000,Common Department,Department,,,,,,,,
2384,,,,,,142,2022-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2384,4294,1,,1,1,,,,,,Expressway toll,10E201120,Vehicle Expenses,,,,4991,453,S,S,10A100020,Cash,1,Cash,Subaccount,12556,0,O,O,040,Osaka Branch,Department,000,Common Department,Department,,,,,,,,
2384,4295,1,,,,,,,,,Expressway toll,10E201120,Vehicle Expenses,,,,3004,273,S,S,,,,,,,,,,040,Osaka Branch,Department,,,,,,,,,,,
2384,4296,1,,,,,,,,,Expressway toll,10E201120,Vehicle Expenses,,,,4561,414,S,S,,,,,,,,,,040,Osaka Branch,Department,,,,,,,,,,,
2385,,,,,,161,2022-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2385,4297,1,,1,1,,,,,,Travel expense,10E201230,Travel and Transportation Expenses,,,,6980,634,S,S,10A100020,Cash,1,Cash,Subaccount,6980,0,O,O,050,Kyushu Sales Office,Department,000,Common Department,Department,,,,,,,,
2386,,,,,,21,2022-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2386,4298,1,,1,1,,,,,,Anonymized Railway Company A expense,10E201230,Travel and Transportation Expenses,,,,59600,5418,S,S,10A100020,Cash,1,Cash,Subaccount,59600,0,O,O,010,Sapporo Sales Office,Department,000,Common Department,Department,,,,,,,,
2387,,,,,,106,2022-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2387,4299,1,,1,1,,,,,,golf play expense,10E200150,Entertainment Expenses,,,,18600,1690,S,S,10A100020,Cash,1,Cash,Subaccount,18600,0,O,O,040,Osaka Branch,Department,000,Common Department,Department,,,,,,,,
2388,,,,,,110,2022-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2388,4300,1,,1,1,,,,,,taxi expense,10E201230,Travel and Transportation Expenses,,,,2290,208,S,S,10A100020,Cash,1,Cash,Subaccount,2290,0,O,O,040,Osaka Branch,Department,000,Common Department,Department,,,,,,,,
2389,,,,,,149,2022-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2389,4301,1,,1,1,,,,,,Cof fee expense 2 people,10E200150,Entertainment Expenses,,,,1260,114,S,S,10A100020,Cash,1,Cash,Subaccount,1260,0,O,O,030,Nagoya Branch,Department,000,Common Department,Department,,,,,,,,
2390,,,,,,43,2022-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2390,4302,1,,1,1,,,,,,Cof fee expense and others 2 people,10E200150,Entertainment Expenses,,,,2210,200,S,S,10A100020,Cash,1,Cash,Subaccount,2210,0,O,O,020,Tokyo Branch,Department,000,Common Department,Department,,,,,,,,
2391,,,,,,58,2022-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2391,4303,1,,1,1,,,,,,Travel expense,10E201230,Travel and Transportation Expenses,,,,70000,6363,S,S,10A100020,Cash,1,Cash,Subaccount,70000,0,O,O,020,Tokyo Branch,Department,000,Common Department,Department,,,,,,,,
2392,,,,,,143,2022-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2392,4304,1,,1,1,,,,,,Vehicle management fee,10E201120,Vehicle Expenses,,,,23200,2109,S,S,10A100020,Cash,1,Cash,Subaccount,23200,0,O,O,040,Osaka Branch,Department,000,Common Department,Department,,,,,,,,
2393,,,,,,50,2022-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2393,4305,1,,1,1,,,,,,Expressway toll,10E201120,Vehicle Expenses,,,,1200,109,S,S,10A100020,Cash,1,Cash,Subaccount,1200,0,O,O,020,Tokyo Branch,Department,000,Common Department,Department,,,,,,,,
2394,,,,,,75,2022-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2394,4306,1,,1,1,,,,,,Gasoline,10E201120,Vehicle Expenses,,,,6630,602,S,S,10A100020,Cash,1,Cash,Subaccount,9678,0,O,O,050,Kyushu Sales Office,Department,000,Common Department,Department,,,,,,,,
2394,4307,1,,,,,,,,,Expressway toll,10E201120,Vehicle Expenses,,,,2286,207,S,S,,,,,,,,,,050,Kyushu Sales Office,Department,,,,,,,,,,,
2394,4308,1,,,,,,,,,Parking fee,10E201120,Vehicle Expenses,,,,762,69,S,S,,,,,,,,,,050,Kyushu Sales Office,Department,,,,,,,,,,,
2395,,,,,,164,2022-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2395,4309,1,,1,1,,,,,,office supplies,10E201110,Office Supplies Expenses,,,,898,81,S,S,10A100020,Cash,1,Cash,Subaccount,898,0,O,O,050,Kyushu Sales Office,Department,000,Common Department,Department,,,,,,,,
2396,,,,,,152,2022-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2396,4310,1,,1,1,,,,,,golf play expense,10E200150,Entertainment Expenses,,,,12000,1090,S,S,10A100020,Cash,1,Cash,Subaccount,12000,0,O,O,050,Kyushu Sales Office,Department,000,Common Department,Department,,,,,,,,
2397,,,,,,10,2022-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2397,4311,1,,1,1,,,,,,Gasoline,10E201120,Vehicle Expenses,,,,3000,272,S,S,10A100020,Cash,1,Cash,Subaccount,3000,0,O,O,010,Sapporo Sales Office,Department,000,Common Department,Department,,,,,,,,
2398,,,,,,60,2022-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2398,4312,1,1,1,1,,,,,,Withdrawal,10A100020,Cash,1,Cash,Subaccount,500000,0,O,O,10A100020,Checking Deposits,1,ABC Bank,Subaccount,500000,0,O,O,000,Common Department,Department,000,Common Department,Department,,,,,,,,
2399,,,,,,62,2022-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2399,4313,1,1,1,1,,,,,,Withholding Tax payment,10B100690,Deposits Received,3,Withholding Tax,Subaccount,232482,0,O,O,10A100020,Ordinary Deposits,20,ABC Bank Head Office,Subaccount,681982,0,O,O,000,Common Department,Department,000,Common Department,Department,,,,,,,,
2399,4314,1,1,,,,,,,,Resident Tax payment,10B100690,Deposits Received,2,Resident Tax,Subaccount,449500,0,O,O,,,,,,,,,,000,Common Department,Department,,,,,,,,,,,
2400,,,,,,65,2022-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400,4315,1,,1,,,,,,,Wired service fee,10E201270,Miscellaneous Expenses,,,,5000,454,S,S,10B100630,Accounts Payable Other,,,,39286,0,O,O,010,Sapporo Sales Office,Department,000,Common Department,Department,,,,,,,,
2400,4316,1,,,,,,,,,Security fee,10E201270,Miscellaneous Expenses,,,,34286,3116,S,S,,,,,,,,,,010,Sapporo Sales Office,Department,,,,,,,,,,,
2401,,,,,,76,2022-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2401,4317,1,,1,1,,,,,,Gasoline,10E201120,Vehicle Expenses,,,,6012,546,S,S,10A100020,Cash,1,Cash,Subaccount,6012,0,O,O,050,Kyushu Sales Office,Department,000,Common Department,Department,,,,,,,,
2402,,,,,,79,2022-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2402,4318,1,,1,1,,,,,,Travel expense,10E201230,Travel and Transportation Expenses,,,,22000,2000,S,S,10A100020,Cash,1,Cash,Subaccount,22000,0,O,O,030,Nagoya Branch,Department,000,Common Department,Department,,,,,,,,
2403,,,,,,88,2022-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2403,4319,1,1,1,1,,,,,,Voucher No. 435 dated 2/10 Anonymized Partner 085,10B100040,Accounts Payable,3,Anonymized Partner 085,Subaccount,4318710,0,O,O,10A100090,Accounts Receivable,3,Anonymized Partner 085,Subaccount,4318710,0,O,O,000,Common Department,Department,000,Common Department,Department,,,,,,,,
2404,,,,,,89,2022-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2404,4320,1,1,1,1,,,,,,Voucher No. 436 dated 2/10 Anonymized Partner 066 Tokyo Head Office,10A100020,Ordinary Deposits,20,ABC Bank Head Office,Subaccount,15929155,0,O,O,10A100090,Accounts Receivable,14,Anonymized Partner 066,Subaccount,15929155,0,O,O,000,Common Department,Department,000,Common Department,Department,,,,,,,,
2404,4321,1,,1,1,,,,,,Voucher No. 436 dated 2/10 Anonymized Partner 066 Tokyo Head Office,10E200690,Service Fees,,,,735,66,S,S,10A100090,Accounts Receivable,14,Anonymized Partner 066,Subaccount,735,0,O,O,020,Tokyo Branch,Department,000,Common Department,Department,,,,,,,,
2405,,,,,,90,2022-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2405,4322,1,1,1,1,,,,,,Voucher No. 437 dated 2/10 Anonymized Partner 045,10A100020,Ordinary Deposits,30,GHI Bank Nagoya Branch,Subaccount,663855,0,O,O,10A100090,Accounts Receivable,19,Anonymized Partner 045,Subaccount,663855,0,O,O,000,Common Department,Department,000,Common Department,Department,,,,,,,,
2405,4323,1,,1,1,,,,,,Voucher No. 437 dated 2/10 Anonymized Partner 045,10E200690,Service Fees,,,,735,66,S,S,10A100090,Accounts Receivable,19,Anonymized Partner 045,Subaccount,735,0,O,O,030,Nagoya Branch,Department,000,Common Department,Department,,,,,,,,
2406,,,,,,91,2022-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2406,4324,1,,1,1,,,,,,Voucher No. 438 dated 2/10 Anonymized Partner 072 | Sales voucher=20220131-115;Note number=R20220210-91-28,10A100060,Notes Receivable,,,,8918449,0,O,O,10A100090,Accounts Receivable,28,Anonymized Partner 072,Subaccount,8918449,0,O,O,000,Common Department,Department,000,Common Department,Department,,,,,,,,
2407,,,,,,92,2022-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2407,4325,1,1,1,,,,,,,Voucher No. 333 dated 2/10 Anonymized Partner 085,10B100040,Accounts Payable,3,Anonymized Partner 085,Subaccount,457266,0,O,O,10B100030,Notes Payable,,,,457266,0,O,O,000,Common Department,Department,000,Common Department,Department,,,,,,,,
2408,,,,,,93,2022-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2408,4326,1,1,1,1,,,,,,Voucher No. 334 dated 2/10 Anonymized Partner 063,10B100040,Accounts Payable,8,Anonymized Partner 063,Subaccount,560347,0,O,O,10A100020,Ordinary Deposits,20,ABC Bank Head Office,Subaccount,560347,0,O,O,000,Common Department,Department,000,Common Department,Department,,,,,,,,
2409,,,,,,137,2022-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2409,4327,1,,1,1,,,,,,Note due date settlement Anonymized Partner 085,10B100030,Notes Payable,,,,2953678,0,O,O,10A100020,Checking Deposits,1,ABC Bank,Subaccount,2953678,0,O,O,000,Common Department,Department,000,Common Department,Department,,,,,,,,
