JP07a,JP08a,BS04fb,JP05a,BS04fc,JP05b,JP07a_GL03_01,JP07a_GL03_03,GL05c_01,GE23c_01,GE09eR_01,JP08a_GL04_03,JP06e_GE24_01,JP06e_GE24_02,JP05a_01,JP05a_02,JP05a_03,GE05ku_01,GE05kw_01,JP02j_BS09_01,JP02j_BS09_02,JP06f_GE24_01,JP06f_GE24_02,JP05b_01,JP05b_02,JP05b_03,GE05kz_01,GE05kB_01,JP02k_BS09_01,JP02k_BS09_02,BS04fb_01,BS04fb_02,BS04fb_03,BS04fc_01,BS04fc_02,BS04fc_03,Data_Scope,Document_ID,Document_Type,Document_Number,Related_Document_ID,Related_Document_Type,Related_Document_Number,Settlement_Scheduled_Month
1,,,,,,18,2021-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,1,1,,,,,,Travel expense,10E201230,Travel and Transportation Expenses,,,,19500,1772,S,S,10A100020,Cash,1,Cash,Subaccount,19500,0,O,O,010,Sapporo Sales Office,Department,000,Common Department,Department,,,,,,,,
2,,,,,,246,2021-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,1,,1,1,,,,,,Travel expense,10E201230,Travel and Transportation Expenses,,,,10000,909,S,S,10A100020,Cash,1,Cash,Subaccount,10000,0,O,O,030,Nagoya Branch,Department,000,Common Department,Department,,,,,,,,
3,,,,,,19,2021-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,1,,1,1,,,,,,Travel expense,10E201230,Travel and Transportation Expenses,,,,11000,1000,S,S,10A100020,Cash,1,Cash,Subaccount,11000,0,O,O,010,Sapporo Sales Office,Department,000,Common Department,Department,,,,,,,,
4,,,,,,68,2021-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,1,,1,1,,,,,,toilet paper and others,10E201270,Miscellaneous Expenses,,,,2970,270,S,S,10A100020,Cash,1,Cash,Subaccount,2970,0,O,O,010,Sapporo Sales Office,Department,000,Common Department,Department,,,,,,,,
5,,,,,,122,2021-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,1,,1,1,,,,,,Certificate issuance fee,10E200180,Communication Expenses,,,,1050,95,S,S,10A100020,Cash,1,Cash,Subaccount,1050,0,O,O,040,Osaka Branch,Department,000,Common Department,Department,,,,,,,,
6,,,,,,142,2021-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
