JP07a,JP08a,BS04fb,JP05a,BS04fc,JP05b,JP07a_GL03_01,JP07a_GL03_03,GL05c_01,GE23c_01,GE09eR_01,JP08a_GL04_03,JP06e_GE24_01,JP06e_GE24_02,JP05a_01,JP05a_02,JP05a_03,GE05ku_01,GE05kw_01,JP02j_BS09_01,JP02j_BS09_02,JP06f_GE24_01,JP06f_GE24_02,JP05b_01,JP05b_02,JP05b_03,GE05kz_01,GE05kB_01,JP02k_BS09_01,JP02k_BS09_02,BS04fb_01,BS04fb_02,BS04fb_03,BS04fc_01,BS04fc_02,BS04fc_03,Data_Scope,Document_ID,Document_Type,Document_Number,Related_Document_ID,Related_Document_Type,Related_Document_Number,Settlement_Scheduled_Month
1887,,,,,,10,2021-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887,3383,1,,1,1,,,,,,Car wash expense,10E201120,Vehicle Expenses,,,,3000,272,S,S,10A100020,Cash,1,Cash,Subaccount,3000,0,O,O,010,Sapporo Sales Office,Department,000,Common Department,Department,,,,,,,,
1888,,,,,,18,2021-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888,3384,1,,1,1,,,,,,Travel expense,10E201230,Travel and Transportation Expenses,,,,29500,2681,S,S,10A100020,Cash,1,Cash,Subaccount,29500,0,O,O,010,Sapporo Sales Office,Department,000,Common Department,Department,,,,,,,,
1889,,,,,,56,2021-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,3385,1,,1,1,,,,,,Travel expense,10E201230,Travel and Transportation Expenses,,,,653500,59409,S,S,10A100020,Cash,1,Cash,Subaccount,686175,0,O,O,020,Tokyo Branch,Department,000,Common Department,Department,,,,,,,,
1889,3386,1,,,,,,,,,Anonymized Railway Company A expense,10E201230,Travel and Transportation Expenses,,,,32675,2970,S,S,,,,,,,,,,020,Tokyo Branch,Department,,,,,,,,,,,
1890,,,,,,85,2021-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890,3387,1,,1,1,,,,,,Travel expense,10E201230,Travel and Transportation Expenses,,,,19800,1800,S,S,10A100020,Cash,1,Cash,Subaccount,19800,0,O,O,030,Nagoya Branch,Department,000,Common Department,Department,,,,,,,,
1891,,,,,,143,2021-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891,3388,1,,1,1,,,,,,Inspection service fee,10E201120,Vehicle Expenses,,,,29400,2672,S,S,10A100020,Cash,1,Cash,Subaccount,29400,0,O,O,040,Osaka Branch,Department,000,Common Department,Department,,,,,,,,
1892,,,,,,19,2021-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1892,3389,1,,1,1,,,,,,Travel expense,10E201230,Travel and Transportation Expenses,,,,22000,2000,S,S,10A100020,Cash,1,Cash,Subaccount,22000,0,O,O,010,Sapporo Sales Office,Department,000,Common Department,Department,,,,,,,,
1893,,,,,,134,2021-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1893,3390,1,,1,1,,,,,,Paper,10E201110,Office Supplies Expenses,,,,14600,1327,S,S,10A100020,Cash,1,Cash,Subaccount,14600,0,O,O,030,Nagoya Branch,Department,000,Common Department,Department,,,,,,,,
1894,,,,,,147,2021-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894,3391,1,,1,,,,,,,Gasoline,10E201120,Vehicle Expenses,,,,6240,567,S,S,10B100630,Accounts Payable Other,,,,6240,0,O,O,050,Kyushu Sales Office,Department,000,Common Department,Department,,,,,,,,
1895,,,,,,41,2021-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1895,3392,1,,1,1,,,,,,Year-end gift Anonymized Store 058,10E200150,Entertainment Expenses,,,,69191,6290,S,S,10A100020,Cash,1,Cash,Subaccount,125773,0,O,O,020,Tokyo Branch,Department,000,Common Department,Department,,,,,,,,
1895,3393,1,,,,,,,,,Year-end gift Anonymized Partner 057,10E200150,Entertainment Expenses,,,,40629,3693,S,S,,,,,,,,,,020,Tokyo Branch,Department,,,,,,,,,,,
1895,3394,1,,,,,,,,,Year-end gift Anonymized Store 087,10E200150,Entertainment Expenses,,,,15953,1450,S,S,,,,,,,,,,020,Tokyo Branch,Department,,,,,,,,,,,
1896,,,,,,50,2021-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896,3395,1,,1,1,,,,,,Expressway toll,10E201120,Vehicle Expenses,,,,3500,318,S,S,10A100020,Cash,1,Cash,Subaccount,3500,0,O,O,020,Tokyo Branch,Department,000,Common Department,Department,,,,,,,,
1897,,,,,,86,2021-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1897,3396,1,,1,1,,,,,,Anonymized Railway Company A expense,10E201230,Travel and Transportation Expenses,,,,12000,1090,S,S,10A100020,Cash,1,Cash,Subaccount,12000,0,O,O,030,Nagoya Branch,Department,000,Common Department,Department,,,,,,,,
1898,,,,,,95,2021-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
