JP07a,JP08a,BS04fb,JP05a,BS04fc,JP05b,JP07a_GL03_01,JP07a_GL03_03,GL05c_01,GE23c_01,GE09eR_01,JP08a_GL04_03,JP06e_GE24_01,JP06e_GE24_02,JP05a_01,JP05a_02,JP05a_03,GE05ku_01,GE05kw_01,JP02j_BS09_01,JP02j_BS09_02,JP06f_GE24_01,JP06f_GE24_02,JP05b_01,JP05b_02,JP05b_03,GE05kz_01,GE05kB_01,JP02k_BS09_01,JP02k_BS09_02,BS04fb_01,BS04fb_02,BS04fb_03,BS04fc_01,BS04fc_02,BS04fc_03,Data_Scope,Document_ID,Document_Type,Document_Number,Related_Document_ID,Related_Document_Type,Related_Document_Number,Settlement_Scheduled_Month
951,,,,,,18,2021-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951,1743,1,,1,1,,,,,,Travel expense,10E201230,Travel and Transportation Expenses,,,,21000,1909,S,S,10A100020,Cash,1,Cash,Subaccount,21000,0,O,O,010,Sapporo Sales Office,Department,000,Common Department,Department,,,,,,,,
952,,,,,,41,2021-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952,1744,1,,1,1,,,,,,Meal expense Anonymized Store 050 3 people,10E200150,Entertainment Expenses,,,,3510,319,S,S,10A100020,Cash,1,Cash,Subaccount,3510,0,O,O,020,Tokyo Branch,Department,000,Common Department,Department,,,,,,,,
953,,,,,,50,2021-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,1745,1,,1,1,,,,,,Expressway toll,10E201120,Vehicle Expenses,,,,600,54,S,S,10A100020,Cash,1,Cash,Subaccount,600,0,O,O,020,Tokyo Branch,Department,000,Common Department,Department,,,,,,,,
954,,,,,,102,2021-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954,1746,1,,1,1,,,,,,Gift expense Anonymized Store 089,10E200150,Entertainment Expenses,,,,2100,190,S,S,10A100020,Cash,1,Cash,Subaccount,2100,0,O,O,040,Osaka Branch,Department,000,Common Department,Department,,,,,,,,
955,,,,,,147,2021-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
955,1747,1,,1,,,,,,,Gasoline,10E201120,Vehicle Expenses,,,,6648,604,S,S,10B100630,Accounts Payable Other,,,,6648,0,O,O,050,Kyushu Sales Office,Department,000,Common Department,Department,,,,,,,,
956,,,,,,56,2021-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,1748,1,,1,1,,,,,,Travel expense,10E201230,Travel and Transportation Expenses,,,,15700,1427,S,S,10A100020,Cash,1,Cash,Subaccount,15700,0,O,O,020,Tokyo Branch,Department,000,Common Department,Department,,,,,,,,
957,,,,,,82,2021-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,1749,1,,1,,,,,,,Gasoline,10E201120,Vehicle Expenses,,,,18021,1638,S,S,10B100630,Accounts Payable Other,,,,18021,0,O,O,030,Nagoya Branch,Department,000,Common Department,Department,,,,,,,,
958,,,,,,134,2021-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958,1750,1,,1,,,,,,,Paper,10E201110,Office Supplies Expenses,,,,15780,1434,S,S,10B100630,Accounts Payable Other,,,,15780,0,O,O,050,Kyushu Sales Office,Department,000,Common Department,Department,,,,,,,,
958,1751,1,,1,,,,,,,Paper,10E201110,Office Supplies Expenses,,,,16800,1527,S,S,10B100630,Accounts Payable Other,,,,16800,0,O,O,040,Osaka Branch,Department,000,Common Department,Department,,,,,,,,
959,,,,,,139,2021-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
959,1752,1,,1,,,,,,,Employee late-night meal,10E200140,Employee Welfare Expenses,,,,25400,2309,S,S,10B100630,Accounts Payable Other,,,,25400,0,O,O,040,Osaka Branch,Department,000,Common Department,Department,,,,,,,,
960,,,,,,142,2021-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,1753,1,,1,1,,,,,,Expressway toll,10E201120,Vehicle Expenses,,,,2458,223,S,S,10A100020,Cash,1,Cash,Subaccount,19534,0,O,O,040,Osaka Branch,Department,000,Common Department,Department,,,,,,,,
960,1754,1,,,,,,,,,Gasoline,10E201120,Vehicle Expenses,,,,3052,277,S,S,,,,,,,,,,040,Osaka Branch,Department,,,,,,,,,,,
960,1755,1,,,,,,,,,Expressway toll,10E201120,Vehicle Expenses,,,,1191,108,S,S,,,,,,,,,,040,Osaka Branch,Department,,,,,,,,,,,
960,1756,1,,,,,,,,,Expressway toll,10E201120,Vehicle Expenses,,,,8543,776,S,S,,,,,,,,,,040,Osaka Branch,Department,,,,,,,,,,,
960,1757,1,,,,,,,,,Expressway toll,10E201120,Vehicle Expenses,,,,4290,390,S,S,,,,,,,,,,040,Osaka Branch,Department,,,,,,,,,,,
961,,,,,,42,2021-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
