JP07a,JP08a,BS04fb,JP05a,BS04fc,JP05b,JP07a_GL03_01,JP07a_GL03_03,GL05c_01,GE23c_01,GE09eR_01,JP08a_GL04_03,JP06e_GE24_01,JP06e_GE24_02,JP05a_01,JP05a_02,JP05a_03,GE05ku_01,GE05kw_01,JP02j_BS09_01,JP02j_BS09_02,JP06f_GE24_01,JP06f_GE24_02,JP05b_01,JP05b_02,JP05b_03,GE05kz_01,GE05kB_01,JP02k_BS09_01,JP02k_BS09_02,BS04fb_01,BS04fb_02,BS04fb_03,BS04fc_01,BS04fc_02,BS04fc_03,Data_Scope,Document_ID,Document_Type,Document_Number,Related_Document_ID,Related_Document_Type,Related_Document_Number,Settlement_Scheduled_Month
1,,,,,,18,2021-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,1,1,,,,,,旅費,10E201230,旅費及び交通費,,,,19500,1772,S,S,10A100020,現金,1,現金,補助科目,19500,0,O,O,010,札幌営業所,部門,000,共通部門,部門,,,,,,,,
2,,,,,,246,2021-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,1,,1,1,,,,,,旅費,10E201230,旅費及び交通費,,,,10000,909,S,S,10A100020,現金,1,現金,補助科目,10000,0,O,O,030,名古屋支店,部門,000,共通部門,部門,,,,,,,,
3,,,,,,19,2021-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,1,,1,1,,,,,,旅費,10E201230,旅費及び交通費,,,,11000,1000,S,S,10A100020,現金,1,現金,補助科目,11000,0,O,O,010,札幌営業所,部門,000,共通部門,部門,,,,,,,,
4,,,,,,68,2021-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,1,,1,1,,,,,,トイレットペーパー他,10E201270,雑費,,,,2970,270,S,S,10A100020,現金,1,現金,補助科目,2970,0,O,O,010,札幌営業所,部門,000,共通部門,部門,,,,,,,,
5,,,,,,122,2021-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,1,,1,1,,,,,,証明書発行手数料,10E200180,通信費,,,,1050,95,S,S,10A100020,現金,1,現金,補助科目,1050,0,O,O,040,大阪支店,部門,000,共通部門,部門,,,,,,,,
6,,,,,,142,2021-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,1,,1,1,,,,,,高速代,10E201120,車両費,,,,2458,223,S,S,10A100020,現金,1,現金,補助科目,13384,0,O,O,040,大阪支店,部門,000,共通部門,部門,,,,,,,,
6,7,1,,,,,,,,,駐車代,10E201120,車両費,,,,591,53,S,S,,,,,,,,,,040,大阪支店,部門,,,,,,,,,,,
6,8,1,,,,,,,,,ガソリン代,10E201120,車両費,,,,4620,420,S,S,,,,,,,,,,040,大阪支店,部門,,,,,,,,,,,
6,9,1,,,,,,,,,洗車券代,10E201120,車両費,,,,5715,519,S,S,,,,,,,,,,040,大阪支店,部門,,,,,,,,,,,
