entry_occurrence,detail_occurrence,axis_occurrence,axis_class,axis_purpose,axis_type,axis_code,axis_name,source_coordinate
2,1,1,DetailIdentifierReference,department,O,D01,企画部,C1=1;C2=2;C3=1;C36=1
2,3,1,DetailIdentifierReference,counterparty,V,S002,ひかり文具株式会社,C1=1;C2=2;C3=3;C36=1
3,1,1,DetailIdentifierReference,department,O,D02,営業部,C1=1;C2=3;C3=1;C36=1
3,2,1,DetailIdentifierReference,department,O,D02,営業部,C1=1;C2=3;C3=2;C36=1
4,1,1,DetailIdentifierReference,department,O,D01,企画部,C1=1;C2=4;C3=1;C36=1
4,1,2,DetailIdentifierReference,counterparty,V,S003,みどり商事株式会社,C1=1;C2=4;C3=1;C36=2
4,1,1,DetailJob,project,job,P01,春季販売企画,C1=1;C2=4;C3=1;C41=1
4,2,1,DetailIdentifierReference,department,O,D01,企画部,C1=1;C2=4;C3=2;C36=1
4,3,1,DetailIdentifierReference,counterparty,V,S003,みどり商事株式会社,C1=1;C2=4;C3=3;C36=1
5,1,1,DetailIdentifierReference,department,O,D02,営業部,C1=1;C2=5;C3=1;C36=1
5,1,2,DetailIdentifierReference,counterparty,V,S004,こもれび食品株式会社,C1=1;C2=5;C3=1;C36=2
5,2,1,DetailIdentifierReference,counterparty,V,S004,こもれび食品株式会社,C1=1;C2=5;C3=2;C36=1
6,2,1,DetailIdentifierReference,counterparty,C,C001,あおぞら商店,C1=1;C2=6;C3=2;C36=1
7,1,1,DetailIdentifierReference,counterparty,C,C002,つばさ商会,C1=1;C2=7;C3=1;C36=1
8,1,1,DetailIdentifierReference,counterparty,V,S001,さくら仕入株式会社,C1=1;C2=8;C3=1;C36=1
