Document_ID,Document_Number,Document_Type,Partner_Type,Partner_Code,Document_Month,Transaction_ID,Line_ID,Line_Number,Item_Code,Item_Description,Quantity,Unit,Unit_Price,Net_Amount,Tax_Category,Tax_Rate,Tax_Amount,Gross_Amount,Tax_Rounding,Amount_Basis
DOC-INV-202102-REF-BF-AR-001-1-AR,INV-202102-REF-BF-AR-001-1-AR,Sales Invoice,C,C001,2021-02,RB001,1,1,SYN-AR,Synthetic evaluation item,1,EA,600000,600000,,,0,600000,none,gross equals linked control posting
DOC-INV-202102-REF-BF-AP-001-2-AP,INV-202102-REF-BF-AP-001-2-AP,Purchase Invoice,S,V001,2021-02,RB002,2,1,SYN-AP,Synthetic evaluation item,1,EA,1200000,1200000,,,0,1200000,none,gross equals linked control posting
DOC-INV-202103-REF-BF-AR-002-1-AR,INV-202103-REF-BF-AR-002-1-AR,Sales Invoice,C,C001,2021-03,RB005,1,1,SYN-AR,Synthetic evaluation item,1,EA,1000000,1000000,,,0,1000000,none,gross equals linked control posting
DOC-INV-202103-REF-BF-AP-002-2-AP,INV-202103-REF-BF-AP-002-2-AP,Purchase Invoice,S,V001,2021-03,RB006,2,1,SYN-AP,Synthetic evaluation item,1,EA,2423720,2423720,,,0,2423720,none,gross equals linked control posting
DOC-INV-202104-900050-2-AR,INV-202104-900050-2-AR,Sales Invoice,C,C001,2021-04,1,2,1,SYN-AR,Synthetic evaluation item,1,EA,427020,427020,,,0,427020,none,gross equals linked control posting
DOC-INV-202104-900001-2-AR,INV-202104-900001-2-AR,Sales Invoice,C,C001,2021-04,2,2,1,SYN-AR,Synthetic evaluation item,1,EA,355310,355310,,,0,355310,none,gross equals linked control posting
DOC-INV-202104-900012-2-AR,INV-202104-900012-2-AR,Sales Invoice,C,C001,2021-04,3,2,1,SYN-AR,Synthetic evaluation item,1,EA,555650,555650,,,0,555650,none,gross equals linked control posting
DOC-INV-202104-900006-1-AP,INV-202104-900006-1-AP,Purchase Invoice,S,V001,2021-04,5,1,1,SYN-AP,Synthetic evaluation item,1,EA,367850,367850,,,0,367850,none,gross equals linked control posting
DOC-INV-202104-900010-2-AR,INV-202104-900010-2-AR,Sales Invoice,C,C001,2021-04,6,2,1,SYN-AR,Synthetic evaluation item,1,EA,228470,228470,,,0,228470,none,gross equals linked control posting
DOC-INV-202104-900056-1-AP,INV-202104-900056-1-AP,Purchase Invoice,S,V001,2021-04,10,1,1,SYN-AP,Synthetic evaluation item,1,EA,222250,222250,,,0,222250,none,gross equals linked control posting
DOC-INV-202104-900045-1-AP,INV-202104-900045-1-AP,Purchase Invoice,S,V001,2021-04,9,1,1,SYN-AP,Synthetic evaluation item,1,EA,95580,95580,,,0,95580,none,gross equals linked control posting
DOC-INV-202104-900020-2-AR,INV-202104-900020-2-AR,Sales Invoice,C,C001,2021-04,11,2,1,SYN-AR,Synthetic evaluation item,1,EA,65230,65230,,,0,65230,none,gross equals linked control posting
DOC-INV-202104-900028-2-AR,INV-202104-900028-2-AR,Sales Invoice,C,C001,2021-04,12,2,1,SYN-AR,Synthetic evaluation item,1,EA,290830,290830,,,0,290830,none,gross equals linked control posting
DOC-INV-202104-900035-1-AP,INV-202104-900035-1-AP,Purchase Invoice,S,V001,2021-04,15,1,1,SYN-AP,Synthetic evaluation item,1,EA,181350,181350,,,0,181350,none,gross equals linked control posting
DOC-INV-202104-900060-2-AR,INV-202104-900060-2-AR,Sales Invoice,C,C001,2021-04,18,2,1,SYN-AR,Synthetic evaluation item,1,EA,227480,227480,,,0,227480,none,gross equals linked control posting
