scope,partner_type,partner_code,invoice_month,invoice_transaction_id,invoice_line_id,invoice_document_date,invoice_document_id,invoice_document_number,settlement_month,settlement_transaction_id,settlement_line_id,settlement_document_date,settlement_document_id,settlement_document_number,amount,relationship
REFERENCE_BEFORE,C,C001,2021-02,RB001,1,2021-02-10,DOC-INV-202102-REF-BF-AR-001-1-AR,INV-202102-REF-BF-AR-001-1-AR,2021-03,RB003,2,2021-03-05,DOC-SET-202103-REF-BF-AR-SET-001-2-AR,SET-202103-REF-BF-AR-SET-001-2-AR,100000,EXPLICIT_APPLICATION
REFERENCE_BEFORE,S,V001,2021-02,RB002,2,2021-02-15,DOC-INV-202102-REF-BF-AP-001-2-AP,INV-202102-REF-BF-AP-001-2-AP,2021-03,RB004,1,2021-03-08,DOC-SET-202103-REF-BF-AP-SET-001-1-AP,SET-202103-REF-BF-AP-SET-001-1-AP,200000,EXPLICIT_APPLICATION
REPORTING_PERIOD,S,V001,2021-02,RB002,2,2021-02-15,DOC-INV-202102-REF-BF-AP-001-2-AP,INV-202102-REF-BF-AP-001-2-AP,2021-04,4,2,2021-04-04,DOC-SET-202104-900017-2-AP,SET-202104-900017-2-AP,336970,EXPLICIT_APPLICATION
REPORTING_PERIOD,S,V001,2021-02,RB002,2,2021-02-15,DOC-INV-202102-REF-BF-AP-001-2-AP,INV-202102-REF-BF-AP-001-2-AP,2021-04,8,2,2021-04-06,DOC-SET-202104-900027-2-AP,SET-202104-900027-2-AP,110390,EXPLICIT_APPLICATION
REPORTING_PERIOD,C,C001,2021-02,RB001,1,2021-02-10,DOC-INV-202102-REF-BF-AR-001-1-AR,INV-202102-REF-BF-AR-001-1-AR,2021-04,14,1,2021-04-10,DOC-SET-202104-900004-1-AR,SET-202104-900004-1-AR,200680,EXPLICIT_APPLICATION
REPORTING_PERIOD,S,V001,2021-02,RB002,2,2021-02-15,DOC-INV-202102-REF-BF-AP-001-2-AP,INV-202102-REF-BF-AP-001-2-AP,2021-04,16,1,2021-04-12,DOC-SET-202104-900003-1-AP,SET-202104-900003-1-AP,298830,EXPLICIT_APPLICATION
REPORTING_PERIOD,C,C001,2021-02,RB001,1,2021-02-10,DOC-INV-202102-REF-BF-AR-001-1-AR,INV-202102-REF-BF-AR-001-1-AR,2021-04,20,1,2021-04-14,DOC-SET-202104-900044-1-AR,SET-202104-900044-1-AR,299320,EXPLICIT_APPLICATION
REPORTING_PERIOD,C,C001,2021-03,RB005,1,2021-03-15,DOC-INV-202103-REF-BF-AR-002-1-AR,INV-202103-REF-BF-AR-002-1-AR,2021-04,20,1,2021-04-14,DOC-SET-202104-900044-1-AR,SET-202104-900044-1-AR,189860,EXPLICIT_APPLICATION
REPORTING_PERIOD,C,C001,2021-03,RB005,1,2021-03-15,DOC-INV-202103-REF-BF-AR-002-1-AR,INV-202103-REF-BF-AR-002-1-AR,2021-04,22,1,2021-04-15,DOC-SET-202104-900033-1-AR,SET-202104-900033-1-AR,341050,EXPLICIT_APPLICATION
REPORTING_PERIOD,S,V001,2021-02,RB002,2,2021-02-15,DOC-INV-202102-REF-BF-AP-001-2-AP,INV-202102-REF-BF-AP-001-2-AP,2021-04,24,1,2021-04-15,DOC-SET-202104-900049-1-AP,SET-202104-900049-1-AP,146320,EXPLICIT_APPLICATION
REPORTING_PERIOD,C,C001,2021-03,RB005,1,2021-03-15,DOC-INV-202103-REF-BF-AR-002-1-AR,INV-202103-REF-BF-AR-002-1-AR,2021-04,25,1,2021-04-16,DOC-SET-202104-900014-1-AR,SET-202104-900014-1-AR,270050,EXPLICIT_APPLICATION
REPORTING_PERIOD,C,C001,2021-03,RB005,1,2021-03-15,DOC-INV-202103-REF-BF-AR-002-1-AR,INV-202103-REF-BF-AR-002-1-AR,2021-04,27,1,2021-04-16,DOC-SET-202104-900046-1-AR,SET-202104-900046-1-AR,199040,EXPLICIT_APPLICATION
REPORTING_PERIOD,C,C001,2021-04,1,2,2021-04-02,DOC-INV-202104-900050-2-AR,INV-202104-900050-2-AR,2021-04,27,1,2021-04-16,DOC-SET-202104-900046-1-AR,SET-202104-900046-1-AR,55820,EXPLICIT_APPLICATION
REPORTING_PERIOD,C,C001,2021-04,1,2,2021-04-02,DOC-INV-202104-900050-2-AR,INV-202104-900050-2-AR,2021-04,27,3,2021-04-16,DOC-SET-202104-900046-3-AR,SET-202104-900046-3-AR,33980,EXPLICIT_APPLICATION
