Ledger_Account_Number,Level,Type,Ledger_Account_Number,Parent,Category,eTax_Category,eTax_Account_Name,Beginning_Balance,Total_Debit,Total_Credit,Ending_Balance,seq
10D100010,1,T,10D100010,10_000000,Revenue,Net Sales,Operating Revenues,0,973067,121527464,120554397,2
10D100090,2,T,10D100090,10D100010,Revenue,Net Sales,Breakdown of Operating Revenues,0,973067,121527464,120554397,10
10D100100,3,T,10D100100,10D100090,Revenue,Net Sales,Gross Sales,0,973067,121527464,120554397,11
10D100103,4,T,10D100103,10D100100,Revenue,Net Sales,Electronic Transaction Gross Sales,0,149368,35350084,35200716,12
10D100104,4,T,10D100104,10D100100,Revenue,Net Sales,Non-electronic Transaction Gross Sales,0,823699,86177380,85353681,16
10E100010,1,T,10E100010,10_000000,Expenses,Cost of Sales,Operating Expenses and Cost of Sales,0,72937263,475249,72462014,101
10E100080,2,T,10E100080,10E100010,Expenses,Cost of Sales,Breakdown of Operating Expenses and Cost of Sales,0,72937263,475249,72462014,108
10E100090,3,T,10E100090,10E100080,Expenses,Cost of Sales,Cost of Merchandise Sold,0,72937263,475249,72462014,109
10E100100,4,1,10E100100,10E100090,Expenses,Cost of Sales,Beginning Merchandise Inventory,0,0,0,0,110
10E100110,4,T,10E100110,10E100090,Expenses,Cost of Sales,Gross Purchases,0,72937263,475249,72462014,111
10E100113,5,T,10E100113,10E100110,Expenses,Cost of Sales,Electronic Transaction Gross Purchases,0,25260142,149985,25110157,112
10E100114,5,T,10E100114,10E100110,Expenses,Cost of Sales,Non-electronic Transaction Gross Purchases,0,47677121,325264,47351857,116
10E100140,4,1,10E100140,10E100090,Expenses,Cost of Sales,Ending Merchandise Inventory,0,0,0,0,122
10E200010,1,T,10E200010,10_000000,Expenses,"Selling, General and Administrative Expenses","Selling, General and Administrative Expenses",0,48854812,622269,48232543,334
10E200020,2,1,10E200020,10E200010,Expenses,"Selling, General and Administrative Expenses",Sales Commissions,0,4308500,0,4308500,335
10E200050,2,1,10E200050,10E200010,Expenses,"Selling, General and Administrative Expenses",Advertising Expenses,0,368700,0,368700,338
10E200090,2,1,10E200090,10E200010,Expenses,"Selling, General and Administrative Expenses",Directors' Compensation,0,3440000,0,3440000,342
10E200130,2,1,10E200130,10E200010,Expenses,"Selling, General and Administrative Expenses",Bonuses,0,0,0,0,346
10E200140,2,1,10E200140,10E200010,Expenses,"Selling, General and Administrative Expenses",Employee Welfare Expenses,0,705616,0,705616,347
10E200150,2,1,10E200150,10E200010,Expenses,"Selling, General and Administrative Expenses",Entertainment Expenses,0,820943,0,820943,348
10E200180,2,1,10E200180,10E200010,Expenses,"Selling, General and Administrative Expenses",Communication Expenses,0,2485305,0,2485305,351
10E200200,2,1,10E200200,10E200010,Expenses,"Selling, General and Administrative Expenses",Supplies Expenses,0,1244538,622269,622269,353
10E200210,2,1,10E200210,10E200010,Expenses,"Selling, General and Administrative Expenses",Taxes and Dues,0,122000,0,122000,354
10E200220,2,1,10E200220,10E200010,Expenses,"Selling, General and Administrative Expenses",Depreciation Expenses,0,0,0,0,355
10E200240,2,1,10E200240,10E200010,Expenses,"Selling, General and Administrative Expenses",Insurance Expenses,0,637640,0,637640,357
10E200370,2,1,10E200370,10E200010,Expenses,"Selling, General and Administrative Expenses",Salaries and Allowances,0,11217982,0,11217982,370
10E200520,2,1,10E200520,10E200010,Expenses,"Selling, General and Administrative Expenses",Temporary Wages,0,628137,0,628137,385
10E200540,2,1,10E200540,10E200010,Expenses,"Selling, General and Administrative Expenses",Statutory Welfare Expenses,0,1508411,0,1508411,387
10E200600,2,1,10E200600,10E200010,Expenses,"Selling, General and Administrative Expenses",Professional Fees,0,279420,0,279420,393
10E200690,2,1,10E200690,10E200010,Expenses,"Selling, General and Administrative Expenses",Service Fees,0,21863,0,21863,402
10E200720,2,1,10E200720,10E200010,Expenses,"Selling, General and Administrative Expenses",Rent Expenses,0,6898000,0,6898000,405
10E200730,2,1,10E200730,10E200010,Expenses,"Selling, General and Administrative Expenses",Land and Building Rent,0,587700,0,587700,406
10E200870,2,1,10E200870,10E200010,Expenses,"Selling, General and Administrative Expenses",Freight Expenses,0,7150301,0,7150301,420
10E201000,2,1,10E201000,10E200010,Expenses,"Selling, General and Administrative Expenses",Repairs and Maintenance,0,158550,0,158550,433
10E201040,2,1,10E201040,10E200010,Expenses,"Selling, General and Administrative Expenses",Utilities Expenses,0,1260816,0,1260816,437
10E201110,2,1,10E201110,10E200010,Expenses,"Selling, General and Administrative Expenses",Office Supplies Expenses,0,290863,0,290863,444
10E201120,2,1,10E201120,10E200010,Expenses,"Selling, General and Administrative Expenses",Vehicle Expenses,0,1220200,0,1220200,445
10E201130,2,1,10E201130,10E200010,Expenses,"Selling, General and Administrative Expenses",Meeting Expenses,0,80469,0,80469,446
10E201140,2,1,10E201140,10E200010,Expenses,"Selling, General and Administrative Expenses",Membership Fees,0,232000,0,232000,447
10E201160,2,1,10E201160,10E200010,Expenses,"Selling, General and Administrative Expenses",Books and Publications,0,49964,0,49964,449
10E201230,2,1,10E201230,10E200010,Expenses,"Selling, General and Administrative Expenses",Travel and Transportation Expenses,0,2172943,0,2172943,456
10E201270,2,1,10E201270,10E200010,Expenses,"Selling, General and Administrative Expenses",Miscellaneous Expenses,0,963951,0,963951,460
10E300010,1,T,10E300010,10_000000,Expenses,Non-operating Expenses,Non-operating Expenses,0,209401,0,209401,543
10E300020,2,1,10E300020,10E300010,Expenses,Non-operating Expenses,Interest Expense,0,209401,0,209401,544
