Transaction_ID,Line_ID,Entry_ID,Ledger_Side,Transaction_Date,Description,Ledger_Account_Number,Ledger_Account_Name,Subaccount_Code,Subaccount_Name,Department_Code,Department_Name,Debit_Amount,Credit_Amount,Counterpart_Account_Number,Counterpart_Account_Name,Counterpart_Subaccount_Code,Counterpart_Subaccount_Name,Counterpart_Department_Code,Counterpart_Department_Name,Balance,Source_Row,Entry_Key,Occurrence,Semantic_Path,Month
,,,Opening,2022-05-01,* Opening balance,1000,Demo Cash,,,,,0,0,,,,,,,689150,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,1010,Demo Petty Cash,,,,,0,0,,,,,,,273050,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,1100,Demo Central Ordinary Deposit,,,,,0,0,,,,,,,163520,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,1110,Demo North Current Deposit,,,,,0,0,,,,,,,641740,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,1120,Demo Harbor Ordinary Deposit,,,,,0,0,,,,,,,87695,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,1200,Demo Accounts Receivable,,,,,0,0,,,,,,,33978045,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,1210,Demo Notes Receivable,,,,,0,0,,,,,,,834600,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,1300,Demo Inventory,,,,,0,0,,,,,,,1257510,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,1400,Demo Prepaid Expenses,,,,,0,0,,,,,,,6723780,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,1410,Demo Advances Paid,,,,,0,0,,,,,,,320740,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,1420,Demo Temporary Payments,,,,,0,0,,,,,,,316960,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,1430,Demo Input Tax Receivable,,,,,0,0,,,,,,,421070,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,1500,Demo Equipment,,,,,0,0,,,,,,,2114040,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,1510,Demo Vehicles,,,,,0,0,,,,,,,1333420,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,1520,Demo Software,,,,,0,0,,,,,,,750040,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,1590,Demo Accumulated Depreciation,,,,,0,0,,,,,,,1027930,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,2000,Demo Accounts Payable,,,,,0,0,,,,,,,25000,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,2010,Demo Notes Payable,,,,,0,0,,,,,,,705070,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,2100,Demo Accrued Payables,,,,,0,0,,,,,,,50000,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,2110,Demo Payroll Withholding,,,,,0,0,,,,,,,50000,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,2120,Demo Output Tax Payable,,,,,0,0,,,,,,,613390,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,2130,Demo Temporary Receipts,,,,,0,0,,,,,,,160470,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,2200,Demo Short-term Loans,,,,,0,0,,,,,,,50000,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,2300,Demo Long-term Loans,,,,,0,0,,,,,,,2654870,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,2400,Demo Unearned Revenue,,,,,0,0,,,,,,,463970,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,3000,Demo Capital,,,,,0,0,,,,,,,5078940,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,3100,Demo Retained Earnings,,,,,0,0,,,,,,,26227340,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,4000,Demo Product Sales,,,,,0,0,,,,,,,27878380,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,4010,Demo Service Revenue,,,,,0,0,,,,,,,29304150,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,4020,Demo Other Operating Revenue,,,,,0,0,,,,,,,14569760,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,4030,Demo Interest Income,,,,,0,0,,,,,,,29230,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,4040,Demo Miscellaneous Income,,,,,0,0,,,,,,,175380,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,5000,Demo Purchases,,,,,0,0,,,,,,,5032650,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,5010,Demo Freight-in,,,,,0,0,,,,,,,6563360,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,5020,Demo Inventory Adjustment,,,,,0,0,,,,,,,6548960,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,6000,Demo Salaries,,,,,0,0,,,,,,,5763340,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,6010,Demo Statutory Welfare,,,,,0,0,,,,,,,3552500,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,6020,Demo Office Rent,,,,,0,0,,,,,,,553220,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,6030,Demo Utilities,,,,,0,0,,,,,,,6228380,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,6040,Demo Communication,,,,,0,0,,,,,,,4610870,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,6050,Demo Business Travel,,,,,0,0,,,,,,,170080,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,6060,Demo Office Supplies,,,,,0,0,,,,,,,7172520,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,6070,Demo Bank Fees,,,,,0,0,,,,,,,3034790,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,6080,Demo Advertising,,,,,0,0,,,,,,,386430,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,6090,Demo Insurance,,,,,0,0,,,,,,,63660,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,6100,Demo Repairs,,,,,0,0,,,,,,,656090,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,6110,Demo Depreciation Expense,,,,,0,0,,,,,,,40850,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,6120,Demo Professional Fees,,,,,0,0,,,,,,,339230,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,6130,Demo Training,,,,,0,0,,,,,,,22200,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,6140,Demo Vehicle Expense,,,,,0,0,,,,,,,841500,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,6150,Demo Software Subscription,,,,,0,0,,,,,,,27710,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,6160,Demo Shipping,,,,,0,0,,,,,,,289620,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,6170,Demo Miscellaneous Expense,,,,,0,0,,,,,,,84370,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,7000,Demo Taxes and Dues,,,,,0,0,,,,,,,7418060,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,7010,Demo Corporate Tax,,,,,0,0,,,,,,,80460,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,7020,Demo Consumption Tax Expense,,,,,0,0,,,,,,,164190,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,8000,Demo Suspense,,,,,0,0,,,,,,,1289330,,,,,2022-05
,,,Opening,2022-05-01,* Opening balance,8010,Demo Clearing,,,,,0,0,,,,,,,1775850,,,,,2022-05
RA003,1,REF-AF-AR-SET-002,Debit,2022-05-10,Reference-after customer receipt,1120,Demo Harbor Ordinary Deposit,,,,,12695,0,1200,Demo Accounts Receivable,,,,,100390,REF-RA003,"[""20220510"",""REF-AF-AR-SET-002""]",1-D,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_MonetaryAmount,2022-05
RA003,2,REF-AF-AR-SET-002,Credit,2022-05-10,Reference-after customer receipt,1200,Demo Accounts Receivable,C001,Demo Customer Aurora,,,0,12695,1120,Demo Harbor Ordinary Deposit,,,,,33965350,REF-RA003,"[""20220510"",""REF-AF-AR-SET-002""]",2-C,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_MonetaryAmount,2022-05
RA004,1,REF-AF-AP-SET-002,Debit,2022-05-15,Reference-after vendor payment,2000,Demo Accounts Payable,V001,Demo Vendor Keystone,,,25000,0,1120,Demo Harbor Ordinary Deposit,,,,,0,REF-RA004,"[""20220515"",""REF-AF-AP-SET-002""]",1-D,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_MonetaryAmount,2022-05
RA004,2,REF-AF-AP-SET-002,Credit,2022-05-15,Reference-after vendor payment,1120,Demo Harbor Ordinary Deposit,,,,,0,25000,2000,Demo Accounts Payable,,,,,75390,REF-RA004,"[""20220515"",""REF-AF-AP-SET-002""]",2-C,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_MonetaryAmount,2022-05
