Ledger_Account_Number,Level,Type,Ledger_Account_Number,Parent,Category,eTax_Category,eTax_Account_Name,Beginning_Balance,Total_Debit,Total_Credit,Ending_Balance,seq
4000,1,A,4000,PL,Revenue,Revenue,Demo Product Sales,0,0,17939160,17939160,28
4010,1,A,4010,PL,Revenue,Revenue,Demo Service Revenue,0,0,17504740,17504740,29
4020,1,A,4020,PL,Revenue,Revenue,Demo Other Operating Revenue,0,0,9146340,9146340,30
4030,1,A,4030,PL,Revenue,Revenue,Demo Interest Income,0,0,0,0,31
4040,1,A,4040,PL,Revenue,Revenue,Demo Miscellaneous Income,0,0,0,0,32
5000,1,A,5000,PL,Cost of sales,Cost of sales,Demo Purchases,0,3109300,0,3109300,33
5010,1,A,5010,PL,Cost of sales,Cost of sales,Demo Freight-in,0,4800240,0,4800240,34
5020,1,A,5020,PL,Cost of sales,Cost of sales,Demo Inventory Adjustment,0,4806760,0,4806760,35
6000,1,A,6000,PL,Operating expenses,Operating expenses,Demo Salaries,0,4462640,0,4462640,36
6010,1,A,6010,PL,Operating expenses,Operating expenses,Demo Statutory Welfare,0,2268100,0,2268100,37
6020,1,A,6020,PL,Operating expenses,Operating expenses,Demo Office Rent,0,374850,0,374850,38
6030,1,A,6030,PL,Operating expenses,Operating expenses,Demo Utilities,0,4101710,0,4101710,39
6040,1,A,6040,PL,Operating expenses,Operating expenses,Demo Communication,0,2831860,0,2831860,40
6050,1,A,6050,PL,Operating expenses,Operating expenses,Demo Business Travel,0,0,0,0,41
6060,1,A,6060,PL,Operating expenses,Operating expenses,Demo Office Supplies,0,4441310,0,4441310,42
6070,1,A,6070,PL,Operating expenses,Operating expenses,Demo Bank Fees,0,2155760,0,2155760,43
6080,1,A,6080,PL,Operating expenses,Operating expenses,Demo Advertising,0,238240,0,238240,44
6090,1,A,6090,PL,Operating expenses,Operating expenses,Demo Insurance,0,0,0,0,45
6100,1,A,6100,PL,Operating expenses,Operating expenses,Demo Repairs,0,574570,0,574570,46
6110,1,A,6110,PL,Operating expenses,Operating expenses,Demo Depreciation Expense,0,0,0,0,47
6120,1,A,6120,PL,Operating expenses,Operating expenses,Demo Professional Fees,0,248330,0,248330,48
6130,1,A,6130,PL,Operating expenses,Operating expenses,Demo Training,0,0,0,0,49
6140,1,A,6140,PL,Operating expenses,Operating expenses,Demo Vehicle Expense,0,579370,0,579370,50
6150,1,A,6150,PL,Operating expenses,Operating expenses,Demo Software Subscription,0,0,0,0,51
6160,1,A,6160,PL,Operating expenses,Operating expenses,Demo Shipping,0,177720,0,177720,52
6170,1,A,6170,PL,Operating expenses,Operating expenses,Demo Miscellaneous Expense,0,0,0,0,53
7000,1,A,7000,PL,Taxes,Taxes,Demo Taxes and Dues,0,4891770,0,4891770,54
7010,1,A,7010,PL,Taxes,Taxes,Demo Corporate Tax,0,0,0,0,55
7020,1,A,7020,PL,Taxes,Taxes,Demo Consumption Tax Expense,0,0,0,0,56
