JP07a,JP08a,Month,JP07a_GL03_03,JP07a_GL03_01,JP08a_GL04_03,JP06e_GE24_01,JP06e_GE24_02,Debit_Amount,JP02j_BS09_01,JP02j_BS09_02,GE05kw_01,JP05a_01,JP05a_02,BS04fb_01,BS04fb_02,JP06f_GE24_01,JP06f_GE24_02,Credit_Amount,JP02k_BS09_01,JP02k_BS09_02,GE05kB_01,JP05b_01,JP05b_02,BS04fc_01,BS04fc_02
2369,1,2022-02,2022-02-01,67,tissues and others,10E201270,Miscellaneous Expenses,1029,S,S,93,,,040,Osaka Branch,10A100020,Cash,1029,O,O,0,,,000,Common Department
2372,1,2022-02,2022-02-02,102,golf prize expense Anonymized Store 089,10E200150,Entertainment Expenses,5250,S,S,477,,,040,Osaka Branch,10A100020,Cash,5250,O,O,0,,,000,Common Department
2373,1,2022-02,2022-02-02,150,Meal expense Anonymized Store 084 4 people,10E200150,Entertainment Expenses,14172,S,S,1288,,,050,Kyushu Sales Office,10A100020,Cash,14172,O,O,0,,,000,Common Department
2373,2,2022-02,2022-02-02,150,Meal expense Anonymized Store 034 4 people,10E200150,Entertainment Expenses,15467,S,S,1406,,,050,Kyushu Sales Office,10A100020,Cash,15467,O,O,0,,,000,Common Department
2370,1,2022-02,2022-02-02,18,Travel expense,10E201230,Travel and Transportation Expenses,14500,S,S,1318,,,010,Sapporo Sales Office,10A100020,Cash,14500,O,O,0,,,000,Common Department
2371,1,2022-02,2022-02-02,94,Kitchen supplies and others,10E201270,Miscellaneous Expenses,1012,S,S,92,,,030,Nagoya Branch,10A100020,Cash,1012,O,O,0,,,000,Common Department
2375,1,2022-02,2022-02-03,134,Paper,10E201110,Office Supplies Expenses,10500,S,S,954,,,050,Kyushu Sales Office,10B100630,Accounts Payable Other,10500,O,O,0,,,000,Common Department
2374,1,2022-02,2022-02-03,41,Condolence gift,10E200150,Entertainment Expenses,10000,S,S,909,,,020,Tokyo Branch,10A100020,Cash,10000,O,O,0,,,000,Common Department
2377,1,2022-02,2022-02-04,147,Gasoline,10E201120,Vehicle Expenses,6693,S,S,608,,,050,Kyushu Sales Office,10B100630,Accounts Payable Other,6693,O,O,0,,,000,Common Department
2376,1,2022-02,2022-02-04,19,Travel expense,10E201230,Travel and Transportation Expenses,8500,S,S,772,,,010,Sapporo Sales Office,10A100020,Cash,8500,O,O,0,,,000,Common Department
2383,1,2022-02,2022-02-05,133,Tax accountant fee,10E200600,Professional Fees,139710,S,S,12700,,,020,Tokyo Branch,10A100020,Ordinary Deposits,139710,O,O,0,20,ABC Bank Head Office,000,Common Department
2384,1,2022-02,2022-02-05,142,Expressway toll,10E201120,Vehicle Expenses,4991,S,S,453,,,040,Osaka Branch,10A100020,Cash,4991,O,O,0,,,000,Common Department
2384,2,2022-02,2022-02-05,142,Expressway toll,10E201120,Vehicle Expenses,3004,S,S,273,,,040,Osaka Branch,10A100020,Cash,3004,O,O,0,,,000,Common Department
2384,3,2022-02,2022-02-05,142,Expressway toll,10E201120,Vehicle Expenses,4561,S,S,414,,,040,Osaka Branch,10A100020,Cash,4561,O,O,0,,,000,Common Department
2385,1,2022-02,2022-02-05,161,Travel expense,10E201230,Travel and Transportation Expenses,6980,S,S,634,,,050,Kyushu Sales Office,10A100020,Cash,6980,O,O,0,,,000,Common Department
2378,1,2022-02,2022-02-05,20,Travel expense,10E201230,Travel and Transportation Expenses,42000,S,S,3818,,,010,Sapporo Sales Office,10A100020,Cash,42000,O,O,0,,,000,Common Department
2379,1,2022-02,2022-02-05,76,Employee meal,10E200140,Employee Welfare Expenses,15608,S,S,1418,,,020,Tokyo Branch,10B100630,Accounts Payable Other,15608,O,O,0,,,000,Common Department
2380,1,2022-02,2022-02-05,85,Voucher No. 432 dated 2/5 Anonymized Partner 070,10A100020,Ordinary Deposits,1508272,O,O,0,50,MNO Bank Kitakyushu Branch,000,Common Department,10A100090,Accounts Receivable,1508272,O,O,0,22,Anonymized Partner 070,000,Common Department
2380,2,2022-02,2022-02-05,85,Voucher No. 432 dated 2/5 Anonymized Partner 070,10E200690,Service Fees,472,S,S,42,,,050,Kyushu Sales Office,10A100090,Accounts Receivable,472,O,O,0,22,Anonymized Partner 070,000,Common Department
2381,1,2022-02,2022-02-05,86,Voucher No. 433 dated 2/5 Anonymized Partner 082,10A100020,Ordinary Deposits,1442003,O,O,0,20,ABC Bank Head Office,000,Common Department,10A100090,Accounts Receivable,1442003,O,O,0,26,Anonymized Partner 082,000,Common Department
2381,2,2022-02,2022-02-05,86,Voucher No. 433 dated 2/5 Anonymized Partner 082,10E200690,Service Fees,472,S,S,42,,,020,Tokyo Branch,10A100090,Accounts Receivable,472,O,O,0,26,Anonymized Partner 082,000,Common Department
2382,1,2022-02,2022-02-05,87,Voucher No. 434 dated 2/5 Anonymized Partner 025,10A100020,Ordinary Deposits,1918584,O,O,0,30,GHI Bank Nagoya Branch,000,Common Department,10A100090,Accounts Receivable,1918584,O,O,0,27,Anonymized Partner 025,000,Common Department
2387,1,2022-02,2022-02-06,106,golf play expense,10E200150,Entertainment Expenses,18600,S,S,1690,,,040,Osaka Branch,10A100020,Cash,18600,O,O,0,,,000,Common Department
2388,1,2022-02,2022-02-06,110,taxi expense,10E201230,Travel and Transportation Expenses,2290,S,S,208,,,040,Osaka Branch,10A100020,Cash,2290,O,O,0,,,000,Common Department
2389,1,2022-02,2022-02-06,149,Cof fee expense 2 people,10E200150,Entertainment Expenses,1260,S,S,114,,,030,Nagoya Branch,10A100020,Cash,1260,O,O,0,,,000,Common Department
2386,1,2022-02,2022-02-06,21,Anonymized Railway Company A expense,10E201230,Travel and Transportation Expenses,59600,S,S,5418,,,010,Sapporo Sales Office,10A100020,Cash,59600,O,O,0,,,000,Common Department
2392,1,2022-02,2022-02-07,143,Vehicle management fee,10E201120,Vehicle Expenses,23200,S,S,2109,,,040,Osaka Branch,10A100020,Cash,23200,O,O,0,,,000,Common Department
2390,1,2022-02,2022-02-07,43,Cof fee expense and others 2 people,10E200150,Entertainment Expenses,2210,S,S,200,,,020,Tokyo Branch,10A100020,Cash,2210,O,O,0,,,000,Common Department
2391,1,2022-02,2022-02-07,58,Travel expense,10E201230,Travel and Transportation Expenses,70000,S,S,6363,,,020,Tokyo Branch,10A100020,Cash,70000,O,O,0,,,000,Common Department
2395,1,2022-02,2022-02-08,164,office supplies,10E201110,Office Supplies Expenses,898,S,S,81,,,050,Kyushu Sales Office,10A100020,Cash,898,O,O,0,,,000,Common Department
2393,1,2022-02,2022-02-08,50,Expressway toll,10E201120,Vehicle Expenses,1200,S,S,109,,,020,Tokyo Branch,10A100020,Cash,1200,O,O,0,,,000,Common Department
2394,1,2022-02,2022-02-08,75,Gasoline,10E201120,Vehicle Expenses,6630,S,S,602,,,050,Kyushu Sales Office,10A100020,Cash,6630,O,O,0,,,000,Common Department
2394,2,2022-02,2022-02-08,75,Expressway toll,10E201120,Vehicle Expenses,2286,S,S,207,,,050,Kyushu Sales Office,10A100020,Cash,2286,O,O,0,,,000,Common Department
2394,3,2022-02,2022-02-08,75,Parking fee,10E201120,Vehicle Expenses,762,S,S,69,,,050,Kyushu Sales Office,10A100020,Cash,762,O,O,0,,,000,Common Department
2396,1,2022-02,2022-02-09,152,golf play expense,10E200150,Entertainment Expenses,12000,S,S,1090,,,050,Kyushu Sales Office,10A100020,Cash,12000,O,O,0,,,000,Common Department
2397,1,2022-02,2022-02-10,10,Gasoline,10E201120,Vehicle Expenses,3000,S,S,272,,,010,Sapporo Sales Office,10A100020,Cash,3000,O,O,0,,,000,Common Department
2409,1,2022-02,2022-02-10,137,Note due date settlement Anonymized Partner 085,10B100030,Notes Payable,2953678,O,O,0,,,000,Common Department,10A100020,Checking Deposits,2953678,O,O,0,1,ABC Bank,000,Common Department
2410,1,2022-02,2022-02-10,162,Meeting Meal expense,10E201130,Meeting Expenses,24995,S,S,2272,,,020,Tokyo Branch,10A100020,Cash,24995,O,O,0,,,000,Common Department
2411,1,2022-02,2022-02-10,168,Wired service fee,10E201270,Miscellaneous Expenses,6000,S,S,545,,,050,Kyushu Sales Office,10B100630,Accounts Payable Other,6000,O,O,0,,,000,Common Department
2411,2,2022-02,2022-02-10,168,Security fee,10E201270,Miscellaneous Expenses,42858,S,S,3896,,,050,Kyushu Sales Office,10B100630,Accounts Payable Other,42858,O,O,0,,,000,Common Department
2398,1,2022-02,2022-02-10,60,Withdrawal,10A100020,Cash,500000,O,O,0,,,000,Common Department,10A100020,Checking Deposits,500000,O,O,0,1,ABC Bank,000,Common Department
2399,1,2022-02,2022-02-10,62,Withholding Tax payment,10B100690,Deposits Received,232482,O,O,0,3,Withholding Tax,000,Common Department,10A100020,Ordinary Deposits,232482,O,O,0,20,ABC Bank Head Office,000,Common Department
2399,2,2022-02,2022-02-10,62,Resident Tax payment,10B100690,Deposits Received,449500,O,O,0,2,Resident Tax,000,Common Department,10A100020,Ordinary Deposits,449500,O,O,0,20,ABC Bank Head Office,000,Common Department
2400,1,2022-02,2022-02-10,65,Wired service fee,10E201270,Miscellaneous Expenses,5000,S,S,454,,,010,Sapporo Sales Office,10B100630,Accounts Payable Other,5000,O,O,0,,,000,Common Department
2400,2,2022-02,2022-02-10,65,Security fee,10E201270,Miscellaneous Expenses,34286,S,S,3116,,,010,Sapporo Sales Office,10B100630,Accounts Payable Other,34286,O,O,0,,,000,Common Department
2401,1,2022-02,2022-02-10,76,Gasoline,10E201120,Vehicle Expenses,6012,S,S,546,,,050,Kyushu Sales Office,10A100020,Cash,6012,O,O,0,,,000,Common Department
2402,1,2022-02,2022-02-10,79,Travel expense,10E201230,Travel and Transportation Expenses,22000,S,S,2000,,,030,Nagoya Branch,10A100020,Cash,22000,O,O,0,,,000,Common Department
2403,1,2022-02,2022-02-10,88,Voucher No. 435 dated 2/10 Anonymized Partner 085,10B100040,Accounts Payable,4318710,O,O,0,3,Anonymized Partner 085,000,Common Department,10A100090,Accounts Receivable,4318710,O,O,0,3,Anonymized Partner 085,000,Common Department
2404,1,2022-02,2022-02-10,89,Voucher No. 436 dated 2/10 Anonymized Partner 066 Tokyo Head Office,10A100020,Ordinary Deposits,15929155,O,O,0,20,ABC Bank Head Office,000,Common Department,10A100090,Accounts Receivable,15929155,O,O,0,14,Anonymized Partner 066,000,Common Department
2404,2,2022-02,2022-02-10,89,Voucher No. 436 dated 2/10 Anonymized Partner 066 Tokyo Head Office,10E200690,Service Fees,735,S,S,66,,,020,Tokyo Branch,10A100090,Accounts Receivable,735,O,O,0,14,Anonymized Partner 066,000,Common Department
2405,1,2022-02,2022-02-10,90,Voucher No. 437 dated 2/10 Anonymized Partner 045,10A100020,Ordinary Deposits,663855,O,O,0,30,GHI Bank Nagoya Branch,000,Common Department,10A100090,Accounts Receivable,663855,O,O,0,19,Anonymized Partner 045,000,Common Department
2405,2,2022-02,2022-02-10,90,Voucher No. 437 dated 2/10 Anonymized Partner 045,10E200690,Service Fees,735,S,S,66,,,030,Nagoya Branch,10A100090,Accounts Receivable,735,O,O,0,19,Anonymized Partner 045,000,Common Department
2406,1,2022-02,2022-02-10,91,Voucher No. 438 dated 2/10 Anonymized Partner 072 | Sales voucher=20220131-115;Note number=R20220210-91-28,10A100060,Notes Receivable,8918449,O,O,0,,,000,Common Department,10A100090,Accounts Receivable,8918449,O,O,0,28,Anonymized Partner 072,000,Common Department
2407,1,2022-02,2022-02-10,92,Voucher No. 333 dated 2/10 Anonymized Partner 085,10B100040,Accounts Payable,457266,O,O,0,3,Anonymized Partner 085,000,Common Department,10B100030,Notes Payable,457266,O,O,0,,,000,Common Department
2408,1,2022-02,2022-02-10,93,Voucher No. 334 dated 2/10 Anonymized Partner 063,10B100040,Accounts Payable,560347,O,O,0,8,Anonymized Partner 063,000,Common Department,10A100020,Ordinary Deposits,560347,O,O,0,20,ABC Bank Head Office,000,Common Department
2419,1,2022-02,2022-02-11,112,Telephone expense,10E200180,Communication Expenses,159346,S,S,14486,,,040,Osaka Branch,10A100020,Ordinary Deposits,159346,O,O,0,40,JKL Bank Umeda Branch,000,Common Department
2420,1,2022-02,2022-02-11,129,Rent payment,10E200720,Rent Expenses,399000,S,S,36272,,,030,Nagoya Branch,10A100020,Ordinary Deposits,399000,O,O,0,30,GHI Bank Nagoya Branch,000,Common Department
2421,1,2022-02,2022-02-11,141,Anonymized Railway Company A expense,10E201230,Travel and Transportation Expenses,21500,S,S,1954,,,040,Osaka Branch,10A100020,Cash,21500,O,O,0,,,000,Common Department
2422,1,2022-02,2022-02-11,165,tissues expense and others,10E201270,Miscellaneous Expenses,1335,S,S,121,,,050,Kyushu Sales Office,10A100020,Cash,1335,O,O,0,,,000,Common Department
2423,1,2022-02,2022-02-11,167,Rent payment,10E200720,Rent Expenses,630000,S,S,57272,,,050,Kyushu Sales Office,10A100020,Ordinary Deposits,630000,O,O,0,50,MNO Bank Kitakyushu Branch,000,Common Department
2423,2,2022-02,2022-02-11,167,Telephone expense,10E200180,Communication Expenses,130648,S,S,11877,,,050,Kyushu Sales Office,10A100020,Ordinary Deposits,130648,O,O,0,50,MNO Bank Kitakyushu Branch,000,Common Department
2412,1,2022-02,2022-02-11,22,Travel expense,10E201230,Travel and Transportation Expenses,23000,S,S,2090,,,010,Sapporo Sales Office,10A100020,Cash,23000,O,O,0,,,000,Common Department
2413,1,2022-02,2022-02-11,33,Rent payment,10E200720,Rent Expenses,320000,S,S,29090,,,010,Sapporo Sales Office,10A100020,Ordinary Deposits,320000,O,O,0,10,DEF Bank Station Branch,000,Common Department
2413,2,2022-02,2022-02-11,33,Telephone expense,10E200180,Communication Expenses,171286,S,S,15571,,,010,Sapporo Sales Office,10A100020,Ordinary Deposits,171286,O,O,0,10,DEF Bank Station Branch,000,Common Department
2414,1,2022-02,2022-02-11,63,Rent payment,10E200720,Rent Expenses,1260000,S,S,114545,,,020,Tokyo Branch,10A100020,Ordinary Deposits,1260000,O,O,0,20,ABC Bank Head Office,000,Common Department
2415,1,2022-02,2022-02-11,64,Rent payment,10E200720,Rent Expenses,840000,S,S,76363,,,040,Osaka Branch,10A100020,Ordinary Deposits,840000,O,O,0,40,JKL Bank Umeda Branch,000,Common Department
2416,1,2022-02,2022-02-11,73,Meal expense,10E200150,Entertainment Expenses,26530,S,S,2411,,,020,Tokyo Branch,10A100020,Cash,26530,O,O,0,,,000,Common Department
2417,1,2022-02,2022-02-11,80,Anonymized Railway Company A expense,10E201230,Travel and Transportation Expenses,10000,S,S,909,,,030,Nagoya Branch,10A100020,Cash,10000,O,O,0,,,000,Common Department
2418,1,2022-02,2022-02-11,85,Telephone expense,10E200180,Communication Expenses,83240,S,S,7567,,,030,Nagoya Branch,10A100020,Ordinary Deposits,83240,O,O,0,30,GHI Bank Nagoya Branch,000,Common Department
2424,1,2022-02,2022-02-12,44,Meal expense Anonymized Store 020 5 people,10E200150,Entertainment Expenses,33690,S,S,3062,,,020,Tokyo Branch,10A100020,Cash,33690,O,O,0,,,000,Common Department
2425,1,2022-02,2022-02-12,69,golf play expense,10E200150,Entertainment Expenses,12600,S,S,1145,,,020,Tokyo Branch,10A100020,Cash,12600,O,O,0,,,000,Common Department
2426,1,2022-02,2022-02-12,71,golf play expense,10E200150,Entertainment Expenses,13650,S,S,1240,,,040,Osaka Branch,10A100020,Cash,13650,O,O,0,,,000,Common Department
2427,1,2022-02,2022-02-13,17,Parking fee,10E201120,Vehicle Expenses,381,S,S,34,,,010,Sapporo Sales Office,10A100020,Cash,381,O,O,0,,,000,Common Department
2427,2,2022-02,2022-02-13,17,Expressway toll,10E201120,Vehicle Expenses,2000,S,S,181,,,010,Sapporo Sales Office,10A100020,Cash,2000,O,O,0,,,000,Common Department
2428,1,2022-02,2022-02-13,23,Travel expense,10E201230,Travel and Transportation Expenses,381,S,S,34,,,010,Sapporo Sales Office,10A100020,Cash,381,O,O,0,,,000,Common Department
