JP07a,JP08a,Month,JP07a_GL03_03,JP07a_GL03_01,JP08a_GL04_03,JP06e_GE24_01,JP06e_GE24_02,Debit_Amount,JP02j_BS09_01,JP02j_BS09_02,GE05kw_01,JP05a_01,JP05a_02,BS04fb_01,BS04fb_02,JP06f_GE24_01,JP06f_GE24_02,Credit_Amount,JP02k_BS09_01,JP02k_BS09_02,GE05kB_01,JP05b_01,JP05b_02,BS04fc_01,BS04fc_02
1,1,2021-04,2021-04-01,18,Travel expense,10E201230,Travel and Transportation Expenses,19500,S,S,1772,,,010,Sapporo Sales Office,10A100020,Cash,19500,O,O,0,,,000,Common Department
2,1,2021-04,2021-04-01,246,Travel expense,10E201230,Travel and Transportation Expenses,10000,S,S,909,,,030,Nagoya Branch,10A100020,Cash,10000,O,O,0,,,000,Common Department
5,1,2021-04,2021-04-02,122,Certificate issuance fee,10E200180,Communication Expenses,1050,S,S,95,,,040,Osaka Branch,10A100020,Cash,1050,O,O,0,,,000,Common Department
6,1,2021-04,2021-04-02,142,Expressway toll,10E201120,Vehicle Expenses,2458,S,S,223,,,040,Osaka Branch,10A100020,Cash,2458,O,O,0,,,000,Common Department
6,2,2021-04,2021-04-02,142,Parking fee,10E201120,Vehicle Expenses,591,S,S,53,,,040,Osaka Branch,10A100020,Cash,591,O,O,0,,,000,Common Department
6,3,2021-04,2021-04-02,142,Gasoline,10E201120,Vehicle Expenses,4620,S,S,420,,,040,Osaka Branch,10A100020,Cash,4620,O,O,0,,,000,Common Department
6,4,2021-04,2021-04-02,142,Car wash ticket,10E201120,Vehicle Expenses,5715,S,S,519,,,040,Osaka Branch,10A100020,Cash,5715,O,O,0,,,000,Common Department
3,1,2021-04,2021-04-02,19,Travel expense,10E201230,Travel and Transportation Expenses,11000,S,S,1000,,,010,Sapporo Sales Office,10A100020,Cash,11000,O,O,0,,,000,Common Department
4,1,2021-04,2021-04-02,68,toilet paper and others,10E201270,Miscellaneous Expenses,2970,S,S,270,,,010,Sapporo Sales Office,10A100020,Cash,2970,O,O,0,,,000,Common Department
8,1,2021-04,2021-04-03,134,Paper,10E201110,Office Supplies Expenses,15600,S,S,1418,,,010,Sapporo Sales Office,10A100020,Cash,15600,O,O,0,,,000,Common Department
7,1,2021-04,2021-04-03,41,Wedding reception fee,10E200150,Entertainment Expenses,12000,S,S,1090,,,020,Tokyo Branch,10A100020,Cash,12000,O,O,0,,,000,Common Department
9,1,2021-04,2021-04-04,310,Gasoline,10E201120,Vehicle Expenses,6486,S,S,589,,,050,Kyushu Sales Office,10A100020,Cash,6486,O,O,0,,,000,Common Department
9,2,2021-04,2021-04-04,310,Expressway toll,10E201120,Vehicle Expenses,9715,S,S,883,,,050,Kyushu Sales Office,10A100020,Cash,9715,O,O,0,,,000,Common Department
9,3,2021-04,2021-04-04,310,Parking fee,10E201120,Vehicle Expenses,1200,S,S,109,,,050,Kyushu Sales Office,10A100020,Cash,1200,O,O,0,,,000,Common Department
11,1,2021-04,2021-04-05,133,Tax accountant fee,10E200600,Professional Fees,139710,S,S,12700,,,020,Tokyo Branch,10A100020,Ordinary Deposits,139710,O,O,0,20,ABC Bank Head Office,000,Common Department
12,1,2021-04,2021-04-05,139,Uniform expense,10E200140,Employee Welfare Expenses,55630,S,S,5057,,,040,Osaka Branch,10B100630,Accounts Payable Other,55630,O,O,0,,,000,Common Department
13,1,2021-04,2021-04-05,254,Voucher No. 190 dated 4/5 Anonymized Partner 070,10A100020,Ordinary Deposits,2959035,O,O,0,50,MNO Bank Kitakyushu Branch,000,Common Department,10A100090,Accounts Receivable,2959035,O,O,0,22,Anonymized Partner 070,000,Common Department
