JP07a,JP08a,Month,JP07a_GL03_03,JP07a_GL03_01,JP08a_GL04_03,JP06e_GE24_01,JP06e_GE24_02,Debit_Amount,JP02j_BS09_01,JP02j_BS09_02,GE05kw_01,JP05a_01,JP05a_02,BS04fb_01,BS04fb_02,JP06f_GE24_01,JP06f_GE24_02,Credit_Amount,JP02k_BS09_01,JP02k_BS09_02,GE05kB_01,JP05b_01,JP05b_02,BS04fc_01,BS04fc_02
4000,1,2021-02,2021-02-28,904000,売上請求書,10A100090,売掛金,3267499,00,対象外,0,1,五越株式会社,,,10D100102,電子取引以外売上高,3267499,00,対象外,0,,,,
4001,1,2021-02,2021-02-28,904001,売上請求書,10A100090,売掛金,1985,00,対象外,0,1,五越株式会社,,,10D100102,電子取引以外売上高,1985,00,対象外,0,,,,
4005,1,2021-02,2021-02-28,904005,売上請求書,10A100090,売掛金,13483517,00,対象外,0,2,今井百貨店,,,10D100102,電子取引以外売上高,13483517,00,対象外,0,,,,
4008,1,2021-02,2021-02-28,904008,売上請求書,10A100090,売掛金,1585979,00,対象外,0,3,株式会社チェック,,,10D100102,電子取引以外売上高,1585979,00,対象外,0,,,,
4010,1,2021-02,2021-02-28,904010,売上請求書,10A100090,売掛金,2226774,00,対象外,0,4,マークマーケット,,,10D100102,電子取引以外売上高,2226774,00,対象外,0,,,,
4011,1,2021-02,2021-02-28,904011,売上請求書,10A100090,売掛金,651,00,対象外,0,4,マークマーケット,,,10D100102,電子取引以外売上高,651,00,対象外,0,,,,
4014,1,2021-02,2021-02-28,904014,売上請求書,10A100090,売掛金,2999742,00,対象外,0,5,株式会社ＡＢＣ,,,10D100102,電子取引以外売上高,2999742,00,対象外,0,,,,
4015,1,2021-02,2021-02-28,904015,売上請求書,10A100090,売掛金,628,00,対象外,0,5,株式会社ＡＢＣ,,,10D100102,電子取引以外売上高,628,00,対象外,0,,,,
4019,1,2021-02,2021-02-28,904019,売上請求書,10A100090,売掛金,1020783,00,対象外,0,6,株式会社エントリー,,,10D100102,電子取引以外売上高,1020783,00,対象外,0,,,,
4020,1,2021-02,2021-02-28,904020,売上請求書,10A100090,売掛金,675,00,対象外,0,6,株式会社エントリー,,,10D100102,電子取引以外売上高,675,00,対象外,0,,,,
4021,1,2021-02,2021-02-28,904021,売上請求書,10A100090,売掛金,27339,00,対象外,0,6,株式会社エントリー,,,10D100102,電子取引以外売上高,27339,00,対象外,0,,,,
4024,1,2021-02,2021-02-28,904024,売上請求書,10A100090,売掛金,1534105,00,対象外,0,7,株式会社総合経営,,,10D100102,電子取引以外売上高,1534105,00,対象外,0,,,,
4025,1,2021-02,2021-02-28,904025,売上請求書,10A100090,売掛金,516,00,対象外,0,7,株式会社総合経営,,,10D100102,電子取引以外売上高,516,00,対象外,0,,,,
4029,1,2021-02,2021-02-28,904029,売上請求書,10A100090,売掛金,2584696,00,対象外,0,9,高橋物産株式会社,,,10D100102,電子取引以外売上高,2584696,00,対象外,0,,,,
4030,1,2021-02,2021-02-28,904030,売上請求書,10A100090,売掛金,642,00,対象外,0,9,高橋物産株式会社,,,10D100102,電子取引以外売上高,642,00,対象外,0,,,,
4036,1,2021-02,2021-02-28,904036,売上請求書,10A100090,売掛金,30547,00,対象外,0,12,もみじデパート,,,10D100102,電子取引以外売上高,30547,00,対象外,0,,,,
4037,1,2021-02,2021-02-28,904037,売上請求書,10A100090,売掛金,9017603,00,対象外,0,12,もみじデパート,,,10D100102,電子取引以外売上高,9017603,00,対象外,0,,,,
4040,1,2021-02,2021-02-28,904040,売上請求書,10A100090,売掛金,2114596,00,対象外,0,13,阿部商事株式会社,,,10D100102,電子取引以外売上高,2114596,00,対象外,0,,,,
4041,1,2021-02,2021-02-28,904041,売上請求書,10A100090,売掛金,53041,00,対象外,0,13,阿部商事株式会社,,,10D100102,電子取引以外売上高,53041,00,対象外,0,,,,
4043,1,2021-02,2021-02-28,904043,売上請求書,10A100090,売掛金,13888575,00,対象外,0,14,株式会社藤田,,,10D100102,電子取引以外売上高,13888575,00,対象外,0,,,,
4044,1,2021-02,2021-02-28,904044,売上請求書,10A100090,売掛金,633,00,対象外,0,14,株式会社藤田,,,10D100102,電子取引以外売上高,633,00,対象外,0,,,,
4049,1,2021-02,2021-02-28,904049,売上請求書,10A100090,売掛金,1080093,00,対象外,0,19,株式会社ミナミ,,,10D100102,電子取引以外売上高,1080093,00,対象外,0,,,,
4050,1,2021-02,2021-02-28,904050,売上請求書,10A100090,売掛金,556,00,対象外,0,19,株式会社ミナミ,,,10D100102,電子取引以外売上高,556,00,対象外,0,,,,
4053,1,2021-02,2021-02-28,904053,売上請求書,10A100090,売掛金,1770912,00,対象外,0,20,株式会社久城商事,,,10D100102,電子取引以外売上高,1770912,00,対象外,0,,,,
4054,1,2021-02,2021-02-28,904054,売上請求書,10A100090,売掛金,492,00,対象外,0,20,株式会社久城商事,,,10D100102,電子取引以外売上高,492,00,対象外,0,,,,
4060,1,2021-02,2021-02-28,904060,売上請求書,10A100090,売掛金,2380294,00,対象外,0,22,株式会社渡辺産業,,,10D100102,電子取引以外売上高,2380294,00,対象外,0,,,,
4061,1,2021-02,2021-02-28,904061,売上請求書,10A100090,売掛金,507,00,対象外,0,22,株式会社渡辺産業,,,10D100102,電子取引以外売上高,507,00,対象外,0,,,,
4066,1,2021-02,2021-02-28,904066,売上請求書,10A100090,売掛金,4660833,00,対象外,0,25,株式会社小林マーケット,,,10D100102,電子取引以外売上高,4660833,00,対象外,0,,,,
4067,1,2021-02,2021-02-28,904067,売上請求書,10A100090,売掛金,590,00,対象外,0,25,株式会社小林マーケット,,,10D100102,電子取引以外売上高,590,00,対象外,0,,,,
4071,1,2021-02,2021-02-28,904071,売上請求書,10A100090,売掛金,1206280,00,対象外,0,26,佐々木販売株式会社,,,10D100102,電子取引以外売上高,1206280,00,対象外,0,,,,
4072,1,2021-02,2021-02-28,904072,売上請求書,10A100090,売掛金,377,00,対象外,0,26,佐々木販売株式会社,,,10D100102,電子取引以外売上高,377,00,対象外,0,,,,
4076,1,2021-02,2021-02-28,904076,売上請求書,10A100090,売掛金,1419759,00,対象外,0,27,岩下物産株式会社,,,10D100102,電子取引以外売上高,1419759,00,対象外,0,,,,
4077,1,2021-02,2021-02-28,904077,売上請求書,10A100090,売掛金,481,00,対象外,0,27,岩下物産株式会社,,,10D100102,電子取引以外売上高,481,00,対象外,0,,,,
4079,1,2021-02,2021-02-28,904079,売上請求書,10A100090,売掛金,6441963,00,対象外,0,28,かめだデパート,,,10D100102,電子取引以外売上高,6441963,00,対象外,0,,,,
4080,1,2021-02,2021-02-28,904080,売上請求書,10A100090,売掛金,20058,00,対象外,0,28,かめだデパート,,,10D100102,電子取引以外売上高,20058,00,対象外,0,,,,
4083,1,2021-02,2021-02-28,904083,売上請求書,10A100090,売掛金,2497755,00,対象外,0,30,株式会社ＹＡＧ,,,10D100102,電子取引以外売上高,2497755,00,対象外,0,,,,
4084,1,2021-02,2021-02-28,904084,売上請求書,10A100090,売掛金,575,00,対象外,0,30,株式会社ＹＡＧ,,,10D100102,電子取引以外売上高,575,00,対象外,0,,,,
4087,1,2021-02,2021-02-28,904087,仕入請求書,10E100132,電子取引以外当期商品仕入高,3557473,00,対象外,0,,,,,10B100040,買掛金,3557473,00,対象外,0,1,株式会社Ｙ２,,
4088,1,2021-02,2021-02-28,904088,仕入請求書,10E100132,電子取引以外当期商品仕入高,73207,00,対象外,0,,,,,10B100040,買掛金,73207,00,対象外,0,1,株式会社Ｙ２,,
4090,1,2021-02,2021-02-28,904090,仕入請求書,10E100132,電子取引以外当期商品仕入高,1829520,00,対象外,0,,,,,10B100040,買掛金,1829520,00,対象外,0,2,株式会社Ｐｏｌｅ,,
4092,1,2021-02,2021-02-28,904092,仕入請求書,10E100132,電子取引以外当期商品仕入高,10297986,00,対象外,0,,,,,10B100040,買掛金,10297986,00,対象外,0,3,株式会社チェック,,
4093,1,2021-02,2021-02-28,904093,仕入請求書,10E100132,電子取引以外当期商品仕入高,30289,00,対象外,0,,,,,10B100040,買掛金,30289,00,対象外,0,3,株式会社チェック,,
4096,1,2021-02,2021-02-28,904096,仕入請求書,10E100132,電子取引以外当期商品仕入高,1416910,00,対象外,0,,,,,10B100040,買掛金,1416910,00,対象外,0,4,株式会社アタッチ,,
4098,1,2021-02,2021-02-28,904098,仕入請求書,10E100132,電子取引以外当期商品仕入高,21674,00,対象外,0,,,,,10B100040,買掛金,21674,00,対象外,0,5,小藤丸株式会社,,
4099,1,2021-02,2021-02-28,904099,仕入請求書,10E100132,電子取引以外当期商品仕入高,5237507,00,対象外,0,,,,,10B100040,買掛金,5237507,00,対象外,0,5,小藤丸株式会社,,
4102,1,2021-02,2021-02-28,904102,仕入請求書,10E100132,電子取引以外当期商品仕入高,3596039,00,対象外,0,,,,,10B100040,買掛金,3596039,00,対象外,0,6,株式会社ハナダ,,
4103,1,2021-02,2021-02-28,904103,仕入請求書,10E100132,電子取引以外当期商品仕入高,22478,00,対象外,0,,,,,10B100040,買掛金,22478,00,対象外,0,6,株式会社ハナダ,,
4105,1,2021-02,2021-02-28,904105,仕入請求書,10E100132,電子取引以外当期商品仕入高,5522383,00,対象外,0,,,,,10B100040,買掛金,5522383,00,対象外,0,7,株式会社サンセット,,
4108,1,2021-02,2021-02-28,904108,仕入請求書,10E100132,電子取引以外当期商品仕入高,402696,00,対象外,0,,,,,10B100040,買掛金,402696,00,対象外,0,8,株式会社山下,,
4110,1,2021-02,2021-02-28,904110,仕入請求書,10E100132,電子取引以外当期商品仕入高,11793,00,対象外,0,,,,,10B100040,買掛金,11793,00,対象外,0,9,斉藤産業株式会社,,
