C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18
1,"[""20220410"",""REF-AF-AR-SET-001""]",,,,,2022-04-10,REF-AF-AR-SET-001,Reference-after customer receipt,,,,,,,,,
1,"[""20220410"",""REF-AF-AR-SET-001""]",1-D,,,,,,,D,12695,,,,,,,
1,"[""20220410"",""REF-AF-AR-SET-001""]",1-D,1,,,,,,,,1120,Demo Harbor Ordinary Deposit,,,,,
1,"[""20220410"",""REF-AF-AR-SET-001""]",2-C,,,,,,,C,12695,,,,,,,
1,"[""20220410"",""REF-AF-AR-SET-001""]",2-C,1,,,,,,,,1200,Demo Accounts Receivable,,,,,
1,"[""20220410"",""REF-AF-AR-SET-001""]",2-C,1,1-auxiliary-account,,,,,,,,,C001,Demo Customer Aurora,auxiliary-account,,
1,"[""20220415"",""REF-AF-AP-SET-001""]",,,,,2022-04-15,REF-AF-AP-SET-001,Reference-after vendor payment,,,,,,,,,
1,"[""20220415"",""REF-AF-AP-SET-001""]",1-D,,,,,,,D,25000,,,,,,,
1,"[""20220415"",""REF-AF-AP-SET-001""]",1-D,1,,,,,,,,2000,Demo Accounts Payable,,,,,
1,"[""20220415"",""REF-AF-AP-SET-001""]",1-D,1,1-auxiliary-account,,,,,,,,,V001,Demo Vendor Keystone,auxiliary-account,,
1,"[""20220415"",""REF-AF-AP-SET-001""]",2-C,,,,,,,C,25000,,,,,,,
1,"[""20220415"",""REF-AF-AP-SET-001""]",2-C,1,,,,,,,,1120,Demo Harbor Ordinary Deposit,,,,,
