C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
2021-06-01,900143,221-C,C,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,163200,Synthetic demo customer receipt 900143
2021-06-01,900143,221-D,D,1120,Demo Harbor Ordinary Deposit,D01,Demo Sales,B003,Harbor Demo Bank,00,0,163200,Synthetic demo customer receipt 900143
2021-06-01,900158,222-C,C,1120,Demo Harbor Ordinary Deposit,D05,Demo Digital Services,B003,Harbor Demo Bank,00,0,119830,Synthetic demo operating expense 900158
2021-06-01,900158,222-D,D,6160,Demo Shipping,D05,Demo Digital Services,V001,Demo Vendor Keystone,Q5,10894,119830,Synthetic demo operating expense 900158
2021-06-01,900170,223-C,C,4020,Demo Other Operating Revenue,D01,Demo Sales,C001,Demo Customer Aurora,B5,39223,431450,Synthetic demo credit sale 900170
2021-06-01,900170,223-D,D,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,431450,Synthetic demo credit sale 900170
2021-06-02,900124,224-C,C,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,100030,Synthetic demo customer receipt 900124
2021-06-02,900124,224-D,D,1110,Demo North Current Deposit,D01,Demo Sales,B002,North Demo Bank,00,0,100030,Synthetic demo customer receipt 900124
2021-06-02,900133,225-C,C,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,211410,Synthetic demo customer receipt 900133
2021-06-02,900133,225-D,D,1110,Demo North Current Deposit,D01,Demo Sales,B002,North Demo Bank,00,0,211410,Synthetic demo customer receipt 900133
2021-06-02,900167,226-C,C,1120,Demo Harbor Ordinary Deposit,D04,Demo Logistics,B003,Harbor Demo Bank,00,0,98770,Synthetic demo vendor settlement 900167
2021-06-02,900167,226-D,D,2000,Demo Accounts Payable,D04,Demo Logistics,V001,Demo Vendor Keystone,00,0,98770,Synthetic demo vendor settlement 900167
2021-06-02,900169,227-C,C,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,153850,Synthetic demo combined customer receipt 900169
2021-06-02,900169,227-D,D,1110,Demo North Current Deposit,D01,Demo Sales,B002,North Demo Bank,00,0,307700,Synthetic demo combined customer receipt 900169
2021-06-02,900169,228-C,C,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,12300,Synthetic demo combined customer receipt 900169
2021-06-02,900169,229-C,C,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,141550,Synthetic demo combined customer receipt 900169
2021-06-03,900154,230-C,C,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,126120,Synthetic demo customer receipt 900154
2021-06-03,900154,230-D,D,1110,Demo North Current Deposit,D01,Demo Sales,B002,North Demo Bank,00,0,126120,Synthetic demo customer receipt 900154
2021-06-04,900128,231-D,D,1120,Demo Harbor Ordinary Deposit,D01,Demo Sales,B003,Harbor Demo Bank,00,0,67510,Synthetic demo mixed sales and receipt 900128
2021-06-04,900128,232-D,D,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,131050,Synthetic demo mixed sales and receipt 900128
2021-06-04,900128,233-C,C,4000,Demo Product Sales,D01,Demo Sales,C010,Demo Customer Juniper,B5,12094,133030,Synthetic demo mixed sales and receipt 900128
2021-06-04,900128,234-C,C,4010,Demo Service Revenue,D01,Demo Sales,C001,Demo Customer Aurora,B5,5957,65530,Synthetic demo mixed sales and receipt 900128
2021-06-05,900146,235-C,C,2000,Demo Accounts Payable,D04,Demo Logistics,V001,Demo Vendor Keystone,00,0,321220,Synthetic demo purchase on account 900146
2021-06-05,900146,235-D,D,5020,Demo Inventory Adjustment,D04,Demo Logistics,V001,Demo Vendor Keystone,Q5,29202,321220,Synthetic demo purchase on account 900146
2021-06-05,900157,236-C,C,1110,Demo North Current Deposit,D03,Demo Operations,B002,North Demo Bank,00,0,314400,Synthetic demo operating cost bundle 900157
2021-06-05,900157,236-D,D,6030,Demo Utilities,D03,Demo Operations,S002,Demo Energy Services,Q5,7716,84880,Synthetic demo operating cost bundle 900157
2021-06-05,900157,237-D,D,6040,Demo Communication,D03,Demo Operations,S003,Demo Network Services,Q5,11433,125760,Synthetic demo operating cost bundle 900157
2021-06-05,900157,238-D,D,6060,Demo Office Supplies,D03,Demo Operations,V008,Demo Vendor Rivulet,Q5,9433,103760,Synthetic demo operating cost bundle 900157
2021-06-06,900129,239-C,C,1100,Demo Central Ordinary Deposit,D05,Demo Digital Services,B001,Demo Central Bank,00,0,35480,Synthetic demo prepaid service 900129
2021-06-06,900129,239-D,D,1400,Demo Prepaid Expenses,D05,Demo Digital Services,S004,Demo Logistics Services,00,0,35480,Synthetic demo prepaid service 900129
2021-06-06,900155,240-C,C,2000,Demo Accounts Payable,D04,Demo Logistics,V001,Demo Vendor Keystone,00,0,308680,Synthetic demo purchase on account 900155
2021-06-06,900155,240-D,D,5020,Demo Inventory Adjustment,D04,Demo Logistics,V006,Demo Vendor Prairie,Q5,28062,308680,Synthetic demo purchase on account 900155
2021-06-07,900140,241-C,C,4020,Demo Other Operating Revenue,D01,Demo Sales,C001,Demo Customer Aurora,B5,42734,470070,Synthetic demo credit sale 900140
2021-06-07,900140,241-D,D,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,470070,Synthetic demo credit sale 900140
2021-06-07,900173,242-C,C,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,70630,Synthetic demo customer receipt 900173
2021-06-07,900173,242-D,D,1120,Demo Harbor Ordinary Deposit,D01,Demo Sales,B003,Harbor Demo Bank,00,0,70630,Synthetic demo customer receipt 900173
2021-06-08,900145,243-C,C,2000,Demo Accounts Payable,D04,Demo Logistics,V001,Demo Vendor Keystone,00,0,295460,Synthetic demo purchase on account 900145
2021-06-08,900145,243-D,D,5010,Demo Freight-in,D04,Demo Logistics,V006,Demo Vendor Prairie,Q5,26860,295460,Synthetic demo purchase on account 900145
2021-06-08,900174,244-D,D,1100,Demo Central Ordinary Deposit,D01,Demo Sales,B001,Demo Central Bank,00,0,113080,Synthetic demo mixed sales and receipt 900174
2021-06-08,900174,245-D,D,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,169640,Synthetic demo mixed sales and receipt 900174
