C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18
1,"[""20210901"",""900308""]",,,,,2021-09-01,900308,Synthetic demo operating expense 900308,,,,,,,,,
1,"[""20210901"",""900308""]",531-C,,,,,,,C,42530,,,,,,,
1,"[""20210901"",""900308""]",531-C,1,,,,,,,,1120,Demo Harbor Ordinary Deposit,,,,,
1,"[""20210901"",""900308""]",531-C,1,1-department,,,,,,,,,D05,Demo Digital Services,department,,
1,"[""20210901"",""900308""]",531-C,1,2-auxiliary-account,,,,,,,,,B003,Harbor Demo Bank,auxiliary-account,,
1,"[""20210901"",""900308""]",531-C,,,1,,,,,,,,,,,00,0
1,"[""20210901"",""900308""]",531-D,,,,,,,D,42530,,,,,,,
1,"[""20210901"",""900308""]",531-D,1,,,,,,,,6040,Demo Communication,,,,,
1,"[""20210901"",""900308""]",531-D,1,1-department,,,,,,,,,D05,Demo Digital Services,department,,
1,"[""20210901"",""900308""]",531-D,1,2-auxiliary-account,,,,,,,,,V001,Demo Vendor Keystone,auxiliary-account,,
1,"[""20210901"",""900308""]",531-D,,,1,,,,,,,,,,,Q5,3866
1,"[""20210901"",""900339""]",,,,,2021-09-01,900339,Synthetic demo prepaid service 900339,,,,,,,,,
1,"[""20210901"",""900339""]",532-C,,,,,,,C,83340,,,,,,,
1,"[""20210901"",""900339""]",532-C,1,,,,,,,,1100,Demo Central Ordinary Deposit,,,,,
1,"[""20210901"",""900339""]",532-C,1,1-department,,,,,,,,,D05,Demo Digital Services,department,,
1,"[""20210901"",""900339""]",532-C,1,2-auxiliary-account,,,,,,,,,B001,Demo Central Bank,auxiliary-account,,
1,"[""20210901"",""900339""]",532-C,,,1,,,,,,,,,,,00,0
1,"[""20210901"",""900339""]",532-D,,,,,,,D,83340,,,,,,,
1,"[""20210901"",""900339""]",532-D,1,,,,,,,,1400,Demo Prepaid Expenses,,,,,
1,"[""20210901"",""900339""]",532-D,1,1-department,,,,,,,,,D05,Demo Digital Services,department,,
1,"[""20210901"",""900339""]",532-D,1,2-auxiliary-account,,,,,,,,,S004,Demo Logistics Services,auxiliary-account,,
1,"[""20210901"",""900339""]",532-D,,,1,,,,,,,,,,,00,0
1,"[""20210902"",""900343""]",,,,,2021-09-02,900343,Synthetic demo customer receipt 900343,,,,,,,,,
1,"[""20210902"",""900343""]",533-C,,,,,,,C,290130,,,,,,,
1,"[""20210902"",""900343""]",533-C,1,,,,,,,,1200,Demo Accounts Receivable,,,,,
1,"[""20210902"",""900343""]",533-C,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20210902"",""900343""]",533-C,1,2-auxiliary-account,,,,,,,,,C001,Demo Customer Aurora,auxiliary-account,,
1,"[""20210902"",""900343""]",533-C,,,1,,,,,,,,,,,00,0
1,"[""20210902"",""900343""]",533-D,,,,,,,D,290130,,,,,,,
1,"[""20210902"",""900343""]",533-D,1,,,,,,,,1110,Demo North Current Deposit,,,,,
1,"[""20210902"",""900343""]",533-D,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20210902"",""900343""]",533-D,1,2-auxiliary-account,,,,,,,,,B002,North Demo Bank,auxiliary-account,,
1,"[""20210902"",""900343""]",533-D,,,1,,,,,,,,,,,00,0
