C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
2021-07-01,900184,321-C,C,1110,Demo North Current Deposit,D03,Demo Operations,B002,North Demo Bank,00,0,559040,Synthetic demo operating cost bundle 900184
2021-07-01,900184,321-D,D,6030,Demo Utilities,D03,Demo Operations,S002,Demo Energy Services,Q6,17392,234790,Synthetic demo operating cost bundle 900184
2021-07-01,900184,322-D,D,6040,Demo Communication,D03,Demo Operations,S003,Demo Network Services,Q5,13722,150940,Synthetic demo operating cost bundle 900184
2021-07-01,900184,323-D,D,6060,Demo Office Supplies,D03,Demo Operations,V005,Demo Vendor Orchid,Q5,15755,173310,Synthetic demo operating cost bundle 900184
2021-07-01,900190,324-C,C,4010,Demo Service Revenue,D01,Demo Sales,C001,Demo Customer Aurora,B5,29274,322010,Synthetic demo credit sale 900190
2021-07-01,900190,324-D,D,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,322010,Synthetic demo credit sale 900190
2021-07-03,900211,325-C,C,4010,Demo Service Revenue,D01,Demo Sales,C004,Demo Customer Dawn,B5,37924,417160,Synthetic demo credit sale 900211
2021-07-03,900211,325-D,D,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,417160,Synthetic demo credit sale 900211
2021-07-03,900226,326-C,C,2000,Demo Accounts Payable,D04,Demo Logistics,V001,Demo Vendor Keystone,00,0,84120,Synthetic demo purchase on account 900226
2021-07-03,900226,326-D,D,5010,Demo Freight-in,D04,Demo Logistics,V001,Demo Vendor Keystone,Q5,7647,84120,Synthetic demo purchase on account 900226
2021-07-04,900235,327-D,D,2000,Demo Accounts Payable,D01,Demo Sales,V001,Demo Vendor Keystone,00,0,135020,Synthetic demo multi-vendor settlement 900235
2021-07-04,900235,328-D,D,2100,Demo Accrued Payables,D01,Demo Sales,V009,Demo Vendor Summit,00,0,124640,Synthetic demo multi-vendor settlement 900235
2021-07-04,900235,329-C,C,1110,Demo North Current Deposit,D01,Demo Sales,B002,North Demo Bank,00,0,163580,Synthetic demo multi-vendor settlement 900235
2021-07-04,900235,330-C,C,1120,Demo Harbor Ordinary Deposit,D01,Demo Sales,B003,Harbor Demo Bank,00,0,96080,Synthetic demo multi-vendor settlement 900235
2021-07-05,900218,331-C,C,1120,Demo Harbor Ordinary Deposit,D05,Demo Digital Services,B003,Harbor Demo Bank,00,0,3900,Synthetic demo operating expense 900218
2021-07-05,900218,331-D,D,6040,Demo Communication,D05,Demo Digital Services,V001,Demo Vendor Keystone,Q5,355,3900,Synthetic demo operating expense 900218
2021-07-06,900188,332-C,C,1120,Demo Harbor Ordinary Deposit,D05,Demo Digital Services,B003,Harbor Demo Bank,00,0,97330,Synthetic demo operating expense 900188
2021-07-06,900188,332-D,D,6100,Demo Repairs,D05,Demo Digital Services,V001,Demo Vendor Keystone,Q5,8848,97330,Synthetic demo operating expense 900188
2021-07-06,900194,333-C,C,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,426780,Synthetic demo customer receipt 900194
2021-07-06,900194,333-D,D,1120,Demo Harbor Ordinary Deposit,D01,Demo Sales,B003,Harbor Demo Bank,00,0,426780,Synthetic demo customer receipt 900194
2021-07-06,900201,334-C,C,4000,Demo Product Sales,D01,Demo Sales,C004,Demo Customer Dawn,B5,41111,452220,Synthetic demo credit sale 900201
2021-07-06,900201,334-D,D,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,452220,Synthetic demo credit sale 900201
2021-07-10,900225,335-C,C,1100,Demo Central Ordinary Deposit,D02,Demo Administration,B001,Demo Central Bank,00,0,531540,Synthetic demo monthly payroll bundle 900225
2021-07-10,900225,335-D,D,6000,Demo Salaries,D02,Demo Administration,,,00,0,164770,Synthetic demo monthly payroll bundle 900225
2021-07-10,900225,336-D,D,6010,Demo Statutory Welfare,D02,Demo Administration,,,00,0,191350,Synthetic demo monthly payroll bundle 900225
2021-07-10,900225,337-D,D,2110,Demo Payroll Withholding,D02,Demo Administration,,,00,0,175420,Synthetic demo monthly payroll bundle 900225
2021-07-10,900231,338-C,C,4000,Demo Product Sales,D01,Demo Sales,C004,Demo Customer Dawn,B5,26585,292430,Synthetic demo credit sale 900231
2021-07-10,900231,338-D,D,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,292430,Synthetic demo credit sale 900231
2021-07-11,900199,339-D,D,2000,Demo Accounts Payable,D01,Demo Sales,V001,Demo Vendor Keystone,00,0,72970,Synthetic demo multi-vendor settlement 900199
2021-07-11,900199,340-D,D,2100,Demo Accrued Payables,D01,Demo Sales,V003,Demo Vendor Mosaic,00,0,311120,Synthetic demo multi-vendor settlement 900199
2021-07-11,900199,341-C,C,1110,Demo North Current Deposit,D01,Demo Sales,B002,North Demo Bank,00,0,238130,Synthetic demo multi-vendor settlement 900199
2021-07-11,900199,342-C,C,1120,Demo Harbor Ordinary Deposit,D01,Demo Sales,B003,Harbor Demo Bank,00,0,145960,Synthetic demo multi-vendor settlement 900199
2021-07-12,900181,343-D,D,2000,Demo Accounts Payable,D01,Demo Sales,V001,Demo Vendor Keystone,00,0,248190,Synthetic demo multi-vendor settlement 900181
2021-07-12,900181,344-D,D,2100,Demo Accrued Payables,D01,Demo Sales,V005,Demo Vendor Orchid,00,0,82730,Synthetic demo multi-vendor settlement 900181
2021-07-12,900181,345-C,C,1110,Demo North Current Deposit,D01,Demo Sales,B002,North Demo Bank,00,0,86030,Synthetic demo multi-vendor settlement 900181
2021-07-12,900181,346-C,C,1120,Demo Harbor Ordinary Deposit,D01,Demo Sales,B003,Harbor Demo Bank,00,0,244890,Synthetic demo multi-vendor settlement 900181
2021-07-12,900192,347-C,C,4000,Demo Product Sales,D01,Demo Sales,C007,Demo Customer Grove,B5,24087,264960,Synthetic demo credit sale 900192
2021-07-12,900192,347-D,D,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,264960,Synthetic demo credit sale 900192
2021-07-13,900186,348-C,C,2000,Demo Accounts Payable,D04,Demo Logistics,V001,Demo Vendor Keystone,00,0,272140,Synthetic demo purchase on account 900186
2021-07-13,900186,348-D,D,5000,Demo Purchases,D04,Demo Logistics,V001,Demo Vendor Keystone,Q5,24740,272140,Synthetic demo purchase on account 900186
2021-07-13,900189,349-C,C,1100,Demo Central Ordinary Deposit,D05,Demo Digital Services,B001,Demo Central Bank,00,0,136230,Synthetic demo prepaid service 900189
2021-07-13,900189,349-D,D,1400,Demo Prepaid Expenses,D05,Demo Digital Services,S004,Demo Logistics Services,00,0,136230,Synthetic demo prepaid service 900189
2021-07-13,900234,350-C,C,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,398450,Synthetic demo customer receipt 900234
2021-07-13,900234,350-D,D,1100,Demo Central Ordinary Deposit,D01,Demo Sales,B001,Demo Central Bank,00,0,398450,Synthetic demo customer receipt 900234
2021-07-14,900212,351-C,C,1120,Demo Harbor Ordinary Deposit,D06,Demo Management,B003,Harbor Demo Bank,00,0,216910,Synthetic demo financing settlement 900212
2021-07-14,900212,351-D,D,2200,Demo Short-term Loans,D06,Demo Management,,,00,0,82420,Synthetic demo financing settlement 900212
2021-07-14,900212,352-D,D,6070,Demo Bank Fees,D06,Demo Management,B003,Harbor Demo Bank,00,0,17350,Synthetic demo financing settlement 900212
2021-07-14,900212,353-D,D,7000,Demo Taxes and Dues,D06,Demo Management,,,P0,0,117140,Synthetic demo financing settlement 900212
2021-07-14,900221,354-C,C,4020,Demo Other Operating Revenue,D01,Demo Sales,C004,Demo Customer Dawn,B5,34832,383150,Synthetic demo credit sale 900221
2021-07-14,900221,354-D,D,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,383150,Synthetic demo credit sale 900221
2021-07-15,900195,355-C,C,2000,Demo Accounts Payable,D04,Demo Logistics,V001,Demo Vendor Keystone,00,0,106450,Synthetic demo purchase on account 900195
2021-07-15,900195,355-D,D,5000,Demo Purchases,D04,Demo Logistics,V006,Demo Vendor Prairie,Q5,9677,106450,Synthetic demo purchase on account 900195
2021-07-15,900200,356-C,C,4020,Demo Other Operating Revenue,D01,Demo Sales,C001,Demo Customer Aurora,B5,24541,269950,Synthetic demo credit sale 900200
2021-07-15,900200,356-D,D,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,269950,Synthetic demo credit sale 900200
2021-07-16,900204,357-D,D,1100,Demo Central Ordinary Deposit,D01,Demo Sales,B001,Demo Central Bank,00,0,144640,Synthetic demo mixed sales and receipt 900204
2021-07-16,900204,358-D,D,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,56250,Synthetic demo mixed sales and receipt 900204
2021-07-16,900204,359-C,C,4000,Demo Product Sales,D01,Demo Sales,C006,Demo Customer Fjord,B5,3469,38160,Synthetic demo mixed sales and receipt 900204
2021-07-16,900204,360-C,C,4010,Demo Service Revenue,D01,Demo Sales,C007,Demo Customer Grove,B5,14794,162730,Synthetic demo mixed sales and receipt 900204
2021-07-16,900228,361-C,C,1100,Demo Central Ordinary Deposit,D02,Demo Administration,B001,Demo Central Bank,00,0,71370,Synthetic demo operating expense 900228
2021-07-16,900228,361-D,D,6140,Demo Vehicle Expense,D02,Demo Administration,V001,Demo Vendor Keystone,Q5,6488,71370,Synthetic demo operating expense 900228
2021-07-17,900182,362-C,C,4020,Demo Other Operating Revenue,D01,Demo Sales,C007,Demo Customer Grove,B5,27581,303390,Synthetic demo credit sale 900182
2021-07-17,900182,362-D,D,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,303390,Synthetic demo credit sale 900182
2021-07-17,900215,363-C,C,2000,Demo Accounts Payable,D04,Demo Logistics,V001,Demo Vendor Keystone,00,0,289860,Synthetic demo purchase on account 900215
2021-07-17,900215,363-D,D,5020,Demo Inventory Adjustment,D04,Demo Logistics,V006,Demo Vendor Prairie,Q5,26351,289860,Synthetic demo purchase on account 900215
2021-07-17,900233,364-C,C,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,368740,Synthetic demo customer receipt 900233
2021-07-17,900233,364-D,D,1120,Demo Harbor Ordinary Deposit,D01,Demo Sales,B003,Harbor Demo Bank,00,0,368740,Synthetic demo customer receipt 900233
2021-07-18,900180,365-C,C,4000,Demo Product Sales,D01,Demo Sales,C001,Demo Customer Aurora,B5,36297,399270,Synthetic demo credit sale 900180
2021-07-18,900180,365-D,D,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,399270,Synthetic demo credit sale 900180
2021-07-18,900193,366-D,D,2000,Demo Accounts Payable,D01,Demo Sales,V001,Demo Vendor Keystone,00,0,228590,Synthetic demo multi-vendor settlement 900193
2021-07-18,900193,367-D,D,2100,Demo Accrued Payables,D01,Demo Sales,V007,Demo Vendor Quartz,00,0,303020,Synthetic demo multi-vendor settlement 900193
2021-07-18,900193,368-C,C,1110,Demo North Current Deposit,D01,Demo Sales,B002,North Demo Bank,00,0,255170,Synthetic demo multi-vendor settlement 900193
2021-07-18,900193,369-C,C,1120,Demo Harbor Ordinary Deposit,D01,Demo Sales,B003,Harbor Demo Bank,00,0,276440,Synthetic demo multi-vendor settlement 900193
2021-07-18,900197,370-C,C,1120,Demo Harbor Ordinary Deposit,D06,Demo Management,B003,Harbor Demo Bank,00,0,573920,Synthetic demo financing settlement 900197
2021-07-18,900197,370-D,D,2200,Demo Short-term Loans,D06,Demo Management,,,00,0,246780,Synthetic demo financing settlement 900197
2021-07-18,900197,371-D,D,6070,Demo Bank Fees,D06,Demo Management,B003,Harbor Demo Bank,00,0,126260,Synthetic demo financing settlement 900197
2021-07-18,900197,372-D,D,7000,Demo Taxes and Dues,D06,Demo Management,,,P0,0,200880,Synthetic demo financing settlement 900197
2021-07-18,900206,373-C,C,1120,Demo Harbor Ordinary Deposit,D06,Demo Management,B003,Harbor Demo Bank,00,0,248100,Synthetic demo financing settlement 900206
2021-07-18,900206,373-D,D,2200,Demo Short-term Loans,D06,Demo Management,,,00,0,181110,Synthetic demo financing settlement 900206
2021-07-18,900206,374-D,D,6070,Demo Bank Fees,D06,Demo Management,B003,Harbor Demo Bank,00,0,7440,Synthetic demo financing settlement 900206
2021-07-18,900206,375-D,D,7000,Demo Taxes and Dues,D06,Demo Management,,,P0,0,59550,Synthetic demo financing settlement 900206
2021-07-19,900209,376-C,C,1120,Demo Harbor Ordinary Deposit,D05,Demo Digital Services,B003,Harbor Demo Bank,00,0,132930,Synthetic demo prepaid service 900209
2021-07-19,900209,376-D,D,1400,Demo Prepaid Expenses,D05,Demo Digital Services,S006,Demo Insurance Services,00,0,132930,Synthetic demo prepaid service 900209
2021-07-19,900210,377-D,D,1100,Demo Central Ordinary Deposit,D01,Demo Sales,B001,Demo Central Bank,00,0,271330,Synthetic demo mixed sales and receipt 900210
2021-07-19,900210,378-D,D,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,240630,Synthetic demo mixed sales and receipt 900210
2021-07-19,900210,379-C,C,4000,Demo Product Sales,D01,Demo Sales,C002,Demo Customer Birch,B5,20478,225260,Synthetic demo mixed sales and receipt 900210
2021-07-19,900210,380-C,C,4010,Demo Service Revenue,D01,Demo Sales,C003,Demo Customer Cobalt,B5,26064,286700,Synthetic demo mixed sales and receipt 900210
2021-07-20,900196,381-C,C,2000,Demo Accounts Payable,D04,Demo Logistics,V001,Demo Vendor Keystone,00,0,263010,Synthetic demo purchase on account 900196
2021-07-20,900196,381-D,D,5010,Demo Freight-in,D04,Demo Logistics,V001,Demo Vendor Keystone,Q5,23910,263010,Synthetic demo purchase on account 900196
2021-07-20,900198,382-C,C,1100,Demo Central Ordinary Deposit,D02,Demo Administration,B001,Demo Central Bank,00,0,126430,Synthetic demo operating expense 900198
2021-07-20,900198,382-D,D,6020,Demo Office Rent,D02,Demo Administration,V001,Demo Vendor Keystone,Q5,11494,126430,Synthetic demo operating expense 900198
2021-07-20,900213,383-C,C,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,170730,Synthetic demo customer receipt 900213
2021-07-20,900213,383-D,D,1100,Demo Central Ordinary Deposit,D01,Demo Sales,B001,Demo Central Bank,00,0,170730,Synthetic demo customer receipt 900213
2021-07-20,900224,384-C,C,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,316120,Synthetic demo customer receipt 900224
2021-07-20,900224,384-D,D,1120,Demo Harbor Ordinary Deposit,D01,Demo Sales,B003,Harbor Demo Bank,00,0,316120,Synthetic demo customer receipt 900224
2021-07-20,900236,385-C,C,2000,Demo Accounts Payable,D04,Demo Logistics,V001,Demo Vendor Keystone,00,0,58120,Synthetic demo purchase on account 900236
2021-07-20,900236,385-D,D,5020,Demo Inventory Adjustment,D04,Demo Logistics,V001,Demo Vendor Keystone,Q5,5284,58120,Synthetic demo purchase on account 900236
2021-07-23,900237,386-C,C,1100,Demo Central Ordinary Deposit,D04,Demo Logistics,B001,Demo Central Bank,00,0,84300,Synthetic demo vendor settlement 900237
2021-07-23,900237,386-D,D,2000,Demo Accounts Payable,D04,Demo Logistics,V001,Demo Vendor Keystone,00,0,84300,Synthetic demo vendor settlement 900237
