C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18
1,"[""20210210"",""REF-BF-AR-001""]",,,,,2021-02-10,REF-BF-AR-001,Reference-before customer invoice,,,,,,,,,
1,"[""20210210"",""REF-BF-AR-001""]",1-D,,,,,,,D,600000,,,,,,,
1,"[""20210210"",""REF-BF-AR-001""]",1-D,1,,,,,,,,1200,Demo Accounts Receivable,,,,,
1,"[""20210210"",""REF-BF-AR-001""]",1-D,1,1-auxiliary-account,,,,,,,,,C001,Demo Customer Aurora,auxiliary-account,,
1,"[""20210210"",""REF-BF-AR-001""]",2-C,,,,,,,C,600000,,,,,,,
1,"[""20210210"",""REF-BF-AR-001""]",2-C,1,,,,,,,,4000,Demo Product Sales,,,,,
1,"[""20210215"",""REF-BF-AP-001""]",,,,,2021-02-15,REF-BF-AP-001,Reference-before vendor invoice,,,,,,,,,
1,"[""20210215"",""REF-BF-AP-001""]",1-D,,,,,,,D,1200000,,,,,,,
1,"[""20210215"",""REF-BF-AP-001""]",1-D,1,,,,,,,,6000,Demo Salaries,,,,,
1,"[""20210215"",""REF-BF-AP-001""]",2-C,,,,,,,C,1200000,,,,,,,
1,"[""20210215"",""REF-BF-AP-001""]",2-C,1,,,,,,,,2000,Demo Accounts Payable,,,,,
1,"[""20210215"",""REF-BF-AP-001""]",2-C,1,1-auxiliary-account,,,,,,,,,V001,Demo Vendor Keystone,auxiliary-account,,
