C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
2021-08-01,900274,426-C,C,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,417370,Synthetic demo customer receipt 900274
2021-08-01,900274,426-D,D,1110,Demo North Current Deposit,D01,Demo Sales,B002,North Demo Bank,00,0,417370,Synthetic demo customer receipt 900274
2021-08-02,900241,427-D,D,2000,Demo Accounts Payable,D01,Demo Sales,V001,Demo Vendor Keystone,00,0,90560,Synthetic demo multi-vendor settlement 900241
2021-08-02,900241,428-D,D,2100,Demo Accrued Payables,D01,Demo Sales,V005,Demo Vendor Orchid,00,0,102140,Synthetic demo multi-vendor settlement 900241
2021-08-02,900241,429-C,C,1110,Demo North Current Deposit,D01,Demo Sales,B002,North Demo Bank,00,0,131030,Synthetic demo multi-vendor settlement 900241
2021-08-02,900241,430-C,C,1120,Demo Harbor Ordinary Deposit,D01,Demo Sales,B003,Harbor Demo Bank,00,0,61670,Synthetic demo multi-vendor settlement 900241
2021-08-02,900250,431-C,C,4010,Demo Service Revenue,D01,Demo Sales,C001,Demo Customer Aurora,B5,33359,366950,Synthetic demo credit sale 900250
2021-08-02,900250,431-D,D,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,366950,Synthetic demo credit sale 900250
2021-08-02,900252,432-C,C,4000,Demo Product Sales,D01,Demo Sales,C007,Demo Customer Grove,B5,53029,583320,Synthetic demo credit sale 900252
2021-08-02,900252,432-D,D,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,583320,Synthetic demo credit sale 900252
2021-08-02,900269,433-C,C,1120,Demo Harbor Ordinary Deposit,D05,Demo Digital Services,B003,Harbor Demo Bank,00,0,192880,Synthetic demo prepaid service 900269
2021-08-02,900269,433-D,D,1400,Demo Prepaid Expenses,D05,Demo Digital Services,S006,Demo Insurance Services,00,0,192880,Synthetic demo prepaid service 900269
2021-08-04,900240,434-C,C,4000,Demo Product Sales,D01,Demo Sales,C001,Demo Customer Aurora,B5,34386,378250,Synthetic demo credit sale 900240
2021-08-04,900240,434-D,D,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,378250,Synthetic demo credit sale 900240
2021-08-04,900257,435-C,C,1120,Demo Harbor Ordinary Deposit,D06,Demo Management,B003,Harbor Demo Bank,00,0,626720,Synthetic demo financing settlement 900257
2021-08-04,900257,435-D,D,2200,Demo Short-term Loans,D06,Demo Management,,,00,0,188010,Synthetic demo financing settlement 900257
2021-08-04,900257,436-D,D,6070,Demo Bank Fees,D06,Demo Management,B003,Harbor Demo Bank,00,0,238150,Synthetic demo financing settlement 900257
2021-08-04,900257,437-D,D,7000,Demo Taxes and Dues,D06,Demo Management,,,P0,0,200560,Synthetic demo financing settlement 900257
2021-08-04,900259,438-C,C,1110,Demo North Current Deposit,D05,Demo Digital Services,B002,North Demo Bank,00,0,139150,Synthetic demo prepaid service 900259
2021-08-04,900259,438-D,D,1400,Demo Prepaid Expenses,D05,Demo Digital Services,S002,Demo Energy Services,00,0,139150,Synthetic demo prepaid service 900259
2021-08-04,900277,439-C,C,1110,Demo North Current Deposit,D04,Demo Logistics,B002,North Demo Bank,00,0,34910,Synthetic demo vendor settlement 900277
2021-08-04,900277,439-D,D,2000,Demo Accounts Payable,D04,Demo Logistics,V001,Demo Vendor Keystone,00,0,34910,Synthetic demo vendor settlement 900277
2021-08-05,900273,440-D,D,2000,Demo Accounts Payable,D01,Demo Sales,V001,Demo Vendor Keystone,00,0,184040,Synthetic demo multi-vendor settlement 900273
2021-08-05,900273,441-D,D,2100,Demo Accrued Payables,D01,Demo Sales,V007,Demo Vendor Quartz,00,0,40400,Synthetic demo multi-vendor settlement 900273
2021-08-05,900273,442-C,C,1100,Demo Central Ordinary Deposit,D01,Demo Sales,B001,Demo Central Bank,00,0,141390,Synthetic demo multi-vendor settlement 900273
2021-08-05,900273,443-C,C,1110,Demo North Current Deposit,D01,Demo Sales,B002,North Demo Bank,00,0,83050,Synthetic demo multi-vendor settlement 900273
2021-08-06,900255,444-C,C,2000,Demo Accounts Payable,D04,Demo Logistics,V001,Demo Vendor Keystone,00,0,149650,Synthetic demo purchase on account 900255
2021-08-06,900255,444-D,D,5000,Demo Purchases,D04,Demo Logistics,V006,Demo Vendor Prairie,Q5,13605,149650,Synthetic demo purchase on account 900255
2021-08-06,900270,445-C,C,1100,Demo Central Ordinary Deposit,D02,Demo Administration,B001,Demo Central Bank,00,0,569590,Synthetic demo monthly payroll bundle 900270
2021-08-06,900270,445-D,D,6000,Demo Salaries,D02,Demo Administration,,,00,0,244920,Synthetic demo monthly payroll bundle 900270
2021-08-06,900270,446-D,D,6010,Demo Statutory Welfare,D02,Demo Administration,,,00,0,11390,Synthetic demo monthly payroll bundle 900270
2021-08-06,900270,447-D,D,2110,Demo Payroll Withholding,D02,Demo Administration,,,00,0,313280,Synthetic demo monthly payroll bundle 900270
2021-08-07,900279,448-C,C,1100,Demo Central Ordinary Deposit,D02,Demo Administration,B001,Demo Central Bank,00,0,700610,Synthetic demo monthly payroll bundle 900279
2021-08-07,900279,448-D,D,6000,Demo Salaries,D02,Demo Administration,,,00,0,112090,Synthetic demo monthly payroll bundle 900279
2021-08-07,900279,449-D,D,6010,Demo Statutory Welfare,D02,Demo Administration,,,00,0,245210,Synthetic demo monthly payroll bundle 900279
2021-08-07,900279,450-D,D,2110,Demo Payroll Withholding,D02,Demo Administration,,,00,0,343310,Synthetic demo monthly payroll bundle 900279
2021-08-08,900245,451-C,C,2000,Demo Accounts Payable,D04,Demo Logistics,V001,Demo Vendor Keystone,00,0,189000,Synthetic demo purchase on account 900245
2021-08-08,900245,451-D,D,5020,Demo Inventory Adjustment,D04,Demo Logistics,V006,Demo Vendor Prairie,Q5,17182,189000,Synthetic demo purchase on account 900245
2021-08-09,900264,452-C,C,1100,Demo Central Ordinary Deposit,D02,Demo Administration,B001,Demo Central Bank,00,0,418120,Synthetic demo monthly payroll bundle 900264
2021-08-09,900264,452-D,D,6000,Demo Salaries,D02,Demo Administration,,,00,0,62710,Synthetic demo monthly payroll bundle 900264
