C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18
1,"[""20210501"",""900065""]",,,,,2021-05-01,900065,Synthetic demo financing settlement 900065,,,,,,,,,
1,"[""20210501"",""900065""]",113-C,,,,,,,C,462890,,,,,,,
1,"[""20210501"",""900065""]",113-C,1,,,,,,,,1120,Demo Harbor Ordinary Deposit,,,,,
1,"[""20210501"",""900065""]",113-C,1,1-department,,,,,,,,,D06,Demo Management,department,,
1,"[""20210501"",""900065""]",113-C,1,2-auxiliary-account,,,,,,,,,B003,Harbor Demo Bank,auxiliary-account,,
1,"[""20210501"",""900065""]",113-C,,,1,,,,,,,,,,,00,0
1,"[""20210501"",""900065""]",113-D,,,,,,,D,78690,,,,,,,
1,"[""20210501"",""900065""]",113-D,1,,,,,,,,2200,Demo Short-term Loans,,,,,
1,"[""20210501"",""900065""]",113-D,1,1-department,,,,,,,,,D06,Demo Management,department,,
1,"[""20210501"",""900065""]",113-D,,,1,,,,,,,,,,,00,0
1,"[""20210501"",""900065""]",114-D,,,,,,,D,78690,,,,,,,
1,"[""20210501"",""900065""]",114-D,1,,,,,,,,6070,Demo Bank Fees,,,,,
1,"[""20210501"",""900065""]",114-D,1,1-department,,,,,,,,,D06,Demo Management,department,,
1,"[""20210501"",""900065""]",114-D,1,2-auxiliary-account,,,,,,,,,B003,Harbor Demo Bank,auxiliary-account,,
1,"[""20210501"",""900065""]",114-D,,,1,,,,,,,,,,,00,0
1,"[""20210501"",""900065""]",115-D,,,,,,,D,305510,,,,,,,
1,"[""20210501"",""900065""]",115-D,1,,,,,,,,7000,Demo Taxes and Dues,,,,,
1,"[""20210501"",""900065""]",115-D,1,1-department,,,,,,,,,D06,Demo Management,department,,
1,"[""20210501"",""900065""]",115-D,,,1,,,,,,,,,,,P0,0
1,"[""20210501"",""900121""]",,,,,2021-05-01,900121,Synthetic demo credit sale 900121,,,,,,,,,
1,"[""20210501"",""900121""]",116-C,,,,,,,C,440700,,,,,,,
1,"[""20210501"",""900121""]",116-C,1,,,,,,,,4010,Demo Service Revenue,,,,,
1,"[""20210501"",""900121""]",116-C,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20210501"",""900121""]",116-C,1,2-auxiliary-account,,,,,,,,,C004,Demo Customer Dawn,auxiliary-account,,
1,"[""20210501"",""900121""]",116-C,,,1,,,,,,,,,,,B5,40064
1,"[""20210501"",""900121""]",116-D,,,,,,,D,440700,,,,,,,
1,"[""20210501"",""900121""]",116-D,1,,,,,,,,1200,Demo Accounts Receivable,,,,,
1,"[""20210501"",""900121""]",116-D,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20210501"",""900121""]",116-D,1,2-auxiliary-account,,,,,,,,,C001,Demo Customer Aurora,auxiliary-account,,
1,"[""20210501"",""900121""]",116-D,,,1,,,,,,,,,,,00,0
1,"[""20210502"",""900119""]",,,,,2021-05-02,900119,Synthetic demo prepaid service 900119,,,,,,,,,
1,"[""20210502"",""900119""]",117-C,,,,,,,C,184270,,,,,,,
1,"[""20210502"",""900119""]",117-C,1,,,,,,,,1120,Demo Harbor Ordinary Deposit,,,,,
