C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18
1,"[""20220101"",""900588""]",,,,,2022-01-01,900588,Synthetic demo operating expense 900588,,,,,,,,,
1,"[""20220101"",""900588""]",955-C,,,,,,,C,161750,,,,,,,
1,"[""20220101"",""900588""]",955-C,1,,,,,,,,1100,Demo Central Ordinary Deposit,,,,,
1,"[""20220101"",""900588""]",955-C,1,1-department,,,,,,,,,D02,Demo Administration,department,,
1,"[""20220101"",""900588""]",955-C,1,2-auxiliary-account,,,,,,,,,B001,Demo Central Bank,auxiliary-account,,
1,"[""20220101"",""900588""]",955-C,,,1,,,,,,,,,,,00,0
1,"[""20220101"",""900588""]",955-D,,,,,,,D,161750,,,,,,,
1,"[""20220101"",""900588""]",955-D,1,,,,,,,,6140,Demo Vehicle Expense,,,,,
1,"[""20220101"",""900588""]",955-D,1,1-department,,,,,,,,,D02,Demo Administration,department,,
1,"[""20220101"",""900588""]",955-D,1,2-auxiliary-account,,,,,,,,,V001,Demo Vendor Keystone,auxiliary-account,,
1,"[""20220101"",""900588""]",955-D,,,1,,,,,,,,,,,Q5,14705
1,"[""20220102"",""900584""]",,,,,2022-01-02,900584,Synthetic demo financing settlement 900584,,,,,,,,,
1,"[""20220102"",""900584""]",956-C,,,,,,,C,746400,,,,,,,
1,"[""20220102"",""900584""]",956-C,1,,,,,,,,1120,Demo Harbor Ordinary Deposit,,,,,
1,"[""20220102"",""900584""]",956-C,1,1-department,,,,,,,,,D06,Demo Management,department,,
1,"[""20220102"",""900584""]",956-C,1,2-auxiliary-account,,,,,,,,,B003,Harbor Demo Bank,auxiliary-account,,
1,"[""20220102"",""900584""]",956-C,,,1,,,,,,,,,,,00,0
1,"[""20220102"",""900584""]",956-D,,,,,,,D,328410,,,,,,,
1,"[""20220102"",""900584""]",956-D,1,,,,,,,,2200,Demo Short-term Loans,,,,,
1,"[""20220102"",""900584""]",956-D,1,1-department,,,,,,,,,D06,Demo Management,department,,
1,"[""20220102"",""900584""]",956-D,,,1,,,,,,,,,,,00,0
1,"[""20220102"",""900584""]",957-D,,,,,,,D,186600,,,,,,,
1,"[""20220102"",""900584""]",957-D,1,,,,,,,,6070,Demo Bank Fees,,,,,
1,"[""20220102"",""900584""]",957-D,1,1-department,,,,,,,,,D06,Demo Management,department,,
1,"[""20220102"",""900584""]",957-D,1,2-auxiliary-account,,,,,,,,,B003,Harbor Demo Bank,auxiliary-account,,
1,"[""20220102"",""900584""]",957-D,,,1,,,,,,,,,,,00,0
1,"[""20220102"",""900584""]",958-D,,,,,,,D,231390,,,,,,,
1,"[""20220102"",""900584""]",958-D,1,,,,,,,,7000,Demo Taxes and Dues,,,,,
1,"[""20220102"",""900584""]",958-D,1,1-department,,,,,,,,,D06,Demo Management,department,,
1,"[""20220102"",""900584""]",958-D,,,1,,,,,,,,,,,P0,0
1,"[""20220103"",""900535""]",,,,,2022-01-03,900535,Synthetic demo purchase on account 900535,,,,,,,,,
1,"[""20220103"",""900535""]",959-C,,,,,,,C,376950,,,,,,,
1,"[""20220103"",""900535""]",959-C,1,,,,,,,,2000,Demo Accounts Payable,,,,,
1,"[""20220103"",""900535""]",959-C,1,1-department,,,,,,,,,D04,Demo Logistics,department,,
1,"[""20220103"",""900535""]",959-C,1,2-auxiliary-account,,,,,,,,,V001,Demo Vendor Keystone,auxiliary-account,,
1,"[""20220103"",""900535""]",959-C,,,1,,,,,,,,,,,00,0
1,"[""20220103"",""900535""]",959-D,,,,,,,D,376950,,,,,,,
1,"[""20220103"",""900535""]",959-D,1,,,,,,,,5010,Demo Freight-in,,,,,
1,"[""20220103"",""900535""]",959-D,1,1-department,,,,,,,,,D04,Demo Logistics,department,,
1,"[""20220103"",""900535""]",959-D,1,2-auxiliary-account,,,,,,,,,V006,Demo Vendor Prairie,auxiliary-account,,
1,"[""20220103"",""900535""]",959-D,,,1,,,,,,,,,,,Q5,34268
1,"[""20220104"",""900534""]",,,,,2022-01-04,900534,Synthetic demo customer receipt 900534,,,,,,,,,
1,"[""20220104"",""900534""]",960-C,,,,,,,C,252020,,,,,,,
1,"[""20220104"",""900534""]",960-C,1,,,,,,,,1200,Demo Accounts Receivable,,,,,
1,"[""20220104"",""900534""]",960-C,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20220104"",""900534""]",960-C,1,2-auxiliary-account,,,,,,,,,C001,Demo Customer Aurora,auxiliary-account,,
1,"[""20220104"",""900534""]",960-C,,,1,,,,,,,,,,,00,0
1,"[""20220104"",""900534""]",960-D,,,,,,,D,252020,,,,,,,
1,"[""20220104"",""900534""]",960-D,1,,,,,,,,1100,Demo Central Ordinary Deposit,,,,,
1,"[""20220104"",""900534""]",960-D,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20220104"",""900534""]",960-D,1,2-auxiliary-account,,,,,,,,,B001,Demo Central Bank,auxiliary-account,,
1,"[""20220104"",""900534""]",960-D,,,1,,,,,,,,,,,00,0
1,"[""20220104"",""900583""]",,,,,2022-01-04,900583,Synthetic demo customer receipt 900583,,,,,,,,,
1,"[""20220104"",""900583""]",961-C,,,,,,,C,181110,,,,,,,
1,"[""20220104"",""900583""]",961-C,1,,,,,,,,1200,Demo Accounts Receivable,,,,,
1,"[""20220104"",""900583""]",961-C,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20220104"",""900583""]",961-C,1,2-auxiliary-account,,,,,,,,,C001,Demo Customer Aurora,auxiliary-account,,
1,"[""20220104"",""900583""]",961-C,,,1,,,,,,,,,,,00,0
1,"[""20220104"",""900583""]",961-D,,,,,,,D,181110,,,,,,,
1,"[""20220104"",""900583""]",961-D,1,,,,,,,,1110,Demo North Current Deposit,,,,,
1,"[""20220104"",""900583""]",961-D,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20220104"",""900583""]",961-D,1,2-auxiliary-account,,,,,,,,,B002,North Demo Bank,auxiliary-account,,
1,"[""20220104"",""900583""]",961-D,,,1,,,,,,,,,,,00,0
1,"[""20220105"",""900573""]",,,,,2022-01-05,900573,Synthetic demo customer receipt 900573,,,,,,,,,
1,"[""20220105"",""900573""]",962-C,,,,,,,C,335470,,,,,,,
1,"[""20220105"",""900573""]",962-C,1,,,,,,,,1200,Demo Accounts Receivable,,,,,
1,"[""20220105"",""900573""]",962-C,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20220105"",""900573""]",962-C,1,2-auxiliary-account,,,,,,,,,C001,Demo Customer Aurora,auxiliary-account,,
1,"[""20220105"",""900573""]",962-C,,,1,,,,,,,,,,,00,0
1,"[""20220105"",""900573""]",962-D,,,,,,,D,335470,,,,,,,
1,"[""20220105"",""900573""]",962-D,1,,,,,,,,1100,Demo Central Ordinary Deposit,,,,,
1,"[""20220105"",""900573""]",962-D,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20220105"",""900573""]",962-D,1,2-auxiliary-account,,,,,,,,,B001,Demo Central Bank,auxiliary-account,,
