C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18
1,"[""20220201"",""900605""]",,,,,2022-02-01,900605,Synthetic demo purchase on account 900605,,,,,,,,,
1,"[""20220201"",""900605""]",1059-C,,,,,,,C,137870,,,,,,,
1,"[""20220201"",""900605""]",1059-C,1,,,,,,,,2000,Demo Accounts Payable,,,,,
1,"[""20220201"",""900605""]",1059-C,1,1-department,,,,,,,,,D04,Demo Logistics,department,,
1,"[""20220201"",""900605""]",1059-C,1,2-auxiliary-account,,,,,,,,,V001,Demo Vendor Keystone,auxiliary-account,,
1,"[""20220201"",""900605""]",1059-C,,,1,,,,,,,,,,,00,0
1,"[""20220201"",""900605""]",1059-D,,,,,,,D,137870,,,,,,,
1,"[""20220201"",""900605""]",1059-D,1,,,,,,,,5020,Demo Inventory Adjustment,,,,,
1,"[""20220201"",""900605""]",1059-D,1,1-department,,,,,,,,,D04,Demo Logistics,department,,
1,"[""20220201"",""900605""]",1059-D,1,2-auxiliary-account,,,,,,,,,V006,Demo Vendor Prairie,auxiliary-account,,
1,"[""20220201"",""900605""]",1059-D,,,1,,,,,,,,,,,Q5,12534
1,"[""20220202"",""900592""]",,,,,2022-02-02,900592,Synthetic demo credit sale 900592,,,,,,,,,
1,"[""20220202"",""900592""]",1060-C,,,,,,,C,439160,,,,,,,
1,"[""20220202"",""900592""]",1060-C,1,,,,,,,,4010,Demo Service Revenue,,,,,
1,"[""20220202"",""900592""]",1060-C,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20220202"",""900592""]",1060-C,1,2-auxiliary-account,,,,,,,,,C007,Demo Customer Grove,auxiliary-account,,
1,"[""20220202"",""900592""]",1060-C,,,1,,,,,,,,,,,R5,32530
1,"[""20220202"",""900592""]",1060-D,,,,,,,D,439160,,,,,,,
1,"[""20220202"",""900592""]",1060-D,1,,,,,,,,1200,Demo Accounts Receivable,,,,,
1,"[""20220202"",""900592""]",1060-D,1,1-department,,,,,,,,,D01,Demo Sales,department,,
