C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18
1,"[""20211001"",""900367""]",,,,,2021-10-01,900367,Synthetic demo multi-vendor settlement 900367,,,,,,,,,
1,"[""20211001"",""900367""]",634-D,,,,,,,D,146200,,,,,,,
1,"[""20211001"",""900367""]",634-D,1,,,,,,,,2000,Demo Accounts Payable,,,,,
1,"[""20211001"",""900367""]",634-D,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20211001"",""900367""]",634-D,1,2-auxiliary-account,,,,,,,,,V001,Demo Vendor Keystone,auxiliary-account,,
1,"[""20211001"",""900367""]",634-D,,,1,,,,,,,,,,,00,0
1,"[""20211001"",""900367""]",635-D,,,,,,,D,341150,,,,,,,
1,"[""20211001"",""900367""]",635-D,1,,,,,,,,2100,Demo Accrued Payables,,,,,
1,"[""20211001"",""900367""]",635-D,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20211001"",""900367""]",635-D,1,2-auxiliary-account,,,,,,,,,V001,Demo Vendor Keystone,auxiliary-account,,
1,"[""20211001"",""900367""]",635-D,,,1,,,,,,,,,,,00,0
1,"[""20211001"",""900367""]",636-C,,,,,,,C,341140,,,,,,,
1,"[""20211001"",""900367""]",636-C,1,,,,,,,,1110,Demo North Current Deposit,,,,,
1,"[""20211001"",""900367""]",636-C,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20211001"",""900367""]",636-C,1,2-auxiliary-account,,,,,,,,,B002,North Demo Bank,auxiliary-account,,
1,"[""20211001"",""900367""]",636-C,,,1,,,,,,,,,,,00,0
1,"[""20211001"",""900367""]",637-C,,,,,,,C,146210,,,,,,,
1,"[""20211001"",""900367""]",637-C,1,,,,,,,,1120,Demo Harbor Ordinary Deposit,,,,,
1,"[""20211001"",""900367""]",637-C,1,1-department,,,,,,,,,D01,Demo Sales,department,,
1,"[""20211001"",""900367""]",637-C,1,2-auxiliary-account,,,,,,,,,B003,Harbor Demo Bank,auxiliary-account,,
1,"[""20211001"",""900367""]",637-C,,,1,,,,,,,,,,,00,0
1,"[""20211001"",""900399""]",,,,,2021-10-01,900399,Synthetic demo prepaid service 900399,,,,,,,,,
1,"[""20211001"",""900399""]",638-C,,,,,,,C,202420,,,,,,,
1,"[""20211001"",""900399""]",638-C,1,,,,,,,,1100,Demo Central Ordinary Deposit,,,,,
1,"[""20211001"",""900399""]",638-C,1,1-department,,,,,,,,,D05,Demo Digital Services,department,,
1,"[""20211001"",""900399""]",638-C,1,2-auxiliary-account,,,,,,,,,B001,Demo Central Bank,auxiliary-account,,
1,"[""20211001"",""900399""]",638-C,,,1,,,,,,,,,,,00,0
1,"[""20211001"",""900399""]",638-D,,,,,,,D,202420,,,,,,,
1,"[""20211001"",""900399""]",638-D,1,,,,,,,,1400,Demo Prepaid Expenses,,,,,
1,"[""20211001"",""900399""]",638-D,1,1-department,,,,,,,,,D05,Demo Digital Services,department,,
1,"[""20211001"",""900399""]",638-D,1,2-auxiliary-account,,,,,,,,,S004,Demo Logistics Services,auxiliary-account,,
1,"[""20211001"",""900399""]",638-D,,,1,,,,,,,,,,,00,0
1,"[""20211002"",""900385""]",,,,,2021-10-02,900385,Synthetic demo purchase on account 900385,,,,,,,,,
1,"[""20211002"",""900385""]",639-C,,,,,,,C,36660,,,,,,,
1,"[""20211002"",""900385""]",639-C,1,,,,,,,,2000,Demo Accounts Payable,,,,,
1,"[""20211002"",""900385""]",639-C,1,1-department,,,,,,,,,D04,Demo Logistics,department,,
1,"[""20211002"",""900385""]",639-C,1,2-auxiliary-account,,,,,,,,,V001,Demo Vendor Keystone,auxiliary-account,,
1,"[""20211002"",""900385""]",639-C,,,1,,,,,,,,,,,00,0
1,"[""20211002"",""900385""]",639-D,,,,,,,D,36660,,,,,,,
1,"[""20211002"",""900385""]",639-D,1,,,,,,,,5010,Demo Freight-in,,,,,
1,"[""20211002"",""900385""]",639-D,1,1-department,,,,,,,,,D04,Demo Logistics,department,,
