C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
2021-12-01,900512,844-D,D,1120,Demo Harbor Ordinary Deposit,D01,Demo Sales,B003,Harbor Demo Bank,00,0,125670,Synthetic demo mixed sales and receipt 900512
2021-12-01,900512,845-D,D,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,223440,Synthetic demo mixed sales and receipt 900512
2021-12-01,900512,846-C,C,4000,Demo Product Sales,D01,Demo Sales,C004,Demo Customer Dawn,B5,12695,139640,Synthetic demo mixed sales and receipt 900512
2021-12-01,900512,847-C,C,4010,Demo Service Revenue,D01,Demo Sales,C005,Demo Customer Elm,B5,19043,209470,Synthetic demo mixed sales and receipt 900512
2021-12-02,900516,848-C,C,2000,Demo Accounts Payable,D04,Demo Logistics,V001,Demo Vendor Keystone,00,0,102160,Synthetic demo purchase on account 900516
2021-12-02,900516,848-D,D,5000,Demo Purchases,D04,Demo Logistics,V001,Demo Vendor Keystone,Q5,9287,102160,Synthetic demo purchase on account 900516
2021-12-03,900471,849-C,C,1100,Demo Central Ordinary Deposit,D02,Demo Administration,B001,Demo Central Bank,00,0,344410,Synthetic demo monthly payroll bundle 900471
2021-12-03,900471,849-D,D,6000,Demo Salaries,D02,Demo Administration,,,00,0,106760,Synthetic demo monthly payroll bundle 900471
2021-12-03,900471,850-D,D,6010,Demo Statutory Welfare,D02,Demo Administration,,,00,0,137760,Synthetic demo monthly payroll bundle 900471
2021-12-03,900471,851-D,D,2110,Demo Payroll Withholding,D02,Demo Administration,,,00,0,99890,Synthetic demo monthly payroll bundle 900471
2021-12-03,900489,852-C,C,1100,Demo Central Ordinary Deposit,D05,Demo Digital Services,B001,Demo Central Bank,00,0,237020,Synthetic demo prepaid service 900489
2021-12-03,900489,852-D,D,1400,Demo Prepaid Expenses,D05,Demo Digital Services,S004,Demo Logistics Services,00,0,237020,Synthetic demo prepaid service 900489
2021-12-03,900492,853-C,C,4000,Demo Product Sales,D01,Demo Sales,C007,Demo Customer Grove,B5,51493,566420,Synthetic demo credit sale 900492
2021-12-03,900492,853-D,D,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,566420,Synthetic demo credit sale 900492
2021-12-03,900496,854-C,C,2000,Demo Accounts Payable,D04,Demo Logistics,V001,Demo Vendor Keystone,00,0,387010,Synthetic demo purchase on account 900496
