C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
2021-04-02,900050,1-C,C,4020,Demo Other Operating Revenue,D01,Demo Sales,C001,Demo Customer Aurora,B5,38820,427020,Synthetic demo credit sale 900050
2021-04-02,900050,1-D,D,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,427020,Synthetic demo credit sale 900050
2021-04-03,900001,2-C,C,4010,Demo Service Revenue,D01,Demo Sales,C004,Demo Customer Dawn,B5,32301,355310,Synthetic demo credit sale 900001
2021-04-03,900001,2-D,D,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,355310,Synthetic demo credit sale 900001
2021-04-03,900012,3-C,C,4000,Demo Product Sales,D01,Demo Sales,C007,Demo Customer Grove,B5,50514,555650,Synthetic demo credit sale 900012
2021-04-03,900012,3-D,D,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,555650,Synthetic demo credit sale 900012
2021-04-04,900017,4-C,C,1120,Demo Harbor Ordinary Deposit,D04,Demo Logistics,B003,Harbor Demo Bank,00,0,336970,Synthetic demo vendor settlement 900017
2021-04-04,900017,4-D,D,2000,Demo Accounts Payable,D04,Demo Logistics,V001,Demo Vendor Keystone,00,0,336970,Synthetic demo vendor settlement 900017
2021-04-06,900006,5-C,C,2000,Demo Accounts Payable,D04,Demo Logistics,V001,Demo Vendor Keystone,00,0,367850,Synthetic demo purchase on account 900006
2021-04-06,900006,5-D,D,5000,Demo Purchases,D04,Demo Logistics,V001,Demo Vendor Keystone,Q5,33441,367850,Synthetic demo purchase on account 900006
2021-04-06,900010,6-C,C,4010,Demo Service Revenue,D01,Demo Sales,C001,Demo Customer Aurora,B5,20770,228470,Synthetic demo credit sale 900010
2021-04-06,900010,6-D,D,1200,Demo Accounts Receivable,D01,Demo Sales,C001,Demo Customer Aurora,00,0,228470,Synthetic demo credit sale 900010
2021-04-06,900024,7-C,C,1100,Demo Central Ordinary Deposit,D02,Demo Administration,B001,Demo Central Bank,00,0,686450,Synthetic demo monthly payroll bundle 900024
2021-04-06,900024,7-D,D,6000,Demo Salaries,D02,Demo Administration,,,00,0,260850,Synthetic demo monthly payroll bundle 900024
2021-04-06,900024,8-D,D,6010,Demo Statutory Welfare,D02,Demo Administration,,,00,0,253980,Synthetic demo monthly payroll bundle 900024
2021-04-06,900024,9-D,D,2110,Demo Payroll Withholding,D02,Demo Administration,,,00,0,171620,Synthetic demo monthly payroll bundle 900024
2021-04-06,900027,10-C,C,1100,Demo Central Ordinary Deposit,D04,Demo Logistics,B001,Demo Central Bank,00,0,110390,Synthetic demo vendor settlement 900027
2021-04-06,900027,10-D,D,2000,Demo Accounts Payable,D04,Demo Logistics,V001,Demo Vendor Keystone,00,0,110390,Synthetic demo vendor settlement 900027
2021-04-07,900045,11-C,C,2000,Demo Accounts Payable,D04,Demo Logistics,V001,Demo Vendor Keystone,00,0,95580,Synthetic demo purchase on account 900045
2021-04-07,900045,11-D,D,5000,Demo Purchases,D04,Demo Logistics,V006,Demo Vendor Prairie,Q5,8689,95580,Synthetic demo purchase on account 900045
