Open_Item_ID,Ledger_Type,Invoice_Document_ID,Invoice_Document_Number,Partner_Type,Partner_Code,Recognition_Date,Due_Date,Original_Amount,Applied_Amount,Open_Amount,Currency,Recognition_Basis,Journal_Transaction_ID,Journal_Line_ID,Status
OI-202102-REF-BF-AR-001-1-AR,AR,DOC-INV-202102-REF-BF-AR-001-1-AR,INV-202102-REF-BF-AR-001-1-AR,C,C001,2021-02-10,2021-03-28,600000,600000,0,JPY,control-account posting,RB001,1,SETTLED
OI-202102-REF-BF-AP-001-2-AP,AP,DOC-INV-202102-REF-BF-AP-001-2-AP,INV-202102-REF-BF-AP-001-2-AP,S,V001,2021-02-15,2021-03-28,1200000,1200000,0,JPY,control-account posting,RB002,2,SETTLED
OI-202103-REF-BF-AR-002-1-AR,AR,DOC-INV-202103-REF-BF-AR-002-1-AR,INV-202103-REF-BF-AR-002-1-AR,C,C001,2021-03-15,2021-04-28,1000000,1000000,0,JPY,control-account posting,RB005,1,SETTLED
OI-202103-REF-BF-AP-002-2-AP,AP,DOC-INV-202103-REF-BF-AP-002-2-AP,INV-202103-REF-BF-AP-002-2-AP,S,V001,2021-03-20,2021-04-28,2423720,2423720,0,JPY,control-account posting,RB006,2,SETTLED
OI-202104-900050-2-AR,AR,DOC-INV-202104-900050-2-AR,INV-202104-900050-2-AR,C,C001,2021-04-02,2021-05-28,427020,427020,0,JPY,control-account posting,1,2,SETTLED
OI-202104-900001-2-AR,AR,DOC-INV-202104-900001-2-AR,INV-202104-900001-2-AR,C,C001,2021-04-03,2021-05-28,355310,355310,0,JPY,control-account posting,2,2,SETTLED
OI-202104-900012-2-AR,AR,DOC-INV-202104-900012-2-AR,INV-202104-900012-2-AR,C,C001,2021-04-03,2021-05-28,555650,555650,0,JPY,control-account posting,3,2,SETTLED
OI-202104-900006-1-AP,AP,DOC-INV-202104-900006-1-AP,INV-202104-900006-1-AP,S,V001,2021-04-06,2021-05-28,367850,367850,0,JPY,control-account posting,5,1,SETTLED
OI-202104-900010-2-AR,AR,DOC-INV-202104-900010-2-AR,INV-202104-900010-2-AR,C,C001,2021-04-06,2021-05-28,228470,228470,0,JPY,control-account posting,6,2,SETTLED
OI-202104-900056-1-AP,AP,DOC-INV-202104-900056-1-AP,INV-202104-900056-1-AP,S,V001,2021-04-07,2021-05-28,222250,222250,0,JPY,control-account posting,10,1,SETTLED
OI-202104-900045-1-AP,AP,DOC-INV-202104-900045-1-AP,INV-202104-900045-1-AP,S,V001,2021-04-07,2021-05-28,95580,95580,0,JPY,control-account posting,9,1,SETTLED
OI-202104-900020-2-AR,AR,DOC-INV-202104-900020-2-AR,INV-202104-900020-2-AR,C,C001,2021-04-08,2021-05-28,65230,65230,0,JPY,control-account posting,11,2,SETTLED
OI-202104-900028-2-AR,AR,DOC-INV-202104-900028-2-AR,INV-202104-900028-2-AR,C,C001,2021-04-08,2021-05-28,290830,290830,0,JPY,control-account posting,12,2,SETTLED
OI-202104-900035-1-AP,AP,DOC-INV-202104-900035-1-AP,INV-202104-900035-1-AP,S,V001,2021-04-11,2021-05-28,181350,181350,0,JPY,control-account posting,15,1,SETTLED
OI-202104-900060-2-AR,AR,DOC-INV-202104-900060-2-AR,INV-202104-900060-2-AR,C,C001,2021-04-12,2021-05-28,227480,227480,0,JPY,control-account posting,18,2,SETTLED
OI-202104-900026-1-AP,AP,DOC-INV-202104-900026-1-AP,INV-202104-900026-1-AP,S,V001,2021-04-14,2021-05-28,78360,78360,0,JPY,control-account posting,19,1,SETTLED
OI-202104-900031-2-AR,AR,DOC-INV-202104-900031-2-AR,INV-202104-900031-2-AR,C,C001,2021-04-15,2021-05-28,372520,372520,0,JPY,control-account posting,21,2,SETTLED
OI-202104-900034-2-AR,AR,DOC-INV-202104-900034-2-AR,INV-202104-900034-2-AR,C,C001,2021-04-16,2021-05-28,280970,280970,0,JPY,control-account posting,26,2,SETTLED
OI-202104-900051-2-AR,AR,DOC-INV-202104-900051-2-AR,INV-202104-900051-2-AR,C,C001,2021-04-17,2021-05-28,496230,496230,0,JPY,control-account posting,30,2,SETTLED
