Account_Code,Account_Name,Beginning_Balance
10A100020,Ordinary Deposits,97003047
10A100040,Allowance for Doubtful Accounts,1758018
10A100060,Notes Receivable,59534189
10A100090,Accounts Receivable,98170353
10A100200,Electronically Recorded Monetary Claims,0
10A100230,Securities,1271350
10A100280,Merchandise,63013226
10A100610,Short-term Loans Receivable,480000
10A100800,Guarantee Deposits,1200000
10A100850,Temporary Consumption Tax Paid,2762581
10A210130,Structures,3280000
10A210410,"Tools, Furniture and Fixtures",4779810
10A220190,Telephone Subscription Rights,512000
10A230570,Insurance Reserve Deposits,1528000
10A230650,Security Deposits,3140000
10B100030,Notes Payable,52251735
10B100040,Accounts Payable,64051101
10B100320,Provision for Bonuses,2021000
10B100630,Accounts Payable Other,7584692
10B100640,Accrued Corporate Taxes,2864378
10B100660,Accrued Consumption Taxes,4947100
10B100670,Accrued Enterprise Taxes,1862000
10B100690,Deposits Received,2309575
10B100790,Short-term Borrowings,7842000
10B100890,Temporary Consumption Tax Received,6540636
10B200080,Long-term Borrowings,37343150
10B200120,Provision for Retirement Benefits,18560000
10B200130,Provision for Directors' Retirement Benefits,22000000
10C110010,Capital Stock,10000000
10C120020,Capital Reserve,0
10C130020,Legal Retained Earnings,7200000
10C130360,General Reserve,4830000
10C130370,Retained Earnings Brought Forward,82709171
10D100100,Gross Sales,0
10D100110,Sales Discounts and Returns,0
10E100100,Beginning Merchandise Inventory,0
10E100120,Purchase Discounts and Returns,0
10E100130,Merchandise Purchases,0
10E100140,Ending Merchandise Inventory,0
10E200020,Sales Commissions,0
10E200050,Advertising Expenses,0
10E200090,Directors' Compensation,0
10E200130,Bonuses,0
10E200140,Employee Welfare Expenses,0
10E200150,Entertainment Expenses,0
10E200180,Communication Expenses,0
10E200200,Supplies Expenses,0
10E200210,Taxes and Dues,0
10E200220,Depreciation Expenses,0
10E200240,Insurance Expenses,0
10E200370,Salaries and Allowances,0
10E200520,Temporary Wages,0
10E200540,Statutory Welfare Expenses,0
10E200600,Professional Fees,0
10E200690,Service Fees,0
10E200720,Rent Expenses,0
10E200730,Land and Building Rent,0
10E200870,Freight Expenses,0
10E201000,Repairs and Maintenance,0
10E201040,Utilities Expenses,0
10E201110,Office Supplies Expenses,0
10E201120,Vehicle Expenses,0
10E201130,Meeting Expenses,0
10E201140,Membership Fees,0
10E201160,Books and Publications,0
10E201230,Travel and Transportation Expenses,0
10E201270,Miscellaneous Expenses,0
10E300020,Interest Expense,0
10F100070,"Corporate, Inhabitant and Enterprise Taxes",0
