Document_ID,Document_Number,Document_Type,Partner_Type,Partner_Code,Document_Month,Transaction_ID,Line_ID,Line_Number,Item_Code,Item_Description,Quantity,Unit,Unit_Price,Net_Amount,Tax_Category,Tax_Rate,Tax_Amount,Gross_Amount,Tax_Rounding,Amount_Basis
DOC-20210228-0001,,Sales invoice,C,1,2021-02,4000,1,1,AR-DEMO-01,Household goods (demo line),1,lot,1742666,1584242,Standard 10%,10,158424,1742666,floor,document-rate-total-tax-floor-reference-demo
DOC-20210228-0001,,Sales invoice,C,1,2021-02,4000,1,2,AR-DEMO-02,Daily consumables (demo line),1,lot,980250,907639,Reduced 8%,8,72611,980250,floor,document-rate-total-tax-floor-reference-demo
DOC-20210228-0001,,Sales invoice,C,1,2021-02,4000,1,3,AR-DEMO-03,General merchandise (demo line),1,lot,544583,495076,Standard 10%,10,49507,544583,floor,document-rate-total-tax-floor-reference-demo
DOC-20210228-0002,,Sales invoice,C,1,2021-02,4001,1,1,AR-DEMO-01,Household goods (demo line),1,lot,1061,965,Standard 10%,10,96,1061,floor,document-rate-total-tax-floor-reference-demo
DOC-20210228-0002,,Sales invoice,C,1,2021-02,4001,1,2,AR-DEMO-02,Daily consumables (demo line),1,lot,570,528,Reduced 8%,8,42,570,floor,document-rate-total-tax-floor-reference-demo
DOC-20210228-0002,,Sales invoice,C,1,2021-02,4001,1,3,AR-DEMO-03,General merchandise (demo line),1,lot,354,322,Standard 10%,10,32,354,floor,document-rate-total-tax-floor-reference-demo
DOC-20210328-0001,,Sales invoice,C,1,2021-03,4002,1,1,AR-DEMO-01,Household goods (demo line),1,lot,1936665,1760605,Standard 10%,10,176060,1936665,floor,document-rate-total-tax-floor-reference-demo
DOC-20210328-0001,,Sales invoice,C,1,2021-03,4002,1,2,AR-DEMO-02,Daily consumables (demo line),1,lot,1556927,1441600,Reduced 8%,8,115327,1556927,floor,document-rate-total-tax-floor-reference-demo
DOC-20210328-0001,,Sales invoice,C,1,2021-03,4002,1,3,AR-DEMO-03,General merchandise (demo line),1,lot,949346,863042,Standard 10%,10,86304,949346,floor,document-rate-total-tax-floor-reference-demo
DOC-20210328-0002,,Sales invoice,C,1,2021-03,4003,1,1,AR-DEMO-01,Household goods (demo line),1,lot,1031,938,Standard 10%,10,93,1031,floor,document-rate-total-tax-floor-reference-demo
DOC-20210328-0002,,Sales invoice,C,1,2021-03,4003,1,2,AR-DEMO-02,Daily consumables (demo line),1,lot,534,495,Reduced 8%,8,39,534,floor,document-rate-total-tax-floor-reference-demo
