scope,partner_type,partner_code,invoice_month,invoice_transaction_id,invoice_line_id,invoice_document_date,invoice_document_id,invoice_document_number,settlement_month,settlement_transaction_id,settlement_line_id,settlement_document_date,settlement_document_id,settlement_document_number,amount,relationship
reference-to-reporting,C,1,2021-02,4000,1,2021-02-28,DOC-20210228-0001,,2021-04,80,1,2021-04-15,DOC-20210415-0001,,3267499,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,1,2021-02,4001,1,2021-02-28,DOC-20210228-0002,,2021-04,80,2,2021-04-15,DOC-20210415-0002,,1985,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,1,2021-03,4002,1,2021-03-28,DOC-20210328-0001,,2021-05,322,1,2021-05-15,DOC-20210515-0003,,4442938,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,1,2021-03,4003,1,2021-03-28,DOC-20210328-0002,,2021-05,322,2,2021-05-15,DOC-20210515-0004,,1985,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,1,2021-03,4004,1,2021-03-28,DOC-20210328-0003,,2021-05,456,6,2021-05-31,DOC-20210531-0064,,58972,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,2,2021-02,4005,1,2021-02-28,DOC-20210228-0003,,2021-04,168,1,2021-04-25,DOC-20210425-0001,,13483517,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,2,2021-03,4006,1,2021-03-28,DOC-20210328-0004,,2021-05,399,1,2021-05-25,DOC-20210525-0001,,9248822,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,2,2021-03,4007,1,2021-03-28,DOC-20210328-0005,,2021-05,453,11,2021-05-31,DOC-20210531-0056,,17519,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,3,2021-02,4008,1,2021-02-28,DOC-20210228-0004,,2021-04,3000,1,2021-04-30,DOC-20210430-0079,,1585979,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,3,2021-03,4009,1,2021-03-28,DOC-20210328-0006,,2021-05,3001,1,2021-05-31,DOC-20210531-0088,,1585978,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,4,2021-02,4010,1,2021-02-28,DOC-20210228-0005,,2021-04,224,1,2021-04-30,DOC-20210430-0058,,2226774,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,4,2021-02,4011,1,2021-02-28,DOC-20210228-0006,,2021-04,224,2,2021-04-30,DOC-20210430-0059,,651,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,4,2021-03,4012,1,2021-03-28,DOC-20210328-0007,,2021-05,457,1,2021-05-31,DOC-20210531-0065,,975963,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,4,2021-03,4013,1,2021-03-28,DOC-20210328-0008,,2021-05,457,2,2021-05-31,DOC-20210531-0066,,651,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,5,2021-02,4014,1,2021-02-28,DOC-20210228-0007,,2021-04,225,1,2021-04-30,DOC-20210430-0060,,2999742,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,5,2021-02,4015,1,2021-02-28,DOC-20210228-0008,,2021-04,225,2,2021-04-30,DOC-20210430-0061,,628,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,5,2021-03,4016,1,2021-03-28,DOC-20210328-0009,,2021-05,452,5,2021-05-31,DOC-20210531-0054,,30487,generated-prior-invoice-to-reporting-settlement
reference-to-reporting,C,5,2021-03,4017,1,2021-03-28,DOC-20210328-0010,,2021-05,458,1,2021-05-31,DOC-20210531-0067,,1204807,generated-prior-invoice-to-reporting-settlement
