JP07a,JP08a,BS04fb,JP05a,BS04fc,JP05b,JP07a_GL03_01,JP07a_GL03_03,GL05c_01,GE23c_01,GE09eR_01,JP08a_GL04_03,JP06e_GE24_01,JP06e_GE24_02,JP05a_01,JP05a_02,JP05a_03,GE05ku_01,GE05kw_01,JP02j_BS09_01,JP02j_BS09_02,JP06f_GE24_01,JP06f_GE24_02,JP05b_01,JP05b_02,JP05b_03,GE05kz_01,GE05kB_01,JP02k_BS09_01,JP02k_BS09_02,BS04fb_01,BS04fb_02,BS04fb_03,BS04fc_01,BS04fc_02,BS04fc_03,Data_Scope,Document_ID,Document_Type,Document_Number,Related_Document_ID,Related_Document_Type,Related_Document_Number,Settlement_Scheduled_Month
247,,,,,,18,2021-05-01,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,1.0,,,,,,,,,,Travel Expenses,10E201230,Travel and transportation expenses,,,,24800,2254,S10,Standard 10%,10A100020,Cash and deposits,,,,24800,0,O,Exempt,,,,,,,,,,,,,,
247,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,Sapporo Sales Office,department,,,,,,,,,,,
247,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
248,,,,,,148,2021-05-01,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,1.0,,,,,,,,,,Uniform Cost,10E200140,Welfare expenses,,,,53500,4863,S10,Standard 10%,10B100630,Accounts payable - other,,,,53500,0,O,Exempt,,,,,,,,,,,,,,
248,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,Sapporo Sales Office,department,,,,,,,,,,,
248,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
249,,,,,,122,2021-05-02,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,1.0,,,,,,,,,,Certificate issuance fee,10E200180,Communication expenses,,,,1050,95,S10,Standard 10%,10A100020,Cash and deposits,,,,1050,0,O,Exempt,,,,,,,,,,,,,,
249,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,,,,,,,,,
249,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
250,,,,,,124,2021-05-02,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,1.0,,,,,,,,,,Revenue Stamp,10E200210,Taxes and dues,,,,6000,0,O,Exempt,10A100020,Cash and deposits,,,,6000,0,O,Exempt,,,,,,,,,,,,,,
250,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,Sapporo Sales Office,department,,,,,,,,,,,
250,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
251,,,,,,149,2021-05-02,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,1.0,,,,,,,,,,Uniform Cost,10E200140,Welfare expenses,,,,70325,6393,S10,Standard 10%,10B100630,Accounts payable - other,,,,70325,0,O,Exempt,,,,,,,,,,,,,,
251,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,030,Nagoya Branch,department,,,,,,,,,,,
251,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
252,,,,,,10,2021-05-03,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,1.0,,,,,,,,,,Gasoline Cost,10E201120,Vehicle expenses,,,,3642,331,S10,Standard 10%,10A100020,Cash and deposits,,,,3642,0,O,Exempt,,,,,,,,,,,,,,
252,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,Sapporo Sales Office,department,,,,,,,,,,,
252,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
253,,,,,,19,2021-05-03,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,1.0,,,,,,,,,,Travel Expenses,10E201230,Travel and transportation expenses,,,,15000,1363,S10,Standard 10%,10A100020,Cash and deposits,,,,15000,0,O,Exempt,,,,,,,,,,,,,,
253,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,Sapporo Sales Office,department,,,,,,,,,,,
253,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
254,,,,,,56,2021-05-05,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,1.0,,,,,,,,,,Travel Expenses,10E201230,Travel and transportation expenses,,,,41500,3772,S10,Standard 10%,10A100020,Cash and deposits,,,,41500,0,O,Exempt,,,,,,,,,,,,,,
254,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,,,,,,,,,
254,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
255,,,,,,80,2021-05-05,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,1.0,,,,,,,,,,Taxi Fare,10E201230,Travel and transportation expenses,,,,9500,863,S10,Standard 10%,10A100020,Cash and deposits,,,,9500,0,O,Exempt,,,,,,,,,,,,,,
255,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,030,Nagoya Branch,department,,,,,,,,,,,
255,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
256,,,,,,89,2021-05-05,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,1.0,,,,,,,,,,"May 5th Slip No. 207 Watanabe Industries Co., Ltd.",10A100020,Cash and deposits,,,,879279,0,O,Exempt,10A100090,Accounts receivable - trade,,,,879279,0,O,Exempt,,,,,,,reporting,DOC-20210505-0001,Receipt,,DOC-20210328-0036,Sales invoice,,
256,1.0,,1.0,,,,,,,,,,,50,Fukuoka Kitakyushu,sub-account,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,1.0,,,,1.0,,,,,,,,,,,,,,,,,,22,"Watanabe Industries Co., Ltd.",sub-account,,,,,,,,,,,,,,,,,,
256,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,,,,
256,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
256,2.0,,,,,,,,,,"May 5th Slip No. 207 Watanabe Industries Co., Ltd.",10E200690,Commission expenses,,,,380,42,S10,Standard 10%,10A100090,Accounts receivable - trade,,,,380,0,O,Exempt,,,,,,,reporting,DOC-20210505-0002,Receipt,,DOC-20210328-0037,Sales invoice,,
256,2.0,,,,1.0,,,,,,,,,,,,,,,,,,22,"Watanabe Industries Co., Ltd.",sub-account,,,,,,,,,,,,,,,,,,
256,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,Kyushu Sales Office,department,,,,,,,,,,,
256,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
257,,,,,,90,2021-05-05,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,1.0,,,,,,,,,,"May 5th Slip No. 208 Sasaki Sales Co., Ltd.",10A100020,Cash and deposits,,,,2111325,0,O,Exempt,10A100090,Accounts receivable - trade,,,,2111325,0,O,Exempt,,,,,,,reporting,DOC-20210505-0003,Receipt,,DOC-20210328-0043,Sales invoice,,
257,1.0,,1.0,,,,,,,,,,,20,Mizuho Main Branch,sub-account,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,1.0,,,,1.0,,,,,,,,,,,,,,,,,,26,"Sasaki Sales Co., Ltd.",sub-account,,,,,,,,,,,,,,,,,,
257,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,,,,
257,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
