JP07a,JP08a,BS04fb,JP05a,BS04fc,JP05b,JP07a_GL03_01,JP07a_GL03_03,GL05c_01,GE23c_01,GE09eR_01,JP08a_GL04_03,JP06e_GE24_01,JP06e_GE24_02,JP05a_01,JP05a_02,JP05a_03,GE05ku_01,GE05kw_01,JP02j_BS09_01,JP02j_BS09_02,JP06f_GE24_01,JP06f_GE24_02,JP05b_01,JP05b_02,JP05b_03,GE05kz_01,GE05kB_01,JP02k_BS09_01,JP02k_BS09_02,BS04fb_01,BS04fb_02,BS04fb_03,BS04fc_01,BS04fc_02,BS04fc_03,Data_Scope,Document_ID,Document_Type,Document_Number,Related_Document_ID,Related_Document_Type,Related_Document_Number,Settlement_Scheduled_Month
2360,,,,,,67,2022-02-01,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2360,1.0,,,,,,,,,,Tissue and other,10E201270,Miscellaneous expenses,,,,1029,93,S10,Standard 10%,10A100020,Cash and deposits,,,,1029,0,O,Exempt,,,,,,,,,,,,,,
2360,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,,,,,,,,,
2360,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
2361,,,,,,18,2022-02-02,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2361,1.0,,,,,,,,,,Travel Expenses,10E201230,Travel and transportation expenses,,,,14500,1318,S10,Standard 10%,10A100020,Cash and deposits,,,,14500,0,O,Exempt,,,,,,,,,,,,,,
2361,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,Sapporo Sales Office,department,,,,,,,,,,,
2361,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
2362,,,,,,94,2022-02-02,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2362,1.0,,,,,,,,,,"Kitchen supplies, etc.",10E201270,Miscellaneous expenses,,,,1012,92,S10,Standard 10%,10A100020,Cash and deposits,,,,1012,0,O,Exempt,,,,,,,,,,,,,,
2362,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,030,Nagoya Branch,department,,,,,,,,,,,
2362,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
2363,,,,,,102,2022-02-02,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2363,1.0,,,,,,,,,,Golf prize Dai Abe Shoten,10E200150,Entertainment expenses,,,,5250,477,S10,Standard 10%,10A100020,Cash and deposits,,,,5250,0,O,Exempt,,,,,,,,,,,,,,
2363,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,,,,,,,,,
2363,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
2364,,,,,,150,2022-02-02,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2364,1.0,,,,,,,,,,Food and Beverage Cost Izakaya Kayu 4 People,10E200150,Entertainment expenses,,,,14172,1288,S10,Standard 10%,10A100020,Cash and deposits,,,,29639,0,O,Exempt,,,,,,,,,,,,,,
2364,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,Kyushu Sales Office,department,,,,,,,,,,,
2364,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
2364,2.0,,,,,,,,,,Food and Beverage Cost Bar Satsuma 4 People,10E200150,Entertainment expenses,,,,15467,1406,S10,Standard 10%,,,,,,,,,,,,,,,,,,,,,,,
2364,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,Kyushu Sales Office,department,,,,,,,,,,,
2365,,,,,,41,2022-02-03,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2365,1.0,,,,,,,,,,Condolence Money,10E200150,Entertainment expenses,,,,10000,909,S10,Standard 10%,10A100020,Cash and deposits,,,,10000,0,O,Exempt,,,,,,,,,,,,,,
2365,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,,,,,,,,,
2365,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
2366,,,,,,134,2022-02-03,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2366,1.0,,,,,,,,,,Paper,10E201110,Office supplies expenses,,,,10500,954,S10,Standard 10%,10B100630,Accounts payable - other,,,,10500,0,O,Exempt,,,,,,,,,,,,,,
2366,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,Kyushu Sales Office,department,,,,,,,,,,,
2366,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
2367,,,,,,19,2022-02-04,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2367,1.0,,,,,,,,,,Travel Expenses,10E201230,Travel and transportation expenses,,,,8500,772,S10,Standard 10%,10A100020,Cash and deposits,,,,8500,0,O,Exempt,,,,,,,,,,,,,,
2367,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,Sapporo Sales Office,department,,,,,,,,,,,
2367,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,,,,,,
2368,,,,,,147,2022-02-04,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2368,1.0,,,,,,,,,,Gasoline Cost,10E201120,Vehicle expenses,,,,6693,608,S10,Standard 10%,10B100630,Accounts payable - other,,,,6693,0,O,Exempt,,,,,,,,,,,,,,
