Month,Ledger_Account_Number,Ledger_Account_Name,Beginning_Balance,Debit_Amount,Credit_Amount,Ending_Balance,eTax_Category
2021-07,10A100020,Ordinary Deposits,93383927,96722666,110462050,79644543,Current Assets
2021-07,10A100040,Allowance for Doubtful Accounts,1758018,0,0,1758018,Current Assets
2021-07,10A100060,Notes Receivable,63439984,29775949,35100226,58115707,Current Assets
2021-07,10A100090,Accounts Receivable,57831691,63234494,58144651,62921534,Current Assets
2021-07,10A100200,Electronically Recorded Monetary Claims,0,0,0,0,Current Assets
2021-07,10A100230,Securities,1271350,0,0,1271350,Current Assets
2021-07,10A100280,Merchandise,63013226,0,0,63013226,Current Assets
2021-07,10A100610,Short-term Loans Receivable,360000,0,40000,320000,Current Assets
2021-07,10A100800,Guarantee Deposits,1200000,0,0,1200000,Current Assets
2021-07,10A100850,Temporary Consumption Tax Paid,2762581,0,0,2762581,Current Assets
2021-07,10A210130,Structures,3280000,0,0,3280000,Tangible Fixed Assets
2021-07,10A210410,"Tools, Furniture and Fixtures",4779810,0,0,4779810,Tangible Fixed Assets
2021-07,10A220190,Telephone Subscription Rights,512000,0,0,512000,Intangible Fixed Assets
2021-07,10A230570,Insurance Reserve Deposits,1903000,125000,0,2028000,Investments and Other Assets
2021-07,10A230650,Security Deposits,3140000,0,0,3140000,Investments and Other Assets
2021-07,10B100030,Notes Payable,44079502,26027566,11194013,29245949,Current Liabilities
2021-07,10B100040,Accounts Payable,47813769,37027844,38214965,49000890,Current Liabilities
2021-07,10B100320,Provision for Bonuses,0,0,1173334,1173334,Current Liabilities
2021-07,10B100630,Accounts Payable Other,7249493,7249493,7691085,7691085,Current Liabilities
2021-07,10B100640,Accrued Corporate Taxes,0,0,0,0,Current Liabilities
2021-07,10B100660,Accrued Consumption Taxes,0,0,0,0,Current Liabilities
2021-07,10B100670,Accrued Enterprise Taxes,0,0,0,0,Current Liabilities
2021-07,10B100690,Deposits Received,4517862,2061939,1901556,4357479,Current Liabilities
2021-07,10B100790,Short-term Borrowings,5881500,653500,0,5228000,Current Liabilities
2021-07,10B100890,Temporary Consumption Tax Received,6540636,0,0,6540636,Current Liabilities
2021-07,10B200080,Long-term Borrowings,37343150,0,0,37343150,Non-current Liabilities
2021-07,10B200120,Provision for Retirement Benefits,18560000,0,0,18560000,Non-current Liabilities
2021-07,10B200130,Provision for Directors' Retirement Benefits,22000000,0,0,22000000,Non-current Liabilities
2021-07,10C110010,Capital Stock,10000000,0,0,10000000,Capital Stock
2021-07,10C120020,Capital Reserve,0,0,0,0,Capital Surplus
2021-07,10C130020,Legal Retained Earnings,7200000,0,0,7200000,Retained Earnings
2021-07,10C130360,General Reserve,4830000,0,0,4830000,Retained Earnings
2021-07,10C130370,Retained Earnings Brought Forward,82709171,0,0,82709171,Retained Earnings
2021-07,10D100100,Gross Sales,179631239,0,63234494,242865733,Net Sales
2021-07,10D100110,Sales Discounts and Returns,944484,322960,0,1267444,Net Sales
2021-07,10E100100,Beginning Merchandise Inventory,0,0,0,0,Cost of Sales
2021-07,10E100120,Purchase Discounts and Returns,646243,0,87340,733583,Cost of Sales
2021-07,10E100130,Merchandise Purchases,109594945,38214965,0,147809910,Cost of Sales
2021-07,10E100140,Ending Merchandise Inventory,0,0,0,0,Cost of Sales
2021-07,10E200020,Sales Commissions,6582000,2363708,0,8945708,"Selling, General and Administrative Expenses"
2021-07,10E200050,Advertising Expenses,507700,139000,0,646700,"Selling, General and Administrative Expenses"
2021-07,10E200090,Directors' Compensation,5160000,1720000,0,6880000,"Selling, General and Administrative Expenses"
2021-07,10E200130,Bonuses,2021000,1173334,0,3194334,"Selling, General and Administrative Expenses"
2021-07,10E200140,Employee Welfare Expenses,1302265,288673,0,1590938,"Selling, General and Administrative Expenses"
2021-07,10E200150,Entertainment Expenses,1076222,239624,0,1315846,"Selling, General and Administrative Expenses"
2021-07,10E200180,Communication Expenses,3554991,1172659,0,4727650,"Selling, General and Administrative Expenses"
2021-07,10E200200,Supplies Expenses,880841,537004,268502,1149343,"Selling, General and Administrative Expenses"
2021-07,10E200210,Taxes and Dues,135000,0,0,135000,"Selling, General and Administrative Expenses"
2021-07,10E200220,Depreciation Expenses,0,0,0,0,"Selling, General and Administrative Expenses"
2021-07,10E200240,Insurance Expenses,956460,318820,0,1275280,"Selling, General and Administrative Expenses"
2021-07,10E200370,Salaries and Allowances,16508367,5229240,0,21737607,"Selling, General and Administrative Expenses"
2021-07,10E200520,Temporary Wages,908002,364425,0,1272427,"Selling, General and Administrative Expenses"
2021-07,10E200540,Statutory Welfare Expenses,2252338,1190201,0,3442539,"Selling, General and Administrative Expenses"
2021-07,10E200600,Professional Fees,419130,139710,0,558840,"Selling, General and Administrative Expenses"
2021-07,10E200690,Service Fees,34963,12126,0,47089,"Selling, General and Administrative Expenses"
2021-07,10E200720,Rent Expenses,10347000,3419000,0,13766000,"Selling, General and Administrative Expenses"
2021-07,10E200730,Land and Building Rent,587700,587700,0,1175400,"Selling, General and Administrative Expenses"
2021-07,10E200870,Freight Expenses,10558539,4007828,0,14566367,"Selling, General and Administrative Expenses"
2021-07,10E201000,Repairs and Maintenance,176400,35850,0,212250,"Selling, General and Administrative Expenses"
2021-07,10E201040,Utilities Expenses,1807719,577420,0,2385139,"Selling, General and Administrative Expenses"
