Month,Ledger_Account_Number,Ledger_Account_Name,Beginning_Balance,Debit_Amount,Credit_Amount,Ending_Balance,eTax_Category
2022-02,10A100020,Ordinary Deposits,93363283,99504821,87143962,105724142,Current Assets
2022-02,10A100040,Allowance for Doubtful Accounts,1758018,0,0,1758018,Current Assets
2022-02,10A100060,Notes Receivable,99283776,37982465,25011401,112254840,Current Assets
2022-02,10A100090,Accounts Receivable,91476616,57755820,91476616,57755820,Current Assets
2022-02,10A100200,Electronically Recorded Monetary Claims,40000,0,0,40000,Current Assets
2022-02,10A100230,Securities,1271350,0,0,1271350,Current Assets
2022-02,10A100280,Merchandise,63013226,0,0,63013226,Current Assets
2022-02,10A100610,Short-term Loans Receivable,580000,0,90000,490000,Current Assets
2022-02,10A100800,Guarantee Deposits,1200000,0,0,1200000,Current Assets
2022-02,10A100850,Temporary Consumption Tax Paid,2762581,0,0,2762581,Current Assets
2022-02,10A210130,Structures,3280000,0,0,3280000,Tangible Fixed Assets
2022-02,10A210410,"Tools, Furniture and Fixtures",4779810,0,0,4779810,Tangible Fixed Assets
2022-02,10A220190,Telephone Subscription Rights,512000,0,0,512000,Intangible Fixed Assets
2022-02,10A230570,Insurance Reserve Deposits,2778000,125000,0,2903000,Investments and Other Assets
2022-02,10A230650,Security Deposits,3140000,0,0,3140000,Investments and Other Assets
2022-02,10B100030,Notes Payable,49589092,11951863,30361358,67998587,Current Liabilities
2022-02,10B100040,Accounts Payable,74643693,58857401,36698676,52484968,Current Liabilities
2022-02,10B100320,Provision for Bonuses,673667,0,673666,1347333,Current Liabilities
2022-02,10B100630,Accounts Payable Other,10119977,10119977,6887180,6887180,Current Liabilities
2022-02,10B100640,Accrued Corporate Taxes,0,0,0,0,Current Liabilities
2022-02,10B100660,Accrued Consumption Taxes,0,0,0,0,Current Liabilities
2022-02,10B100670,Accrued Enterprise Taxes,0,0,0,0,Current Liabilities
2022-02,10B100690,Deposits Received,5799622,1424959,1929498,6304161,Current Liabilities
2022-02,10B100790,Short-term Borrowings,1307000,653500,0,653500,Current Liabilities
2022-02,10B100890,Temporary Consumption Tax Received,6540636,0,0,6540636,Current Liabilities
2022-02,10B200080,Long-term Borrowings,37343150,0,0,37343150,Non-current Liabilities
2022-02,10B200120,Provision for Retirement Benefits,18560000,0,0,18560000,Non-current Liabilities
2022-02,10B200130,Provision for Directors' Retirement Benefits,22000000,0,0,22000000,Non-current Liabilities
2022-02,10C110010,Capital Stock,10000000,0,0,10000000,Capital Stock
2022-02,10C120020,Capital Reserve,0,0,0,0,Capital Surplus
2022-02,10C130020,Legal Retained Earnings,7200000,0,0,7200000,Retained Earnings
2022-02,10C130360,General Reserve,4830000,0,0,4830000,Retained Earnings
2022-02,10C130370,Retained Earnings Brought Forward,82709171,0,0,82709171,Retained Earnings
2022-02,10D100100,Gross Sales,720393839,0,57755820,778149659,Net Sales
2022-02,10D100110,Sales Discounts and Returns,1267444,0,0,1267444,Net Sales
2022-02,10E100100,Beginning Merchandise Inventory,0,0,0,0,Cost of Sales
