Month,Ledger_Account_Number,Ledger_Account_Name,Beginning_Balance,Debit_Amount,Credit_Amount,Ending_Balance,eTax_Category
2021-10,10A100020,Ordinary Deposits,73173653,107853373,93098970,87928056,Current Assets
2021-10,10A100040,Allowance for Doubtful Accounts,1758018,0,0,1758018,Current Assets
2021-10,10A100060,Notes Receivable,77166773,31600586,46905207,61862152,Current Assets
2021-10,10A100090,Accounts Receivable,59925783,61564282,59925783,61564282,Current Assets
2021-10,10A100200,Electronically Recorded Monetary Claims,40000,0,0,40000,Current Assets
2021-10,10A100230,Securities,1271350,0,0,1271350,Current Assets
2021-10,10A100280,Merchandise,63013226,0,0,63013226,Current Assets
2021-10,10A100610,Short-term Loans Receivable,240000,0,40000,200000,Current Assets
2021-10,10A100800,Guarantee Deposits,1200000,0,0,1200000,Current Assets
2021-10,10A100850,Temporary Consumption Tax Paid,2762581,0,0,2762581,Current Assets
2021-10,10A210130,Structures,3280000,0,0,3280000,Tangible Fixed Assets
2021-10,10A210410,"Tools, Furniture and Fixtures",4779810,0,0,4779810,Tangible Fixed Assets
2021-10,10A220190,Telephone Subscription Rights,512000,0,0,512000,Intangible Fixed Assets
2021-10,10A230570,Insurance Reserve Deposits,2278000,125000,0,2403000,Investments and Other Assets
2021-10,10A230650,Security Deposits,3140000,0,0,3140000,Investments and Other Assets
2021-10,10B100030,Notes Payable,34266239,10880762,11472073,34857550,Current Liabilities
2021-10,10B100040,Accounts Payable,48635338,37483187,38995768,50147919,Current Liabilities
2021-10,10B100320,Provision for Bonuses,3520000,0,1173334,4693334,Current Liabilities
2021-10,10B100630,Accounts Payable Other,6788142,6788142,7681594,7681594,Current Liabilities
2021-10,10B100640,Accrued Corporate Taxes,0,0,0,0,Current Liabilities
2021-10,10B100660,Accrued Consumption Taxes,0,0,0,0,Current Liabilities
2021-10,10B100670,Accrued Enterprise Taxes,0,0,0,0,Current Liabilities
2021-10,10B100690,Deposits Received,5311065,1395878,1945054,5860241,Current Liabilities
2021-10,10B100790,Short-term Borrowings,3921000,653500,0,3267500,Current Liabilities
2021-10,10B100890,Temporary Consumption Tax Received,6540636,0,0,6540636,Current Liabilities
2021-10,10B200080,Long-term Borrowings,37343150,0,0,37343150,Non-current Liabilities
2021-10,10B200120,Provision for Retirement Benefits,18560000,0,0,18560000,Non-current Liabilities
2021-10,10B200130,Provision for Directors' Retirement Benefits,22000000,0,0,22000000,Non-current Liabilities
2021-10,10C110010,Capital Stock,10000000,0,0,10000000,Capital Stock
2021-10,10C120020,Capital Reserve,0,0,0,0,Capital Surplus
2021-10,10C130020,Legal Retained Earnings,7200000,0,0,7200000,Retained Earnings
2021-10,10C130360,General Reserve,4830000,0,0,4830000,Retained Earnings
2021-10,10C130370,Retained Earnings Brought Forward,82709171,0,0,82709171,Retained Earnings
2021-10,10D100100,Gross Sales,370417795,0,61564282,431982077,Net Sales
2021-10,10D100110,Sales Discounts and Returns,1267444,0,0,1267444,Net Sales
2021-10,10E100100,Beginning Merchandise Inventory,0,0,0,0,Cost of Sales
2021-10,10E100120,Purchase Discounts and Returns,733583,0,0,733583,Cost of Sales
2021-10,10E100130,Merchandise Purchases,223274920,38995768,0,262270688,Cost of Sales
2021-10,10E100140,Ending Merchandise Inventory,0,0,0,0,Cost of Sales
2021-10,10E200020,Sales Commissions,12776067,2227000,0,15003067,"Selling, General and Administrative Expenses"
2021-10,10E200050,Advertising Expenses,1029700,191500,0,1221200,"Selling, General and Administrative Expenses"
2021-10,10E200090,Directors' Compensation,10320000,1720000,0,12040000,"Selling, General and Administrative Expenses"
2021-10,10E200130,Bonuses,5541000,1173334,0,6714334,"Selling, General and Administrative Expenses"
2021-10,10E200140,Employee Welfare Expenses,2520871,680660,0,3201531,"Selling, General and Administrative Expenses"
2021-10,10E200150,Entertainment Expenses,1948033,227874,0,2175907,"Selling, General and Administrative Expenses"
2021-10,10E200180,Communication Expenses,6790346,994350,0,7784696,"Selling, General and Administrative Expenses"
2021-10,10E200200,Supplies Expenses,1731430,490924,245462,1976892,"Selling, General and Administrative Expenses"
2021-10,10E200210,Taxes and Dues,177000,10000,0,187000,"Selling, General and Administrative Expenses"
2021-10,10E200220,Depreciation Expenses,0,0,0,0,"Selling, General and Administrative Expenses"
2021-10,10E200240,Insurance Expenses,1912920,318820,0,2231740,"Selling, General and Administrative Expenses"
2021-10,10E200370,Salaries and Allowances,31823531,5230473,0,37054004,"Selling, General and Administrative Expenses"
