Month,Ledger_Account_Number,Ledger_Account_Name,Beginning_Balance,Debit_Amount,Credit_Amount,Ending_Balance,eTax_Category
2021-12,10A100020,Ordinary Deposits,75535780,106298256,112979485,68854551,Current Assets
2021-12,10A100040,Allowance for Doubtful Accounts,1758018,0,0,1758018,Current Assets
2021-12,10A100060,Notes Receivable,71614132,33887299,30394869,75106562,Current Assets
2021-12,10A100090,Accounts Receivable,70833354,126101792,70833354,126101792,Current Assets
2021-12,10A100200,Electronically Recorded Monetary Claims,40000,0,0,40000,Current Assets
2021-12,10A100230,Securities,1271350,0,0,1271350,Current Assets
2021-12,10A100280,Merchandise,63013226,0,0,63013226,Current Assets
2021-12,10A100610,Short-term Loans Receivable,760000,0,90000,670000,Current Assets
2021-12,10A100800,Guarantee Deposits,1200000,0,0,1200000,Current Assets
2021-12,10A100850,Temporary Consumption Tax Paid,2762581,0,0,2762581,Current Assets
2021-12,10A210130,Structures,3280000,0,0,3280000,Tangible Fixed Assets
2021-12,10A210410,"Tools, Furniture and Fixtures",4779810,0,0,4779810,Tangible Fixed Assets
2021-12,10A220190,Telephone Subscription Rights,512000,0,0,512000,Intangible Fixed Assets
2021-12,10A230570,Insurance Reserve Deposits,2528000,125000,0,2653000,Investments and Other Assets
2021-12,10A230650,Security Deposits,3140000,0,0,3140000,Investments and Other Assets
2021-12,10B100030,Notes Payable,34939075,11432405,13917656,37424326,Current Liabilities
2021-12,10B100040,Accounts Payable,58320969,44783337,66146929,79684561,Current Liabilities
2021-12,10B100320,Provision for Bonuses,5866666,7040000,1173334,0,Current Liabilities
2021-12,10B100630,Accounts Payable Other,7644630,7644630,12199043,12199043,Current Liabilities
2021-12,10B100640,Accrued Corporate Taxes,0,0,0,0,Current Liabilities
2021-12,10B100660,Accrued Consumption Taxes,0,0,0,0,Current Liabilities
2021-12,10B100670,Accrued Enterprise Taxes,0,0,0,0,Current Liabilities
2021-12,10B100690,Deposits Received,5600441,2221208,2985045,6364278,Current Liabilities
2021-12,10B100790,Short-term Borrowings,2614000,653500,0,1960500,Current Liabilities
2021-12,10B100890,Temporary Consumption Tax Received,6540636,0,0,6540636,Current Liabilities
2021-12,10B200080,Long-term Borrowings,37343150,0,0,37343150,Non-current Liabilities
2021-12,10B200120,Provision for Retirement Benefits,18560000,0,0,18560000,Non-current Liabilities
2021-12,10B200130,Provision for Directors' Retirement Benefits,22000000,0,0,22000000,Non-current Liabilities
2021-12,10C110010,Capital Stock,10000000,0,0,10000000,Capital Stock
2021-12,10C120020,Capital Reserve,0,0,0,0,Capital Surplus
2021-12,10C130020,Legal Retained Earnings,7200000,0,0,7200000,Retained Earnings
2021-12,10C130360,General Reserve,4830000,0,0,4830000,Retained Earnings
2021-12,10C130370,Retained Earnings Brought Forward,82709171,0,0,82709171,Retained Earnings
2021-12,10D100100,Gross Sales,502815431,0,126101792,628917223,Net Sales
2021-12,10D100110,Sales Discounts and Returns,1267444,0,0,1267444,Net Sales
2021-12,10E100100,Beginning Merchandise Inventory,0,0,0,0,Cost of Sales
2021-12,10E100120,Purchase Discounts and Returns,733583,0,0,733583,Cost of Sales
2021-12,10E100130,Merchandise Purchases,309005826,66146929,0,375152755,Cost of Sales
2021-12,10E100140,Ending Merchandise Inventory,0,0,0,0,Cost of Sales
2021-12,10E200020,Sales Commissions,16844267,3156000,0,20000267,"Selling, General and Administrative Expenses"
2021-12,10E200050,Advertising Expenses,1412700,191500,0,1604200,"Selling, General and Administrative Expenses"
2021-12,10E200090,Directors' Compensation,13760000,1720000,0,15480000,"Selling, General and Administrative Expenses"
2021-12,10E200130,Bonuses,7887666,1173334,0,9061000,"Selling, General and Administrative Expenses"
2021-12,10E200140,Employee Welfare Expenses,3452674,847793,0,4300467,"Selling, General and Administrative Expenses"
2021-12,10E200150,Entertainment Expenses,2515574,735269,0,3250843,"Selling, General and Administrative Expenses"
2021-12,10E200180,Communication Expenses,8778402,1151250,0,9929652,"Selling, General and Administrative Expenses"
2021-12,10E200200,Supplies Expenses,2210874,457802,228901,2439775,"Selling, General and Administrative Expenses"
2021-12,10E200210,Taxes and Dues,187000,52000,0,239000,"Selling, General and Administrative Expenses"
2021-12,10E200220,Depreciation Expenses,0,0,0,0,"Selling, General and Administrative Expenses"
2021-12,10E200240,Insurance Expenses,2550560,318820,0,2869380,"Selling, General and Administrative Expenses"
2021-12,10E200370,Salaries and Allowances,42249348,4809624,0,47058972,"Selling, General and Administrative Expenses"
2021-12,10E200520,Temporary Wages,3366497,423840,0,3790337,"Selling, General and Administrative Expenses"
2021-12,10E200540,Statutory Welfare Expenses,6245651,763311,0,7008962,"Selling, General and Administrative Expenses"
2021-12,10E200600,Professional Fees,1117680,139710,0,1257390,"Selling, General and Administrative Expenses"
2021-12,10E200690,Service Fees,95909,12021,0,107930,"Selling, General and Administrative Expenses"
2021-12,10E200720,Rent Expenses,27562000,3449000,0,31011000,"Selling, General and Administrative Expenses"
2021-12,10E200730,Land and Building Rent,2350800,0,0,2350800,"Selling, General and Administrative Expenses"
2021-12,10E200870,Freight Expenses,30054941,7311266,0,37366207,"Selling, General and Administrative Expenses"
2021-12,10E201000,Repairs and Maintenance,301650,0,0,301650,"Selling, General and Administrative Expenses"
2021-12,10E201040,Utilities Expenses,4675489,738448,0,5413937,"Selling, General and Administrative Expenses"
2021-12,10E201110,Office Supplies Expenses,1010870,136561,0,1147431,"Selling, General and Administrative Expenses"
2021-12,10E201120,Vehicle Expenses,4966918,650134,0,5617052,"Selling, General and Administrative Expenses"
2021-12,10E201130,Meeting Expenses,230439,24995,0,255434,"Selling, General and Administrative Expenses"
2021-12,10E201140,Membership Fees,928000,116000,0,1044000,"Selling, General and Administrative Expenses"
2021-12,10E201160,Books and Publications,199856,24982,0,224838,"Selling, General and Administrative Expenses"
2021-12,10E201230,Travel and Transportation Expenses,8166970,1729153,0,9896123,"Selling, General and Administrative Expenses"
2021-12,10E201270,Miscellaneous Expenses,3838489,504197,0,4342686,"Selling, General and Administrative Expenses"
2021-12,10E300020,Interest Expense,971043,79042,0,1050085,Non-operating Expenses
2021-12,10F100070,"Corporate, Inhabitant and Enterprise Taxes",0,0,0,0,Other
