Month,Ledger_Account_Number,Ledger_Account_Name,Beginning_Balance,Debit_Amount,Credit_Amount,Ending_Balance,eTax_Category
2021-09,10A100020,Ordinary Deposits,81593951,80361521,88781819,73173653,Current Assets
2021-09,10A100040,Allowance for Doubtful Accounts,1758018,0,0,1758018,Current Assets
2021-09,10A100060,Notes Receivable,61972614,30943498,15749339,77166773,Current Assets
2021-09,10A100090,Accounts Receivable,67626279,59925783,67626279,59925783,Current Assets
2021-09,10A100200,Electronically Recorded Monetary Claims,0,40000,0,40000,Current Assets
2021-09,10A100230,Securities,1271350,0,0,1271350,Current Assets
2021-09,10A100280,Merchandise,63013226,0,0,63013226,Current Assets
2021-09,10A100610,Short-term Loans Receivable,280000,0,40000,240000,Current Assets
2021-09,10A100800,Guarantee Deposits,1200000,0,0,1200000,Current Assets
2021-09,10A100850,Temporary Consumption Tax Paid,2762581,0,0,2762581,Current Assets
2021-09,10A210130,Structures,3280000,0,0,3280000,Tangible Fixed Assets
2021-09,10A210410,"Tools, Furniture and Fixtures",4779810,0,0,4779810,Tangible Fixed Assets
2021-09,10A220190,Telephone Subscription Rights,512000,0,0,512000,Intangible Fixed Assets
2021-09,10A230570,Insurance Reserve Deposits,2153000,125000,0,2278000,Investments and Other Assets
2021-09,10A230650,Security Deposits,3140000,0,0,3140000,Investments and Other Assets
2021-09,10B100030,Notes Payable,34056381,11291881,11501739,34266239,Current Liabilities
2021-09,10B100040,Accounts Payable,49711718,38263801,37187421,48635338,Current Liabilities
2021-09,10B100320,Provision for Bonuses,2346666,0,1173334,3520000,Current Liabilities
2021-09,10B100630,Accounts Payable Other,7181008,7181008,6788142,6788142,Current Liabilities
2021-09,10B100640,Accrued Corporate Taxes,0,0,0,0,Current Liabilities
2021-09,10B100660,Accrued Consumption Taxes,0,0,0,0,Current Liabilities
2021-09,10B100670,Accrued Enterprise Taxes,0,0,0,0,Current Liabilities
2021-09,10B100690,Deposits Received,4864281,1416832,1863616,5311065,Current Liabilities
2021-09,10B100790,Short-term Borrowings,4574500,653500,0,3921000,Current Liabilities
2021-09,10B100890,Temporary Consumption Tax Received,6540636,0,0,6540636,Current Liabilities
2021-09,10B200080,Long-term Borrowings,37343150,0,0,37343150,Non-current Liabilities
2021-09,10B200120,Provision for Retirement Benefits,18560000,0,0,18560000,Non-current Liabilities
2021-09,10B200130,Provision for Directors' Retirement Benefits,22000000,0,0,22000000,Non-current Liabilities
2021-09,10C110010,Capital Stock,10000000,0,0,10000000,Capital Stock
2021-09,10C120020,Capital Reserve,0,0,0,0,Capital Surplus
2021-09,10C130020,Legal Retained Earnings,7200000,0,0,7200000,Retained Earnings
2021-09,10C130360,General Reserve,4830000,0,0,4830000,Retained Earnings
2021-09,10C130370,Retained Earnings Brought Forward,82709171,0,0,82709171,Retained Earnings
2021-09,10D100100,Gross Sales,310492012,0,59925783,370417795,Net Sales
2021-09,10D100110,Sales Discounts and Returns,1267444,0,0,1267444,Net Sales
2021-09,10E100100,Beginning Merchandise Inventory,0,0,0,0,Cost of Sales
2021-09,10E100120,Purchase Discounts and Returns,733583,0,0,733583,Cost of Sales
2021-09,10E100130,Merchandise Purchases,186087499,37187421,0,223274920,Cost of Sales
2021-09,10E100140,Ending Merchandise Inventory,0,0,0,0,Cost of Sales
2021-09,10E200020,Sales Commissions,10858708,1917359,0,12776067,"Selling, General and Administrative Expenses"
2021-09,10E200050,Advertising Expenses,838200,191500,0,1029700,"Selling, General and Administrative Expenses"
2021-09,10E200090,Directors' Compensation,8600000,1720000,0,10320000,"Selling, General and Administrative Expenses"
2021-09,10E200130,Bonuses,4367666,1173334,0,5541000,"Selling, General and Administrative Expenses"
2021-09,10E200140,Employee Welfare Expenses,2272082,248789,0,2520871,"Selling, General and Administrative Expenses"
2021-09,10E200150,Entertainment Expenses,1712244,235789,0,1948033,"Selling, General and Administrative Expenses"
2021-09,10E200180,Communication Expenses,5774811,1015535,0,6790346,"Selling, General and Administrative Expenses"
2021-09,10E200200,Supplies Expenses,1430452,601956,300978,1731430,"Selling, General and Administrative Expenses"
2021-09,10E200210,Taxes and Dues,175000,2000,0,177000,"Selling, General and Administrative Expenses"
2021-09,10E200220,Depreciation Expenses,0,0,0,0,"Selling, General and Administrative Expenses"
2021-09,10E200240,Insurance Expenses,1594100,318820,0,1912920,"Selling, General and Administrative Expenses"
2021-09,10E200370,Salaries and Allowances,27007986,4815545,0,31823531,"Selling, General and Administrative Expenses"
2021-09,10E200520,Temporary Wages,1801897,356030,0,2157927,"Selling, General and Administrative Expenses"
2021-09,10E200540,Statutory Welfare Expenses,4153198,716516,0,4869714,"Selling, General and Administrative Expenses"
2021-09,10E200600,Professional Fees,698550,139710,0,838260,"Selling, General and Administrative Expenses"
2021-09,10E200690,Service Fees,59478,12284,0,71762,"Selling, General and Administrative Expenses"
2021-09,10E200720,Rent Expenses,17215000,3449000,0,20664000,"Selling, General and Administrative Expenses"
2021-09,10E200730,Land and Building Rent,1469250,0,0,1469250,"Selling, General and Administrative Expenses"
2021-09,10E200870,Freight Expenses,18145617,3528951,0,21674568,"Selling, General and Administrative Expenses"
2021-09,10E201000,Repairs and Maintenance,230100,17850,0,247950,"Selling, General and Administrative Expenses"
2021-09,10E201040,Utilities Expenses,2921631,573535,0,3495166,"Selling, General and Administrative Expenses"
2021-09,10E201110,Office Supplies Expenses,676203,115601,0,791804,"Selling, General and Administrative Expenses"
2021-09,10E201120,Vehicle Expenses,2903817,720273,0,3624090,"Selling, General and Administrative Expenses"
2021-09,10E201130,Meeting Expenses,155454,24995,0,180449,"Selling, General and Administrative Expenses"
2021-09,10E201140,Membership Fees,580000,116000,0,696000,"Selling, General and Administrative Expenses"
2021-09,10E201160,Books and Publications,124910,24982,0,149892,"Selling, General and Administrative Expenses"
2021-09,10E201230,Travel and Transportation Expenses,5101351,1001776,0,6103127,"Selling, General and Administrative Expenses"
2021-09,10E201270,Miscellaneous Expenses,2403231,477400,0,2880631,"Selling, General and Administrative Expenses"
2021-09,10E300020,Interest Expense,690434,32675,0,723109,Non-operating Expenses
2021-09,10F100070,"Corporate, Inhabitant and Enterprise Taxes",0,0,0,0,Other
