Transaction_ID,Line_ID,Entry_ID,Ledger_Side,Transaction_Date,Description,Ledger_Account_Number,Ledger_Account_Name,Subaccount_Code,Subaccount_Name,Department_Code,Department_Name,Debit_Amount,Credit_Amount,Counterpart_Account_Number,Counterpart_Account_Name,Counterpart_Subaccount_Code,Counterpart_Subaccount_Name,Counterpart_Department_Code,Counterpart_Department_Name,Balance,Source_Row,Entry_Key,Occurrence,Semantic_Path,Month
,,,Opening,2021-02-01,* Opening balance,1000,Demo Cash,,,,,0,0,,,,,,,0,,,,,2021-02
,,,Opening,2021-02-01,* Opening balance,1010,Demo Petty Cash,,,,,0,0,,,,,,,0,,,,,2021-02
,,,Opening,2021-02-01,* Opening balance,1100,Demo Central Ordinary Deposit,,,,,0,0,,,,,,,0,,,,,2021-02
,,,Opening,2021-02-01,* Opening balance,1110,Demo North Current Deposit,,,,,0,0,,,,,,,0,,,,,2021-02
,,,Opening,2021-02-01,* Opening balance,1120,Demo Harbor Ordinary Deposit,,,,,0,0,,,,,,,0,,,,,2021-02
,,,Opening,2021-02-01,* Opening balance,1200,Demo Accounts Receivable,,,,,0,0,,,,,,,0,,,,,2021-02
,,,Opening,2021-02-01,* Opening balance,1210,Demo Notes Receivable,,,,,0,0,,,,,,,0,,,,,2021-02
,,,Opening,2021-02-01,* Opening balance,1300,Demo Inventory,,,,,0,0,,,,,,,0,,,,,2021-02
,,,Opening,2021-02-01,* Opening balance,1400,Demo Prepaid Expenses,,,,,0,0,,,,,,,0,,,,,2021-02
,,,Opening,2021-02-01,* Opening balance,1410,Demo Advances Paid,,,,,0,0,,,,,,,0,,,,,2021-02
,,,Opening,2021-02-01,* Opening balance,1420,Demo Temporary Payments,,,,,0,0,,,,,,,0,,,,,2021-02
,,,Opening,2021-02-01,* Opening balance,1430,Demo Input Tax Receivable,,,,,0,0,,,,,,,0,,,,,2021-02
,,,Opening,2021-02-01,* Opening balance,1500,Demo Equipment,,,,,0,0,,,,,,,0,,,,,2021-02
,,,Opening,2021-02-01,* Opening balance,1510,Demo Vehicles,,,,,0,0,,,,,,,0,,,,,2021-02
,,,Opening,2021-02-01,* Opening balance,1520,Demo Software,,,,,0,0,,,,,,,0,,,,,2021-02
,,,Opening,2021-02-01,* Opening balance,1590,Demo Accumulated Depreciation,,,,,0,0,,,,,,,0,,,,,2021-02
,,,Opening,2021-02-01,* Opening balance,2000,Demo Accounts Payable,,,,,0,0,,,,,,,0,,,,,2021-02
,,,Opening,2021-02-01,* Opening balance,2010,Demo Notes Payable,,,,,0,0,,,,,,,0,,,,,2021-02
,,,Opening,2021-02-01,* Opening balance,2100,Demo Accrued Payables,,,,,0,0,,,,,,,0,,,,,2021-02
,,,Opening,2021-02-01,* Opening balance,2110,Demo Payroll Withholding,,,,,0,0,,,,,,,0,,,,,2021-02
,,,Opening,2021-02-01,* Opening balance,2120,Demo Output Tax Payable,,,,,0,0,,,,,,,0,,,,,2021-02
,,,Opening,2021-02-01,* Opening balance,2130,Demo Temporary Receipts,,,,,0,0,,,,,,,0,,,,,2021-02
,,,Opening,2021-02-01,* Opening balance,2200,Demo Short-term Loans,,,,,0,0,,,,,,,0,,,,,2021-02
,,,Opening,2021-02-01,* Opening balance,2300,Demo Long-term Loans,,,,,0,0,,,,,,,0,,,,,2021-02
,,,Opening,2021-02-01,* Opening balance,2400,Demo Unearned Revenue,,,,,0,0,,,,,,,0,,,,,2021-02
,,,Opening,2021-02-01,* Opening balance,3000,Demo Capital,,,,,0,0,,,,,,,0,,,,,2021-02
,,,Opening,2021-02-01,* Opening balance,3100,Demo Retained Earnings,,,,,0,0,,,,,,,0,,,,,2021-02
,,,Opening,2021-02-01,* Opening balance,4000,Demo Product Sales,,,,,0,0,,,,,,,0,,,,,2021-02
,,,Opening,2021-02-01,* Opening balance,4010,Demo Service Revenue,,,,,0,0,,,,,,,0,,,,,2021-02
,,,Opening,2021-02-01,* Opening balance,4020,Demo Other Operating Revenue,,,,,0,0,,,,,,,0,,,,,2021-02
,,,Opening,2021-02-01,* Opening balance,4030,Demo Interest Income,,,,,0,0,,,,,,,0,,,,,2021-02
,,,Opening,2021-02-01,* Opening balance,4040,Demo Miscellaneous Income,,,,,0,0,,,,,,,0,,,,,2021-02
,,,Opening,2021-02-01,* Opening balance,5000,Demo Purchases,,,,,0,0,,,,,,,0,,,,,2021-02
,,,Opening,2021-02-01,* Opening balance,5010,Demo Freight-in,,,,,0,0,,,,,,,0,,,,,2021-02
,,,Opening,2021-02-01,* Opening balance,5020,Demo Inventory Adjustment,,,,,0,0,,,,,,,0,,,,,2021-02
,,,Opening,2021-02-01,* Opening balance,6000,Demo Salaries,,,,,0,0,,,,,,,0,,,,,2021-02
